"Daily Weather Observations for Temora, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2130.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Temora Airport {station 073151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,7.2,20.3,4.2,,,NW,39,16:40,15.5,79,,NNW,19,1007.8,18.0,63,,NW,19,1003.5
,2021-10-2,12.0,19.5,2.8,,,SW,39,13:57,14.6,100,,WSW,9,1006.1,19.1,65,,WSW,22,1003.3
,2021-10-3,8.5,20.8,2.0,,,N,28,15:25,12.9,98,,NNE,7,1006.6,20.4,65,,N,11,1002.7
,2021-10-4,10.1,18.6,0,,,SW,52,05:35,11.8,79,,SW,26,1004.6,17.2,59,,WNW,22,1004.4
,2021-10-5,3.8,16.0,0,,,W,52,10:45,10.6,82,,WSW,24,1012.5,14.6,50,,WSW,26,1013.1
,2021-10-6,0.1,21.2,0,,,NNW,28,11:03,9.6,100,,NNW,6,1018.1,20.2,37,,NNW,13,1013.9
,2021-10-7,6.3,19.0,0,,,WSW,41,12:27,14.7,64,,NNW,13,1010.1,17.7,45,,WSW,24,1011.6
,2021-10-8,0.2,20.3,0,,,ENE,19,11:39,10.7,86,,NE,9,1018.9,20.0,44,,W,7,1016.7
,2021-10-9,,26.1,0,,,N,30,13:59,13.6,75,,ENE,13,1016.9,25.8,34,,N,20,1012.9
,2021-10-10,9.6,21.6,0,,,SW,35,02:33,18.1,67,,SSW,13,1009.8,19.5,63,,W,6,1009.1
,2021-10-11,1.9,17.5,0,,,ESE,30,22:42,8.1,87,,SSW,11,1015.9,16.5,44,,E,11,1014.2
,2021-10-12,7.9,18.6,0.2,,,E,50,09:02,12.1,67,,E,24,1016.3,16.9,55,,E,24,1013.6
,2021-10-13,10.0,19.7,0,,,NE,54,20:49,12.9,73,,E,24,1013.5,18.4,70,,NE,15,1008.8
,2021-10-14,10.6,20.7,11.0,,,NW,44,20:22,12.4,99,,NE,11,1006.6,19.0,51,,NNW,15,1003.2
,2021-10-15,5.3,14.7,5.6,,,W,48,11:50,9.9,99,,NNW,13,1003.7,11.7,89,,WSW,17,1002.2
,2021-10-16,8.0,18.3,8.4,,,WSW,52,13:52,9.8,87,,W,24,1008.9,17.4,52,,WSW,31,1008.6
,2021-10-17,1.5,20.1,0,,,WSW,24,11:45,11.8,86,, ,Calm,1016.2,18.7,44,,WNW,9,1014.3
,2021-10-18,1.6,24.1,0,,,S,37,19:05,13.7,81,,NNE,9,1016.9,22.4,40,,W,15,1014.3
,2021-10-19,8.9,20.2,0,,,S,35,14:15,13.0,75,,SW,19,1018.1,19.6,37,,SW,20,1017.1
,2021-10-20,1.7,22.5,0,,,E,52,12:38,14.3,64,,S,13,1019.2,21.7,47,,E,28,1016.9
,2021-10-21,9.3,23.1,0,,,ESE,30,00:06,16.6,73,,E,20,1016.9,22.4,44,,NE,15,1014.4
,2021-10-22,9.7,25.4,0,,,ENE,30,07:30,17.6,68,,ENE,19,1016.9,24.9,44,,N,13,1014.3
,2021-10-23,11.2,26.5,0,,,SW,37,17:14,18.5,72,,ENE,9,1013.9,25.5,44,,SW,19,1011.5
,2021-10-24,6.0,20.3,0,,,WSW,41,13:52,10.6,75,,WSW,22,1018.9,19.8,31,,WSW,22,1017.3
,2021-10-25,-0.3,19.3,0,,,WSW,33,13:08,9.3,72,,WSW,17,1018.7,18.5,36,,SW,19,1016.9
,2021-10-26,0.1,,0,,,,,,13.7,65,,E,9,1021.0,22.2,28,,WSW,11,1017.2
