"Daily Weather Observations for Tenterfield, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2131.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tenterfield (Federation Park) {station 056032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,,23.0,0,,,,,,16.1,52,0,NE,9,,,,,,,
,2020-11-2,6.5,22.4,0,,,,,,16.9,61,1,W,4,,,,,,,
,2020-11-3,10.2,23.0,0,,,,,,16.0,62,0,NNE,22,,,,,,,
,2020-11-4,11.5,,0,,,,,,16.0,70,1,NNE,15,,,,,,,
,2020-11-5,,29.0,0,,,,,,,,,,,,,,,,,
,2020-11-6,3.9,24.3,0,,,,,,15.7,46,0,NW,7,,,,,,,
,2020-11-7,10.2,23.6,0,,,,,,15.6,72,2,SW,4,,,,,,,
,2020-11-8,10.9,18.1,0,,,,,,14.1,69,6,NW,9,,,,,,,
,2020-11-9,8.2,20.6,0,,,,,,13.3,67,4,W,9,,,,,,,
,2020-11-10,4.9,,0,,,,,,15.0,66,5,E,15,,,,,,,
,2020-11-11,,26.0,0,,,,,,,,,,,,,,,,,
,2020-11-12,7.5,26.5,0,,,,,,19.5,53,0,NW,4,,,,,,,
,2020-11-13,14.9,24.1,0,,,,,,15.0,75,8,,,,,,,,,
,2020-11-14,13.1,28.6,4.4,,,,,,19.3,72,3,SE,9,,,,,,,
,2020-11-15,6.3,,0,,,,,,21.0,64,0,W,4,,,,,,,
,2020-11-16,,33.6,,,,,,,,,,,,,,,,,,
,2020-11-17,13.4,30.2,0.8,,,,,,23.1,73,8,SE,9,,,,,,,
,2020-11-18,13.5,22.6,0,,,,,,17.6,63,5,E,22,,,,,,,
,2020-11-19,13.4,26.4,0,,,,,,18.6,60,0,E,15,,,,,,,
,2020-11-20,10.6,30.3,0,,,,,,20.0,64,0,E,7,,,,,,,
,2020-11-21,9.6,30.6,0.6,,,,,,23.1,58,0, ,Calm,,,,,,,
,2020-11-22,8.9,,0,,,,,,21.7,67,0, ,Calm,,,,,,,
,2020-11-23,,32.4,,,,,,,,,,,,,,,,,,
,2020-11-24,14.0,27.8,0.3,,,,,,24.0,54,5,E,15,,,,,,,
,2020-11-25,13.4,25.8,0,,,,,,18.5,68,6,E,11,,,,,,,
,2020-11-26,11.6,30.9,0,,,,,,23.0,53,0,E,4,,,,,,,
,2020-11-27,10.5,28.8,0,,,,,,22.1,60,0,W,4,,,,,,,
,2020-11-28,8.7,33.7,0,,,,,,23.2,34,1,W,4,,,,,,,
,2020-11-29,13.3,34.2,0,,,,,,21.8,60,4,E,9,,,,,,,
,2020-11-30,14.1,30.0,0,,,,,,23.9,58,8,NE,22,,,,,,,
