"Daily Weather Observations for Tenterfield, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2131.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tenterfield (Federation Park) {station 056032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,15.6,24.0,14.6,,,,,,16.6,92,8,E,19,,,,,,,
,2021-02-2,10.7,27.9,0.2,,,,,,15.6,95,8, ,Calm,,,,,,,
,2021-02-3,13.5,23.9,0,,,,,,16.4,84,7,NW,9,,,,,,,
,2021-02-4,11.8,25.6,0,,,,,,18.0,75,5,NNE,19,,,,,,,
,2021-02-5,11.8,25.9,0,,,,,,20.5,69,6,E,15,,,,,,,
,2021-02-6,13.3,28.8,0,,,,,,17.8,85,3,W,4,,,,,,,
,2021-02-7,14.1,29.0,0.2,,,,,,22.4,74,7,SE,9,,,,,,,
,2021-02-8,16.0,23.2,0,,,,,,20.0,62,6,E,19,,,,,,,
,2021-02-9,14.8,23.2,0,,,,,,17.1,78,6,W,9,,,,,,,
,2021-02-10,13.4,23.6,0,,,,,,15.9,79,7,W,9,,,,,,,
,2021-02-11,13.4,25.4,0,,,,,,15.8,82,8,E,11,,,,,,,
,2021-02-12,14.5,28.1,0,,,,,,19.5,71,6,NW,11,,,,,,,
,2021-02-13,13.0,27.0,0,,,,,,20.9,65,6,SE,9,,,,,,,
,2021-02-14,17.6,22.4,6.4,,,,,,18.1,84,8,W,9,,,,,,,
,2021-02-15,9.1,24.1,0,,,,,,17.1,60,0,W,9,,,,,,,
,2021-02-16,12.1,22.0,0.2,,,,,,16.2,91,8,W,4,,,,,,,
,2021-02-17,14.1,21.0,0.6,,,,,,17.6,73,1,ESE,28,,,,,,,
,2021-02-18,13.6,22.0,0.8,,,,,,17.5,89,8,ESE,15,,,,,,,
,2021-02-19,16.0,24.8,1.4,,,,,,18.0,92,8,SE,15,,,,,,,
,2021-02-20,13.4,24.3,0,,,,,,19.2,78,6,W,9,,,,,,,
,2021-02-21,12.6,27.9,0,,,,,,16.9,89,6, ,Calm,,,,,,,
,2021-02-22,10.2,32.2,1.6,,,,,,18.4,80,0, ,Calm,,,,,,,
,2021-02-23,13.5,30.5,0.2,,,,,,18.3,95,4, ,Calm,,,,,,,
,2021-02-24,16.4,24.0,0.2,,,,,,18.8,84,8,ESE,15,,,,,,,
,2021-02-25,16.6,27.2,2.2,,,,,,18.6,86,6,W,4,,,,,,,
,2021-02-26,17.5,28.2,0.4,,,,,,20.4,84,8,NW,15,,,,,,,
,2021-02-27,18.1,25.9,8.6,,,,,,20.3,90,8,W,4,,,,,,,
,2021-02-28,16.3,29.0,25.4,,,,,,20.0,89,3, ,Calm,,,,,,,
