"Daily Weather Observations for Tenterfield, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2131.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tenterfield (Federation Park) {station 056032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,3.4,23.0,0,,,,,,18.4,60,0,NW,19,,,,,,,
,2021-08-2,6.4,18.3,0,,,,,,13.2,97,8,W,4,,,,,,,
,2021-08-3,11.9,15.2,15.8,,,,,,13.9,92,8,N,4,,,,,,,
,2021-08-4,3.9,10.8,4.8,,,,,,7.1,70,0,E,9,,,,,,,
,2021-08-5,2.1,13.0,0,,,,,,8.0,60,0,WSW,28,,,,,,,
,2021-08-6,-1.4,,0.2,,,,,,6.1,94,1,S,4,,,,,,,
,2021-08-7,,17.5,0,,,,,,,,,,,,,,,,,
,2021-08-8,-3.4,15.2,0,,,,,,11.2,62,4,SE,19,,,,,,,
,2021-08-9,4.7,14.0,2.0,,,,,,9.2,80,3,W,9,,,,,,,
,2021-08-10,4.6,16.7,0.1,,,,,,10.9,80,8,SW,4,,,,,,,
,2021-08-11,0.6,18.2,0,,,,,,10.2,86,0, ,Calm,,,,,,,
,2021-08-12,2.6,18.2,0,,,,,,12.9,81,8,E,4,,,,,,,
,2021-08-13,2.6,17.4,0,,,,,,13.1,86,7,NNE,7,,,,,,,
,2021-08-14,1.4,,1.2,,,,,,12.0,91,6,S,4,,,,,,,
,2021-08-15,,18.9,,,,,,,,,,,,,,,,,,
,2021-08-16,1.9,18.0,0.2,,,,,,10.1,87,6,NE,4,,,,,,,
,2021-08-17,-3.2,17.1,0,,,,,,8.3,65,0, ,Calm,,,,,,,
,2021-08-18,1.4,,0,,,,,,10.5,73,3,NW,4,,,,,,,
,2021-08-19,,15.9,0,,,,,,,,,,,,,,,,,
,2021-08-20,1.3,18.5,0,,,,,,11.9,79,5,W,4,,,,,,,
,2021-08-21,0.6,20.9,0,,,,,,16.5,62,1,WNW,15,,,,,,,
,2021-08-22,1.6,22.0,0,,,,,,17.9,49,0,NW,19,,,,,,,
,2021-08-23,2.5,21.6,0,,,,,,16.4,48,0,SE,4,,,,,,,
,2021-08-24,6.5,9.6,7.6,,,,,,7.1,86,8,N,9,,,,,,,
,2021-08-25,3.9,12.4,2.0,,,,,,6.3,70,3,E,9,,,,,,,
,2021-08-26,-5.4,15.2,0,,,,,,8.1,74,0,W,11,,,,,,,
,2021-08-27,-3.7,13.8,0,,,,,,9.1,59,0,NE,9,,,,,,,
,2021-08-28,-4.4,16.0,0,,,,,,11.9,28,0,W,19,,,,,,,
,2021-08-29,-4.6,21.8,0,,,,,,16.0,35,0,W,4,,,,,,,
,2021-08-30,-1.3,19.1,0,,,,,,12.1,46,0,SE,4,,,,,,,
,2021-08-31,0.6,23.1,0,,,,,,12.9,61,3,E,4,,,,,,,
