"Daily Weather Observations for Tenterfield, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2131.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tenterfield (Federation Park) {station 056032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,4.4,,0,,,,,,18.1,65,0, ,Calm,,,,,,,
,2021-09-2,,24.8,0,,,,,,,,,,,,,,,,,
,2021-09-3,7.4,16.2,0,,,,,,12.2,88,8,W,9,,,,,,,
,2021-09-4,3.6,20.6,0,,,,,,15.9,62,5,N,11,,,,,,,
,2021-09-5,6.0,13.2,0.4,,,,,,13.1,92,8,NW,11,,,,,,,
,2021-09-6,-1.8,16.2,3.6,,,,,,9.2,66,0,S,9,,,,,,,
,2021-09-7,-3.9,17.9,0,,,,,,10.2,48,0,NE,4,,,,,,,
,2021-09-8,-2.8,,0,,,,,,12.7,63,2,W,9,,,,,,,
,2021-09-9,,22.2,0,,,,,,,,,,,,,,,,,
,2021-09-10,-0.5,23.5,0,,,,,,18.5,21,0,WSW,28,,,,,,,
,2021-09-11,-0.6,24.4,0,,,,,,19.9,31,0,NW,15,,,,,,,
,2021-09-12,3.4,23.1,0,,,,,,17.4,42,3,W,28,,,,,,,
,2021-09-13,12.4,22.1,0.4,,,,,,18.1,63,3,S,9,,,,,,,
,2021-09-14,-2.4,13.2,0,,,,,,9.8,36,1,E,17,,,,,,,
,2021-09-15,-2.9,18.6,0,,,,,,10.4,62,0,NE,9,,,,,,,
,2021-09-16,2.5,19.4,0,,,,,,13.1,57,3,NE,7,,,,,,,
,2021-09-17,2.4,20.2,0,,,,,,12.1,73,2,W,4,,,,,,,
,2021-09-18,2.8,23.0,0,,,,,,14.6,75,6,W,11,,,,,,,
,2021-09-19,5.6,24.1,0,,,,,,19.5,40,1,NNE,2,,,,,,,
,2021-09-20,1.7,24.1,0,,,,,,18.2,43,0,SE,9,,,,,,,
,2021-09-21,9.4,14.4,0.8,,,,,,12.7,34,2,NE,17,,,,,,,
,2021-09-22,-3.1,18.0,0.2,,,,,,11.2,41,0,E,9,,,,,,,
,2021-09-23,-1.4,20.2,0,,,,,,16.0,35,0,E,11,,,,,,,
,2021-09-24,-1.2,21.4,0,,,,,,16.6,41,0,S,9,,,,,,,
,2021-09-25,0.9,,0,,,,,,18.4,38,6,W,15,,,,,,,
,2021-09-26,,23.6,0,,,,,,,,,,,,,,,,,
,2021-09-27,3.2,14.7,0,,,,,,10.9,87,8,W,9,,,,,,,
,2021-09-28,7.9,15.6,0,,,,,,12.2,66,8,W,9,,,,,,,
,2021-09-29,6.0,15.3,7.6,,,,,,10.0,92,8, ,Calm,,,,,,,
,2021-09-30,9.6,16.5,33.6,,,,,,15.1,76,8,S,4,,,,,,,
