"Daily Weather Observations for Thredbo Village, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2133.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Thredbo Village {station 071041}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,9.5,14.5,10.6,,,,,,9.8,96,8, ,Calm,,13.0,84,8,S,6,
,2021-01-2,7.5,19.0,0.6,,,,,,13.6,75,3,S,9,,,,,,,
,2021-01-3,11.0,19.5,3.2,,,,,,12.5,94,7, ,Calm,,17.8,61,6,NW,4,
,2021-01-4,8.0,18.4,2.9,,,,,,16.0,64,8, ,Calm,,,,,,,
,2021-01-5,10.1,18.5,23.8,,,,,,14.2,76,5,SW,9,,18.0,56,4,W,9,
,2021-01-6,9.7,13.1,11.4,,,,,,10.2,92,8, ,Calm,,12.1,77,8,SSW,4,
,2021-01-7,6.5,15.0,0.6,,,,,,8.5,87,8,SW,9,,,,,,,
,2021-01-8,,19.0,0,,,,,,10.0,49,0,E,4,,18.5,45,0,E,4,
,2021-01-9,3.5,23.0,0,,,,,,14.5,56,0, ,Calm,,22.5,28,1, ,Calm,
,2021-01-10,7.0,25.5,0,,,,,,18.8,50,0,SW,9,,25.0,32,2, ,Calm,
,2021-01-11,9.5,26.0,0,,,,,,20.0,43,1,NW,9,,25.0,32,3,W,9,
,2021-01-12,12.0,26.5,0,,,,,,18.0,56,7,SW,28,,25.0,32,1,NW,46,
,2021-01-13,,27.0,0,,,,,,21.0,38,0,SW,37,,24.6,34,4,S,19,
,2021-01-14,14.5,23.5,0,,,,,,19.0,46,0,SW,4,,22.5,25,0,NE,9,
,2021-01-15,7.3,17.5,0,,,,,,13.8,43,0,SW,15,,16.0,41,3, ,Calm,
,2021-01-16,2.5,14.0,0.4,,,,,,6.0,59,1,SW,56,,13.0,44,4,S,37,
,2021-01-17,2.0,19.0,0,,,,,,10.0,56,0,S,7,,17.7,40,0,SW,9,
,2021-01-18,3.5,22.0,0,,,,,,16.5,19,1,SSW,13,,20.0,37,0,W,7,
,2021-01-19,2.5,20.5,0,,,,,,16.0,7,0,SW,4,,19.0,35,0,N,9,
,2021-01-20,2.0,22.5,0,,,,,,14.5,26,0, ,Calm,,21.5,30,1,E,9,
,2021-01-21,3.8,23.0,0,,,,,,18.5,37,0,SW,15,,22.0,33,2,SW,9,
,2021-01-22,7.0,24.0,0,,,,,,18.5,52,3,NW,37,,22.3,38,4,SW,7,
,2021-01-23,4.7,27.2,0,,,,,,21.5,20,1,W,19,,25.2,48,3,WSW,9,
,2021-01-24,9.0,29.1,0,,,,,,22.5,31,1, ,Calm,,27.8,24,7,NE,6,
,2021-01-25,9.0,30.0,0,,,,,,23.5,42,1,SW,6,,26.0,28,6,SW,9,
,2021-01-26,17.0,19.5,0.4,,,,,,18.5,52,8,S,6,,17.5,86,8,S,6,
,2021-01-27,10.5,14.5,31.1,,,,,,11.8,88,8,N,4,,13.0,89,8, ,Calm,
,2021-01-28,9.8,11.5,3.7,,,,,,10.5,100,8, ,Calm,,10.5,94,8,SW,4,
,2021-01-29,9.0,15.0,6.6,,,,,,9.5,100,8, ,Calm,,14.0,95,8, ,Calm,
,2021-01-30,9.3,19.0,92.0,,,,,,14.8,92,8, ,Calm,,18.0,60,4,W,15,
,2021-01-31,10.8,24.0,8.0,,,,,,16.0,76,2,E,7,,22.9,39,5,NE,6,
