"Daily Weather Observations for Tibooburra, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2134.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Tibooburra Airport."
"Observations were drawn from Tibooburra Airport {station 046126}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,27.7,43.2,0,,,WNW,72,08:35,39.2,8,,WNW,43,1006.9,40.9,10,,SW,28,1007.8
,2020-12-2,21.6,30.9,0,,,S,57,23:04,23.1,25,,SE,35,1018.2,29.4,11,,SSE,33,1015.9
,2020-12-3,21.8,35.4,0,,,ESE,50,06:07,23.9,15,,SE,31,1016.5,33.8,5,,SSE,22,1014.6
,2020-12-4,23.6,39.6,0,,,ESE,35,08:28,28.4,8,,SE,26,1014.9,37.8,8,,SE,17,1010.2
,2020-12-5,28.4,44.4,0,,,SW,111,14:34,35.9,21,,NNW,43,1004.5,43.1,7,,NNW,57,999.3
,2020-12-6,19.1,29.8,0,,,SSW,43,23:39,20.5,40,,S,28,1011.1,27.9,16,,WSW,19,1009.0
,2020-12-7,19.2,30.0,0,,,WSW,69,14:31,21.1,29,,S,22,1012.9,28.3,10,,WSW,30,1010.4
,2020-12-8,14.7,26.4,0,,,S,54,00:01,16.9,29,,SSE,26,1019.4,23.5,16,,SE,22,1017.2
,2020-12-9,15.9,31.7,0,,,E,33,08:40,22.3,17,,ESE,24,1018.6,30.4,8,,SE,9,1014.8
,2020-12-10,19.7,34.4,0,,,SSE,39,11:42,26.6,16,,SE,28,1017.2,33.3,8,,SSE,17,1014.3
,2020-12-11,23.0,37.0,0,,,E,61,22:23,26.2,15,,SE,31,1017.3,36.3,7,,ESE,28,1013.0
,2020-12-12,24.7,34.8,0,,,ENE,54,09:11,25.7,36,,ENE,43,1017.8,33.3,16,,ENE,30,1014.5
,2020-12-13,23.0,34.3,0,,,NE,54,07:23,27.4,25,,ENE,41,1014.7,32.3,18,,E,31,1011.8
,2020-12-14,22.3,37.4,0,,,E,41,13:05,29.3,23,,ENE,20,1011.4,35.4,11,,ENE,15,1008.0
,2020-12-15,21.8,39.2,0,,,ESE,46,12:04,31.2,13,,ESE,19,1008.8,37.4,9,,S,20,1006.2
,2020-12-16,25.1,40.9,0,,,SSW,46,14:38,31.9,23,,SSW,4,1007.3,38.7,10,,S,26,1003.8
,2020-12-17,26.4,42.4,0,,,W,52,13:24,32.8,26,,ENE,7,1005.4,40.9,9,,W,26,1003.1
,2020-12-18,22.2,32.9,0,,,S,52,03:46,22.6,37,,S,35,1011.1,30.2,17,,S,24,1009.8
,2020-12-19,20.8,34.2,0,,,SE,41,07:02,24.7,14,,ESE,28,1013.3,31.3,8,,SSW,13,1012.0
,2020-12-20,24.3,28.2,0,,,SE,37,12:49,26.4,8,,ESE,22,1012.8,21.2,43,,SSE,22,1012.6
,2020-12-21,17.1,20.5,0.2,,,SW,33,16:29,18.1,100,,NE,15,1008.8,19.7,100,, ,Calm,1006.8
,2020-12-22,18.0,24.0,0,,,SSW,35,08:09,18.9,99,,SSW,24,1010.7,22.7,49,,SSW,20,1012.2
,2020-12-23,16.6,24.2,0,,,ESE,35,13:31,19.5,54,,SSE,19,1017.5,24.0,28,,SSE,20,1016.9
,2020-12-24,17.7,31.3,0,,,SSE,30,16:51,21.5,48,,S,11,1016.9,28.7,14,,ESE,7,1014.8
,2020-12-25,19.4,33.5,0,,,E,35,10:04,25.6,25,,ESE,20,1015.9,32.3,11,,SSE,11,1013.9
,2020-12-26,20.9,36.1,0,,,SE,33,17:08,26.9,19,,E,22,1014.5,35.0,7,,SSE,11,1011.4
,2020-12-27,24.4,38.2,0,,,WNW,70,22:29,29.8,14,,N,19,1010.0,36.6,18,,NW,28,1006.6
,2020-12-28,24.0,36.4,0,,,S,44,20:56,25.0,40,,S,30,1008.1,34.4,27,,WSW,17,1005.4
,2020-12-29,18.9,31.8,0,,,S,52,07:02,21.9,16,,SSE,35,1012.0,29.5,10,,SSE,22,1010.4
,2020-12-30,21.0,35.8,0,,,SE,37,07:48,25.2,17,,SE,26,1011.8,33.6,20,,E,9,1009.4
,2020-12-31,25.0,36.9,0,,,SW,57,15:23,29.6,20,,ESE,24,1010.7,29.8,39,,SW,30,1008.2
