"Daily Weather Observations for Tibooburra, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2134.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Tibooburra Airport."
"Observations were drawn from Tibooburra Airport {station 046126}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,14.6,27.5,0,,,NE,33,13:02,19.8,49,,ENE,13,1024.5,27.4,27,,ENE,19,1020.9
,2021-05-2,15.6,29.7,0,,,NNE,28,10:05,21.2,51,,NE,17,1022.6,28.9,21,,NE,9,1019.4
,2021-05-3,15.9,30.0,0,,,S,50,22:30,21.4,50,,N,13,1020.8,29.3,18,,SW,4,1017.2
,2021-05-4,14.9,19.9,0,,,S,50,00:45,15.9,73,,S,28,1022.2,19.1,33,,S,30,1019.6
,2021-05-5,8.7,20.5,0,,,S,46,13:29,12.5,60,,SSE,28,1022.1,19.8,40,,SSE,22,1018.7
,2021-05-6,10.6,22.8,0,,,SSW,30,16:26,15.1,50,,SSW,9,1019.4,21.7,35,,SSW,19,1016.2
,2021-05-7,10.4,25.9,0,,,SW,24,11:40,16.5,41,,SW,13,1017.0,25.1,23,,SW,13,1013.4
,2021-05-8,15.6,19.9,0,,,SE,26,09:20,17.6,52,,SSE,19,1016.7,19.3,57,,SW,19,1016.1
,2021-05-9,11.5,24.3,0,,,S,20,13:28,16.9,73,, ,Calm,1020.3,23.2,43,,SSE,9,1016.9
,2021-05-10,12.0,25.1,0,,,W,37,16:49,19.0,61,,WNW,6,1018.6,24.1,39,,WNW,24,1015.2
,2021-05-11,10.5,17.9,0,,,S,43,09:09,12.3,63,,S,26,1021.9,17.3,35,,S,17,1019.8
,2021-05-12,6.1,18.6,0,,,ESE,30,10:59,11.4,56,,ESE,20,1023.0,18.0,33,,SSE,9,1019.2
,2021-05-13,7.7,21.5,0,,,SW,28,11:50,12.9,54,,SW,11,1020.1,21.3,27,,W,17,1017.1
,2021-05-14,9.3,18.4,0,,,SSE,33,09:32,13.7,57,,SSE,20,1022.2,17.4,36,,S,19,1019.7
,2021-05-15,7.2,19.0,0,,,SSE,39,14:04,13.3,60,,S,19,1024.3,18.2,36,,S,26,1022.0
,2021-05-16,5.0,17.0,0,,,SE,31,11:00,10.3,46,,SE,13,1027.2,16.3,29,,SE,17,1024.8
,2021-05-17,4.4,18.5,0,,,ESE,37,11:51,10.7,53,,SE,13,1028.7,17.8,35,,SSE,17,1026.4
,2021-05-18,6.7,20.2,0,,,E,31,11:23,12.4,58,,ESE,17,1029.2,19.7,34,,ESE,15,1026.0
,2021-05-19,5.5,20.8,0,,,E,30,11:59,11.7,51,,ENE,11,1028.0,20.1,26,,ENE,15,1024.9
,2021-05-20,8.8,22.3,0,,,SE,26,13:27,13.4,44,,ESE,11,1027.7,21.7,23,,SE,15,1025.0
,2021-05-21,11.2,22.4,0,,,E,28,09:44,14.7,40,,SE,13,1027.9,22.1,29,,ESE,17,1024.7
,2021-05-22,7.3,23.5,0,,,E,26,14:45,13.3,38,,SE,7,1024.2,23.1,19,,SSE,15,1020.6
,2021-05-23,9.3,24.0,0,,,NE,30,14:09,15.3,47,,ENE,7,1024.3,23.6,28,,ENE,20,1020.9
,2021-05-24,10.8,27.3,0,,,NNE,41,14:39,17.2,48,,NNE,13,1024.0,26.8,23,,NNE,22,1019.5
,2021-05-25,13.8,28.7,0,,,NNW,59,13:08,18.1,42,,N,22,1018.5,27.0,28,,NW,33,1015.2
,2021-05-26,8.1,18.8,0,,,SSW,41,09:54,12.8,53,,SSW,17,1025.1,18.1,31,,S,22,1023.4
,2021-05-27,6.8,18.5,0,,,SSE,39,11:59,11.5,51,,SSE,17,1031.5,18.3,31,,SSE,20,1028.6
,2021-05-28,6.7,18.9,0,,,SSE,37,12:44,12.1,68,,SSE,20,1031.5,18.1,42,,SSE,24,1027.9
,2021-05-29,8.1,17.7,0,,,SE,35,09:09,10.4,56,,ESE,24,1029.3,16.4,32,,SE,22,1025.7
,2021-05-30,4.2,19.1,0,,,ENE,35,10:41,9.5,43,,ESE,20,1026.8,18.8,19,,E,17,1023.8
,2021-05-31,4.5,21.3,0,,,NE,37,12:21,11.5,40,,ENE,20,1023.1,20.1,27,,NE,20,1019.1
