"Daily Weather Observations for Tocumwal, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2135.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tocumwal Airport {station 074106}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,11.0,28.0,0,,,,,,14.5,76,0, ,Calm,,,,,,,
,2021-04-2,13.0,,0,,,,,,16.0,84,2, ,Calm,,,,,,,
,2021-04-3,,31.0,0,,,,,,,,,,,,,,,,,
,2021-04-4,13.0,,0,,,,,,20.5,73,1, ,Calm,,,,,,,
,2021-04-5,,27.9,0,,,,,,,,,,,,,,,,,
,2021-04-6,9.5,28.5,0,,,,,,14.5,83,2,SE,4,,,,,,,
,2021-04-7,14.2,29.4,0,,,,,,21.0,77,4,ENE,7,,,,,,,
,2021-04-8,16.0,30.0,0,,,,,,21.0,73,0,NNE,4,,,,,,,
,2021-04-9,16.2,20.4,0.8,,,,,,17.0,72,4,SSW,11,,,,,,,
,2021-04-10,10.5,20.5,0,,,,,,14.0,72,6,W,2,,,,,,,
,2021-04-11,8.5,17.0,1.3,,,,,,10.0,68,0,WSW,11,,,,,,,
,2021-04-12,8.0,18.5,0,,,,,,12.0,76,1,SW,9,,,,,,,
,2021-04-13,4.8,22.0,0,,,,,,11.0,81,6,NE,6,,,,,,,
,2021-04-14,12.0,23.5,0,,,,,,18.5,30,7,W,9,,,,,,,
,2021-04-15,11.0,20.0,0,,,,,,13.5,72,4,WSW,4,,,,,,,
,2021-04-16,10.0,18.5,0,,,,,,12.0,70,2,SSW,6,,,,,,,
,2021-04-17,7.0,18.5,0,,,,,,10.0,75,3,S,4,,,,,,,
,2021-04-18,,19.0,0,,,,,,14.5,57,6,SW,4,,,,,,,
,2021-04-19,5.0,20.5,0,,,,,,11.0,87,7, ,Calm,,,,,,,
,2021-04-20,,22.4,0,,,,,,15.2,56,7,NNW,6,,,,,,,
,2021-04-21,6.5,15.5,1.1,,,,,,9.0,73,,SSW,9,,,,,,,
,2021-04-22,6.0,18.2,0,,,,,,11.5,59,7,W,2,,,,,,,
,2021-04-23,12.0,18.2,0,,,,,,12.5,82,8,SW,4,,,,,,,
,2021-04-24,,20.0,0,,,,,,12.5,94,7,SW,4,,,,,,,
,2021-04-25,7.5,19.0,0,,,,,,17.0,47,3,SSW,7,,,,,,,
,2021-04-26,9.5,19.5,0,,,,,,13.5,72,0,SSW,7,,,,,,,
,2021-04-27,,22.4,0,,,,,,11.0,87,0,S,4,,,,,,,
,2021-04-28,5.5,23.0,0,,,,,,12.0,82,2,E,4,,,,,,,
,2021-04-29,6.5,23.0,0,,,,,,13.0,72,2, ,Calm,,,,,,,
,2021-04-30,8.0,25.5,0,,,,,,13.5,72,1,ENE,2,,,,,,,
