"Daily Weather Observations for Tocumwal, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2135.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tocumwal Airport {station 074106}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,9.5,26.0,0,,,,,,16.0,59,2,NE,4,,,,,,,
,2021-05-2,12.5,27.5,0,,,,,,17.5,57,5,NE,6,,,,,,,
,2021-05-3,12.5,22.0,0,,,,,,16.5,74,5,NNE,4,,,,,,,
,2021-05-4,9.5,15.2,1.2,,,,,,10.0,80,4,WSW,6,,,,,,,
,2021-05-5,,21.5,1.8,,,,,,11.5,82,6,S,6,,,,,,,
,2021-05-6,10.0,25.0,0,,,,,,12.5,77,1,S,4,,,,,,,
,2021-05-7,10.5,24.5,0,,,,,,14.5,79,3,WSW,2,,,,,,,
,2021-05-8,11.0,23.5,0,,,,,,14.5,62,4,W,2,,,,,,,
,2021-05-9,11.0,21.5,0,,,,,,14.5,73,7, ,Calm,,,,,,,
,2021-05-10,11.5,21.0,3.4,,,,,,13.8,87,7,NNW,2,,,,,,,
,2021-05-11,11.0,19.0,0.4,,,,,,11.0,81,7,SSW,7,,,,,,,
,2021-05-12,9.0,21.0,0,,,,,,12.0,74,1,S,2,,,,,,,
,2021-05-13,5.5,19.0,0,,,,,,10.0,93,6, ,Calm,,,,,,,
,2021-05-14,6.0,15.5,0.6,,,,,,8.0,86,6,W,4,,,,,,,
,2021-05-15,,14.0,0,,,,,,10.0,62,1,SW,11,,,,,,,
,2021-05-16,3.0,14.8,0,,,,,,8.5,60,7,W,2,,,,,,,
,2021-05-17,8.2,16.5,0,,,,,,11.0,81,1,W,7,,,,,,,
,2021-05-18,3.0,17.2,0,,,,,,6.8,60,6,E,2,,,,,,,
,2021-05-19,,18.5,0,,,,,,10.5,57,8,NNE,4,,,,,,,
,2021-05-20,7.5,20.0,0,,,,,,9.8,64,7,NNE,6,,,,,,,
,2021-05-21,6.0,19.2,0,,,,,,6.0,97,0,E,2,,,,,,,
,2021-05-22,4.5,,0,,,,,,8.0,79,0,E,2,,,,,,,
,2021-05-23,,,0,,,,,,,,,,,,,,,,,
,2021-05-24,,21.0,0,,,,,,,,,,,,,,,,,
,2021-05-25,13.0,,0,,,,,,11.5,82,6,NE,7,,,,,,,
,2021-05-26,6.0,15.2,17.4,,,,,,8.5,93,3,NW,2,,,,,,,
,2021-05-27,5.5,14.8,0,,,,,,7.5,72,6,W,4,,,,,,,
,2021-05-28,4.5,14.0,0.4,,,,,,9.0,80,0,SSW,7,,,,,,,
,2021-05-29,1.5,12.0,0,,,,,,4.0,84,0,S,4,,,,,,,
,2021-05-30,1.0,15.0,0,,,,,,5.5,92,0,ENE,6,,,,,,,
,2021-05-31,1.0,15.5,0,,,,,,4.0,92,0,ENE,4,,,,,,,
