"Daily Weather Observations for Trangie, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2136.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Trangie Research Station AWS {station 051049}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,12.3,26.4,0,,,E,26,09:39,16.7,74,,E,11,1024.2,25.5,41,,SE,11,1021.9
,2021-04-2,13.6,27.5,0,,,E,20,02:52,18.1,79,,E,13,1025.8,26.6,41,,SE,7,1023.1
,2021-04-3,14.3,27.9,0,,,E,26,08:42,18.7,75,,E,11,1024.8,26.6,43,,S,7,1020.5
,2021-04-4,13.0,28.9,0,,,SW,28,12:10,22.4,62,,N,7,1021.2,28.6,36,,SW,13,1017.2
,2021-04-5,13.3,30.8,0,,,S,22,12:43,21.5,65,,SE,7,1018.7,30.2,31,,ESE,9,1015.3
,2021-04-6,17.2,28.9,0,,,E,35,08:50,22.6,62,,E,22,1019.8,27.9,42,,E,13,1016.2
,2021-04-7,17.2,28.8,0,,,SSE,46,20:03,22.8,66,,E,19,1018.0,28.4,41,,ESE,7,1012.9
,2021-04-8,14.7,28.1,0,,,ESE,28,09:13,20.9,71,,ESE,17,1013.5,27.3,40,,SE,7,1008.6
,2021-04-9,14.2,31.2,0,,,NW,37,09:44,23.9,58,,NNW,17,1008.9,30.5,19,,WNW,22,1005.1
,2021-04-10,13.3,23.3,0.4,,,WSW,43,13:44,17.1,64,,SW,11,1011.1,22.4,32,,SW,28,1008.9
,2021-04-11,9.1,18.8,0.2,,,WSW,52,11:48,13.8,52,,SSW,28,1016.6,17.6,30,,SW,33,1016.0
,2021-04-12,3.3,19.9,0,,,SSW,30,11:38,11.4,58,,S,15,1022.7,18.8,31,,SW,17,1019.2
,2021-04-13,3.6,24.3,0,,,NW,26,14:06,13.8,56,,E,9,1021.8,23.5,21,,NNW,11,1017.9
,2021-04-14,8.9,27.3,0,,,NW,35,13:29,18.4,42,,N,17,1018.6,26.9,19,,WNW,17,1015.4
,2021-04-15,10.2,25.3,0,,,SW,31,14:08,19.7,48,,SE,6,1017.9,24.7,32,,S,11,1015.2
,2021-04-16,11.8,22.9,0,,,SSE,33,10:42,15.5,55,,SSE,9,1021.0,21.0,39,,ENE,2,1019.1
,2021-04-17,11.4,23.4,0,,,S,30,14:48,14.7,60,,SSE,9,1023.1,22.2,36,,SSE,13,1019.9
,2021-04-18,5.6,22.4,0,,,S,20,14:12,14.3,55,,SSE,7,1023.0,21.2,27,,S,9,1019.0
,2021-04-19,3.6,23.3,0,,,WSW,22,14:14,15.2,49,,ENE,9,1020.3,22.7,27,,W,11,1016.4
,2021-04-20,4.6,24.6,0,,,WNW,54,13:44,14.3,57,,NE,6,1017.9,24.1,26,,WNW,20,1013.2
,2021-04-21,7.8,19.1,0,,,WSW,35,01:08,12.3,67,,SSW,24,1017.3,18.6,30,,SSW,13,1014.6
,2021-04-22,1.4,19.2,0,,,SW,41,14:05,12.5,43,,NW,4,1017.7,18.6,27,,SW,28,1015.2
,2021-04-23,3.1,21.8,0,,,SW,35,14:01,12.8,55,,W,7,1020.8,21.0,33,,SW,20,1018.4
,2021-04-24,4.4,22.0,0,,,SSW,30,12:44,13.9,60,,SE,6,1024.4,20.9,34,,S,17,1021.4
,2021-04-25,4.7,21.7,0,,,SSW,35,13:00,13.9,61,,S,7,1025.6,20.9,32,,S,20,1022.7
,2021-04-26,6.2,23.0,0,,,S,28,14:42,14.3,58,,SSE,9,1025.9,22.2,29,,SSW,15,1022.9
,2021-04-27,4.8,26.0,0,,,ESE,20,09:13,15.9,61,,E,13,1027.2,24.9,26,, ,Calm,1023.0
,2021-04-28,8.4,25.5,0,,,E,24,08:04,16.6,69,,E,13,1025.2,23.1,37,, ,Calm,1021.7
,2021-04-29,10.1,25.8,0,,,E,19,08:41,15.7,70,,E,11,1024.1,24.6,30,,S,2,1021.4
,2021-04-30,9.0,26.1,0,,,N,22,09:58,17.3,65,,E,13,1027.4,24.4,34,,SE,9,1024.3
