"Daily Weather Observations for Tumbarumba, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2137.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tumbarumba Post Office {station 072043}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,10.7,28.0,0,,,,,,19.5,47,0,N,9,,,,,,,
,2021-03-2,5.0,23.3,0,,,,,,10.5,76,0,S,2,,,,,,,
,2021-03-3,4.2,23.0,0,,,,,,11.8,62,0,SW,17,,,,,,,
,2021-03-4,4.0,25.5,0,,,,,,15.0,59,0, ,Calm,,,,,,,
,2021-03-5,6.1,25.0,0,,,,,,13.1,77,0,N,9,,,,,,,
,2021-03-6,3.3,25.7,0,,,,,,8.5,74,0, ,Calm,,,,,,,
,2021-03-7,5.5,27.0,0,,,,,,15.5,75,,,,,,,,,,
,2021-03-8,11.5,27.0,0,,,,,,19.0,64,8, ,Calm,,,,,,,
,2021-03-9,9.0,26.3,0,,,,,,13.5,83,0, ,Calm,,,,,,,
,2021-03-10,7.5,28.0,0,,,,,,13.5,78,0, ,Calm,,,,,,,
,2021-03-11,10.0,23.3,0,,,,,,15.5,84,3, ,Calm,,,,,,,
,2021-03-12,10.1,27.0,6.8,,,,,,16.7,93,7, ,Calm,,,,,,,
,2021-03-13,13.9,29.8,0,,,,,,20.6,77,4,NE,17,,,,,,,
,2021-03-14,11.0,21.0,7.4,,,,,,11.2,83,8,S,17,,,,,,,
,2021-03-15,4.0,22.4,0,,,,,,11.0,76,0,SW,2,,,,,,,
,2021-03-16,6.7,25.0,0,,,,,,11.5,87,0, ,Calm,,,,,,,
,2021-03-17,10.5,21.2,0,,,,,,15.5,60,4, ,Calm,,,,,,,
,2021-03-18,13.7,26.1,0,,,,,,17.3,64,7,S,17,,,,,,,
,2021-03-19,15.4,25.5,0,,,,,,17.1,66,7, ,Calm,,,,,,,
,2021-03-20,13.5,24.4,0,,,,,,18.5,57,8,SE,24,,,,,,,
,2021-03-21,15.5,22.0,3.0,,,,,,19.5,60,8,NE,24,,,,,,,
,2021-03-22,15.0,20.5,2.6,,,,,,17.0,80,8,E,2,,,,,,,
,2021-03-23,14.0,17.5,25.4,,,,,,15.0,94,8, ,Calm,,,,,,,
,2021-03-24,13.8,,17.8,,,,,,14.6,94,8, ,Calm,,,,,,,
,2021-03-25,,20.5,6.4,,,,,,,,,,,,,,,,,
,2021-03-26,5.9,21.0,0,,,,,,9.0,93,0, ,Calm,,,,,,,
,2021-03-27,9.0,,0,,,,,,13.0,78,8,NNW,2,,,,,,,
,2021-03-28,,20.5,1.6,,,,,,,,,,,,,,,,,
,2021-03-29,3.0,22.0,0,,,,,,11.5,76,0, ,Calm,,,,,,,
,2021-03-30,3.5,22.0,0,,,,,,6.0,85,1, ,Calm,,,,,,,
,2021-03-31,3.0,24.0,0,,,,,,5.7,89,0, ,Calm,,,,,,,
