"Daily Weather Observations for Tumbarumba, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2137.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tumbarumba Post Office {station 072043}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,1.2,22.4,0,,,,,,13.8,89,0, ,Calm,,,,,,,
,2021-05-2,4.4,23.0,0,,,,,,12.1,87,7, ,Calm,,,,,,,
,2021-05-3,6.8,20.5,0,,,,,,14.0,84,7,N,6,,,,,,,
,2021-05-4,10.0,15.0,12.2,,,,,,11.5,96,8,,,,,,,,,
,2021-05-5,8.0,20.4,9.0,,,,,,11.7,92,4,S,9,,,,,,,
,2021-05-6,8.5,19.6,0,,,,,,14.0,78,3,SSE,6,,,,,,,
,2021-05-7,8.1,23.0,0,,,,,,16.5,72,4, ,Calm,,,,,,,
,2021-05-8,8.1,23.0,0,,,,,,11.6,87,7, ,Calm,,,,,,,
,2021-05-9,5.7,20.5,0,,,,,,13.2,41,0, ,Calm,,,,,,,
,2021-05-10,5.5,15.5,0,,,,,,13.0,78,8,N,4,,,,,,,
,2021-05-11,5.0,15.5,15.4,,,,,,9.5,93,8,E,4,,,,,,,
,2021-05-12,6.3,17.5,3.4,,,,,,13.8,60,7,E,9,,,,,,,
,2021-05-13,2.9,16.4,0,,,,,,8.6,92,1, ,Calm,,,,,,,
,2021-05-14,3.0,10.2,0.8,,,,,,6.5,79,1,SSW,6,,,,,,,
,2021-05-15,4.1,11.2,3.2,,,,,,5.0,91,7,SW,9,,,,,,,
,2021-05-16,-3.7,8.5,0.4,,,,,,2.5,58,0, ,Calm,,,,,,,
,2021-05-17,,13.5,0.2,,,,,,7.0,86,8,E,7,,,,,,,
,2021-05-18,-2.0,15.0,0.2,,,,,,2.5,100,0, ,Calm,,,,,,,
,2021-05-19,-3.0,13.4,0.2,,,,,,2.5,91,0, ,Calm,,,,,,,
,2021-05-20,-2.2,15.0,0.2,,,,,,3.7,92,1, ,Calm,,,,,,,
,2021-05-21,-3.0,,0,,,,,,3.9,91,0, ,Calm,,,,,,,
,2021-05-22,,,0,,,,,,,,,,,,,,,,,
,2021-05-23,,18.0,0,,,,,,,,,,,,,,,,,
,2021-05-24,-3.0,19.5,0.2,,,,,,6.5,93,0, ,Calm,,,,,,,
,2021-05-25,3.5,18.1,0,,,,,,14.0,68,7,N,9,,,,,,,
,2021-05-26,7.0,10.8,21.0,,,,,,9.0,87,7,N,4,,,,,,,
,2021-05-27,-0.5,12.0,4.0,,,,,,3.5,84,5, ,Calm,,,,,,,
,2021-05-28,2.5,10.5,0,,,,,,6.5,79,1,SE,9,,,,,,,
,2021-05-29,-5.1,11.9,0,,,,,,0.0,79,0, ,Calm,,,,,,,
,2021-05-30,-5.1,14.0,0.2,,,,,,1.7,,0, ,Calm,,,,,,,
,2021-05-31,-6.0,15.9,0,,,,,,-0.5,,0, ,Calm,,,,,,,
