"Daily Weather Observations for Ulladulla, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2138.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ulladulla AWS {station 069138}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,17.1,28.7,0.2,,,SSW,56,22:34,20.6,71,,NE,9,1010.1,22.2,77,,NE,33,1004.5
,2020-12-2,17.6,20.6,0,,,SSW,52,23:17,18.3,75,,SSE,6,1019.3,18.7,64,,SE,9,1020.8
,2020-12-3,15.3,21.3,0,,,NE,50,15:21,17.7,73,,NNE,6,1022.7,20.8,76,,NE,13,1017.8
,2020-12-4,15.8,33.4,0,,,S,59,16:19,20.1,75,,ENE,6,1014.5,24.5,59,,NE,15,1009.2
,2020-12-5,16.1,26.3,0,,,NW,56,20:23,19.1,72,,NE,9,1012.1,20.5,82,,NNE,11,1003.0
,2020-12-6,18.6,26.1,0.2,,,NW,59,00:03,21.2,34,,NW,20,1000.3,24.1,30,,NW,24,1000.5
,2020-12-7,14.1,26.9,0,,,NW,59,11:02,22.9,33,,W,15,1003.7,25.9,25,,WNW,20,1002.0
,2020-12-8,12.2,19.8,0.2,,,S,39,00:55,17.6,44,,SSW,19,1012.8,19.1,48,,SSE,20,1013.8
,2020-12-9,13.3,21.7,0,,,NE,26,15:39,18.4,62,,NE,9,1019.1,21.3,62,,ENE,15,1016.6
,2020-12-10,14.7,19.2,0,,,S,52,08:07,18.5,83,,S,33,1019.3,18.8,73,,SSE,22,1021.7
,2020-12-11,15.4,20.2,0.2,,,,,,16.6,50,,S,15,1030.5,20.0,46,,SSE,15,1029.5
,2020-12-12,16.3,20.9,,,,SSE,31,07:27,17.7,69,,SSE,19,1031.8,19.2,65,,SSE,15,1029.9
,2020-12-13,14.8,22.3,14.2,,,NE,31,22:18,18.6,86,,S,6,1026.8,21.6,66,,NE,13,1024.1
,2020-12-14,17.3,23.8,0.2,,,NE,31,15:02,21.1,75,,NNE,4,1021.6,23.3,69,,NE,13,1019.6
,2020-12-15,19.2,24.1,0.2,,,NNE,35,16:28,21.1,84,,N,4,1017.8,22.6,85,,NE,15,1014.5
,2020-12-16,20.3,23.9,27.8,,,NE,37,15:01,21.6,98,,NNE,17,1012.8,22.6,91,,NNE,17,1008.8
,2020-12-17,20.3,27.8,3.6,,,NE,31,17:21,22.9,94,,NNE,6,1005.8,24.9,82,,N,7,1003.0
,2020-12-18,20.6,29.4,0,,,SSE,37,17:42,27.6,54,,WNW,13,1004.6,21.4,85,,SSE,17,1008.1
,2020-12-19,16.7,20.1,0.8,,,S,37,23:19,17.8,68,,SSE,19,1018.0,18.3,72,,SSE,11,1017.6
,2020-12-20,16.0,23.6,1.2,,,SSE,22,12:49,19.7,81,,SW,9,1014.3,22.7,70,,SE,13,1011.8
,2020-12-21,18.0,22.6,0.2,,,NE,39,22:13,20.6,79,,SSW,11,1012.4,21.7,78,,NE,7,1009.3
,2020-12-22,16.6,25.9,7.6,,,NW,56,15:39,18.5,90,,S,4,1000.9,24.4,36,,WNW,15,1000.0
,2020-12-23,15.2,22.5,0,,,SSE,43,10:22,19.5,59,,SSW,13,1013.6,21.8,58,,SSE,20,1015.5
,2020-12-24,16.2,23.8,0,,,S,43,20:36,20.5,68,,NNE,7,1016.0,22.4,65,,SSE,9,1014.2
,2020-12-25,16.8,19.9,3.2,,,S,41,06:30,17.4,67,,SSE,22,1020.4,19.1,56,,SSE,17,1020.7
,2020-12-26,15.7,22.4,0,,,N,50,20:44,18.4,78,,N,7,1020.3,21.6,70,,NE,33,1016.1
,2020-12-27,16.9,23.8,0,,,W,46,19:30,21.4,70,,NE,7,1012.6,22.6,80,,NE,19,1008.5
,2020-12-28,19.2,19.4,0,,,S,61,04:20,19.3,84,,S,28,1008.9,17.1,69,,S,26,1011.1
,2020-12-29,13.8,19.5,1.4,,,SSE,33,13:06,14.4,92,,WSW,9,1015.9,16.6,89,,S,17,1016.3
,2020-12-30,14.4,20.8,1.4,,,NNE,24,17:12,19.1,78,,SSW,9,1019.9,19.6,76,,NE,9,1019.6
,2020-12-31,17.9,22.5,0,,,ESE,15,15:09,19.6,76,,NW,2,1021.1,22.2,62,,E,6,1020.8
