"Daily Weather Observations for Ulladulla, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2138.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ulladulla AWS {station 069138}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,7.5,20.3,0,,,S,17,13:04,13.5,65,,NNE,4,1021.1,16.3,62,,S,4,1019.8
,2021-06-2,11.0,18.8,0,,,W,15,00:54,15.8,57,, ,Calm,1020.4,17.3,58,,NNE,6,1017.6
,2021-06-3,12.6,14.9,1.0,,,WSW,20,22:24,14.4,72,,W,7,1015.3,13.8,91,,SSW,6,1011.3
,2021-06-4,11.0,19.2,7.2,,,S,59,20:35,14.4,66,,W,7,1010.5,17.3,55,,SW,9,1010.2
,2021-06-5,5.7,15.5,2.4,,,WNW,26,23:39,11.9,54,,W,4,1022.1,14.5,53,,NNE,6,1019.2
,2021-06-6,9.3,18.6,0,,,WNW,28,00:54,15.2,48,,W,9,1023.3,17.1,52,,NNE,7,1022.1
,2021-06-7,8.7,19.1,1.0,,,NNW,28,16:04,13.9,63,,N,4,1021.6,17.2,55,,N,13,1017.4
,2021-06-8,12.2,19.4,0,,,NE,44,16:08,15.5,41,,NNW,15,1010.7,17.7,58,,NE,19,1006.5
,2021-06-9,8.3,14.9,0,,,SSW,30,15:00,11.6,60,,WNW,4,1004.0,12.8,70,,SSW,19,1000.0
,2021-06-10,4.3,12.9,,,,SSW,26,20:29,9.1,78,,W,9,1005.6,11.2,75,,ENE,6,1006.4
,2021-06-11,8.5,15.6,19.0,,,SW,41,13:35,10.4,91,,WSW,6,1010.0,13.9,80,,SW,15,1008.9
,2021-06-12,9.8,16.7,2.4,,,WNW,43,14:42,15.6,46,,WNW,4,1012.1,13.5,60,,WNW,19,1011.7
,2021-06-13,11.5,18.9,0.6,,,WNW,37,00:06,14.3,55,,WNW,17,1015.2,17.6,50,,WSW,7,1013.8
,2021-06-14,12.2,17.5,0,,,S,24,14:10,13.6,72,,W,7,1016.4,16.0,67,,S,11,1015.0
,2021-06-15,12.1,17.0,5.2,,,SSW,20,15:00,13.9,81,,W,6,1018.0,15.7,71,,SSW,15,1015.7
,2021-06-16,9.3,17.5,0,,,N,24,16:51,14.2,68,,NW,4,1016.3,17.2,64,,NE,11,1011.8
,2021-06-17,9.6,16.2,9.2,,,WSW,48,13:19,12.9,59,,WNW,13,1007.3,15.1,49,,W,17,1005.2
,2021-06-18,10.4,15.5,0,,,SW,61,22:43,13.1,58,,W,15,1005.5,11.3,84,,WNW,13,1005.0
,2021-06-19,10.9,15.4,9.8,,,S,83,15:04,13.8,64,,SSW,39,1013.9,15.0,69,,SSW,44,1016.7
,2021-06-20,11.0,15.2,0,,,SSW,59,12:51,12.6,65,,SW,24,1024.9,13.9,73,,SSW,31,1024.0
,2021-06-21,9.4,13.9,1.2,,,SW,24,04:34,11.1,78,,WSW,9,1028.7,12.4,88,,NNE,4,1027.3
,2021-06-22,9.5,15.8,6.6,,,WSW,17,05:42,12.1,89,, ,Calm,1031.7,14.9,74,,NE,7,1029.4
,2021-06-23,11.0,17.3,0,,,NNW,28,06:07,14.0,71,,N,7,1025.7,16.0,73,,N,7,1020.9
,2021-06-24,13.7,19.4,0,,,N,37,05:02,17.2,65,,N,20,1012.1,18.9,64,,N,13,1008.9
,2021-06-25,10.3,19.0,0.2,,,NW,31,23:30,14.7,69,,NW,2,1013.7,18.1,42,,NW,11,1012.4
,2021-06-26,11.3,17.7,0,,,WNW,44,08:45,13.9,56,,WNW,20,1016.8,17.3,47,,WNW,9,1016.4
,2021-06-27,10.1,18.3,0,,,WNW,31,00:24,14.0,47,,WNW,9,1023.8,17.1,39,,SSW,6,1024.9
,2021-06-28,9.4,15.2,0,,,SSW,28,12:02,12.8,71,,SW,11,1032.8,14.4,62,,S,15,1031.7
,2021-06-29,7.6,15.9,0,,,S,15,12:11,13.0,69,,W,7,1035.0,14.7,72,,S,6,1032.8
,2021-06-30,10.2,17.1,0.4,,,NE,17,16:22,13.3,88,,W,6,1031.5,16.0,78,,NNE,4,1027.6
