"Daily Weather Observations for Wagga Wagga, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2139.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,17.7,36.8,0,8.6,,,,,24.4,51,,ENE,20,1008.5,36.4,23,,W,39,1004.2
,2020-12-2,11.2,25.3,0,12.0,,,,,17.7,28,,SW,19,1019.9,24.0,18,,WSW,20,1018.9
,2020-12-3,9.1,29.1,0,8.8,,,,,19.3,60,3,E,13,1020.9,27.7,24,,SW,15,1016.6
,2020-12-4,8.4,32.4,0,8.0,,,,,21.2,31,,ENE,6,1015.8,31.3,9,,WSW,31,1011.9
,2020-12-5,10.6,30.8,,,,,,,22.3,42,,ENE,20,1008.7,30.2,25,7,N,20,999.0
,2020-12-6,11.8,21.1,,,,,,,14.6,67,1,W,31,1006.6,20.6,41,8,W,26,1005.4
,2020-12-7,13.6,21.1,23.6,27.6,,,,,17.2,49,,W,28,1007.5,19.3,40,8,W,31,1006.1
,2020-12-8,7.0,21.7,1.0,6.4,,,,,12.1,75,3,SW,17,1015.8,19.9,32,,WSW,26,1015.4
,2020-12-9,6.7,26.9,0,5.6,,,,,14.8,59,,NNW,9,1019.5,24.5,29,,SSW,11,1016.0
,2020-12-10,10.0,30.9,0,5.8,,,,,21.3,47,,NNE,7,1017.9,29.9,22,6,SE,13,1015.7
,2020-12-11,13.2,26.6,0,12.0,,,,,17.9,42,,E,28,1026.0,24.9,26,,E,19,1022.6
,2020-12-12,12.8,25.6,0,,,,,,19.3,41,,ENE,31,1028.6,23.9,30,,ENE,31,1024.2
,2020-12-13,,,0,,,,,,,,,,,,,,,,,
,2020-12-14,,31.3,0,28.4,,,,,22.1,56,,ENE,30,1019.2,29.8,33,,,,1014.6
,2020-12-15,18.4,31.6,0,8.4,,,,,22.2,58,8,E,26,1015.0,29.4,40,8,ESE,13,1011.2
,2020-12-16,21.0,33.3,0,7.0,,,,,26.2,61,8,E,26,1010.5,32.6,38,4,SW,9,1005.4
,2020-12-17,19.1,33.4,23.4,10.0,,,,,24.0,81,1,E,6,1005.9,31.2,45,4,NW,9,1003.5
,2020-12-18,18.4,28.0,0,8.0,,,,,19.3,63,8,W,19,1009.0,27.2,30,,W,20,1008.3
,2020-12-19,8.1,26.4,0,,,,,,16.0,57,,SW,4,1015.7,25.1,16,,W,19,1012.8
,2020-12-20,10.7,28.7,0,,,,,,19.4,67,,E,11,1013.9,26.9,15,,SW,22,1010.7
,2020-12-21,13.3,27.1,,,,,,,20.2,64,5,E,19,1009.4,26.5,27,1,NE,15,1005.7
,2020-12-22,14.7,21.8,,,,,,,16.6,83,7,W,26,1005.0,19.7,50,4,W,33,1005.7
,2020-12-23,13.4,27.6,,,,,,,15.5,78,5,WSW,6,1016.0,24.2,42,6,ESE,9,1014.5
,2020-12-24,10.1,28.9,,,,,,,20.1,57,,NW,11,1015.9,27.8,25,,W,28,1012.9
,2020-12-25,8.7,29.2,,,,,,,18.8,59,,E,7,1016.8,27.9,30,,E,15,1014.2
,2020-12-26,16.3,31.3,,,,,,,20.9,56,,NE,22,1016.4,28.8,22,2,WNW,11,1011.8
,2020-12-27,14.0,35.5,,,,,,,23.8,61,,ENE,15,1011.5,34.6,14,,NNW,24,1005.4
,2020-12-28,18.2,30.2,,,,,,,20.6,57,,W,20,1006.1,29.1,17,7,W,24,1005.3
,2020-12-29,9.7,28.8,,,,,,,16.6,47,,N,4,1012.7,26.4,16,,SSW,13,1011.1
,2020-12-30,16.5,31.2,,,,,,,21.7,55,,ENE,28,1016.3,29.0,32,1,NE,15,1013.6
,2020-12-31,18.2,32.1,,,,,,,22.0,61,,ENE,22,1017.5,30.6,28,1,NE,15,1013.9
