"Daily Weather Observations for Walgett, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2140.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Walgett Airport AWS {station 052088}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,12.6,27.8,0,,,ESE,31,11:08,18.4,68,,ESE,17,1022.6,27.0,35,,S,15,1020.1
,2021-04-2,15.4,28.4,0,,,ENE,33,12:22,19.3,69,,E,17,1024.2,27.4,36,,SSE,11,1021.3
,2021-04-3,13.1,26.5,0,,,NNE,31,13:09,18.8,72,,E,9,1023.2,24.8,45,7,NNE,17,1020.1
,2021-04-4,12.1,28.4,0,,,NE,24,13:39,21.3,60,,ENE,13,1020.3,27.8,41,,SE,11,1016.2
,2021-04-5,13.3,30.5,0,,,ESE,24,11:32,24.1,57,,WSW,7,1017.8,29.4,35,4,SE,9,1014.5
,2021-04-6,16.5,28.9,0,,,ESE,26,08:21,24.4,61,,E,17,1017.6,27.5,51,7,NNW,6,1014.6
,2021-04-7,14.6,29.7,0,,,S,30,14:47,22.8,63,,ESE,17,1016.5,27.9,41,8,SSE,15,1011.4
,2021-04-8,13.9,29.4,0,,,SSW,24,14:17,22.3,66,,ESE,7,1012.0,27.9,38,,SSW,15,1007.9
,2021-04-9,13.9,31.4,0,,,W,37,13:18,24.6,56,7,NNW,11,1009.6,31.2,21,,WNW,20,1005.4
,2021-04-10,15.0,24.8,0,,,WSW,30,15:27,21.1,57,8,N,6,1010.0,24.3,42,,WSW,15,1008.2
,2021-04-11,8.4,20.6,0,,,SSW,44,09:07,16.7,49,,SSW,30,1016.9,20.1,31,,SW,28,1015.2
,2021-04-12,4.3,20.8,0,,,SW,39,14:31,14.0,46,,SSE,17,1022.6,20.5,28,,SW,17,1018.4
,2021-04-13,2.8,24.4,,,,,,,15.8,47,,ENE,13,1021.7,23.9,24,,E,9,1017.7
,2021-04-14,9.0,28.5,0,,,N,33,09:17,19.5,55,,N,19,1018.7,28.2,23,,WNW,9,1015.0
,2021-04-15,13.0,29.3,0,,,S,28,23:26,23.1,40,,NE,7,1016.6,27.9,22,5,W,13,1013.4
,2021-04-16,15.8,20.9,0,,,S,30,02:43,18.3,45,8,SSE,20,1019.9,19.7,47,7,SW,13,1018.2
,2021-04-17,12.3,21.1,13.4,,,SSE,28,15:36,13.5,96,8,ENE,11,1021.5,20.6,64,5,SE,9,1019.3
,2021-04-18,7.3,23.1,0,,,SW,22,14:49,13.8,75,,S,7,1022.5,22.3,33,,SW,13,1018.2
,2021-04-19,5.7,23.2,0,,,WNW,24,14:09,15.0,57,,SSE,7,1020.2,22.6,29,,NNW,11,1016.1
,2021-04-20,5.2,25.1,0,,,N,31,15:01,17.0,59,,NNE,7,1018.4,24.9,27,,WNW,9,1014.0
,2021-04-21,7.9,22.1,0,,,S,33,09:50,15.5,61,,S,22,1017.2,21.8,34,,WSW,20,1014.5
,2021-04-22,2.0,20.7,0,,,SW,39,13:18,13.5,55,,WSW,7,1018.1,20.1,28,,WSW,22,1014.8
,2021-04-23,2.8,22.6,0,,,SW,33,11:39,15.7,50,,NNE,6,1021.1,22.3,31,,SSW,13,1017.8
,2021-04-24,3.0,22.8,0,,,WSW,30,13:36,14.5,59,,SW,2,1024.1,22.5,34,,SSW,17,1020.6
,2021-04-25,4.7,22.9,0,,,S,39,11:28,15.3,56,,S,11,1024.9,22.3,31,,SW,24,1021.5
,2021-04-26,5.8,24.2,0,,,S,28,15:49,15.0,56,,SSE,13,1024.5,24.0,30,,SSE,15,1021.4
,2021-04-27,5.6,25.9,0,,,E,22,15:26,15.4,60,,ESE,7,1026.2,25.6,29,,ENE,9,1021.5
,2021-04-28,8.2,26.5,0,,,NNE,24,11:36,17.6,62,,NE,13,1024.3,24.5,34,6,NNE,6,1020.6
,2021-04-29,7.9,26.4,0,,,NNE,28,09:40,18.1,66,,NE,17,1023.3,25.5,36,,E,11,1020.1
,2021-04-30,9.7,26.9,0,,,NE,28,09:02,18.5,65,,NE,17,1025.9,25.8,38,5,SE,19,1022.9
