"Daily Weather Observations for Walgett, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2140.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Walgett Airport AWS {station 052088}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,3.8,27.6,0,,,SE,30,13:00,19.6,42,,E,17,1026.1,27.3,26,,SSE,13,1022.9
,2021-09-2,8.4,29.0,0,,,ENE,37,17:07,20.5,61,,NNE,24,1025.7,28.7,36,,NNE,20,1021.4
,2021-09-3,11.8,26.0,0,,,NNE,46,09:06,18.3,59,,NNE,30,1025.5,25.2,37,,NE,24,1019.5
,2021-09-4,12.6,21.7,0,,,NNE,35,09:37,18.2,64,8,NNE,24,1020.8,17.5,88,8,NNW,7,1017.8
,2021-09-5,10.1,17.8,12.6,,,WSW,43,15:24,11.2,90,1,WSW,15,1022.4,17.3,43,,SW,24,1021.3
,2021-09-6,3.0,19.0,0.2,,,S,46,13:03,11.9,67,,SSW,22,1029.1,18.6,43,,S,22,1026.4
,2021-09-7,0.4,,0,,,,,,11.3,72,,SSE,11,1032.2,,,,,,
,2021-09-8,,22.3,,,,,,,12.4,75,,SSE,11,1032.0,21.8,38,,SSW,17,1028.5
,2021-09-9,0.4,25.5,0,,,SSW,20,15:32,16.3,68,,NE,6,1030.6,24.8,20,,SE,11,1026.5
,2021-09-10,2.9,28.4,0,,,NNW,20,08:42,20.4,47,,N,15,1025.9,28.0,17,,SW,11,1021.4
,2021-09-11,4.9,30.2,0,,,N,31,13:33,20.5,44,,NNE,13,1019.7,29.5,16,,NNW,15,1013.7
,2021-09-12,11.9,32.2,0,,,NW,54,13:20,23.1,32,,NNW,19,1011.5,31.3,13,1,W,33,1007.3
,2021-09-13,6.1,19.9,0,,,WSW,50,13:33,14.9,47,,SSW,24,1017.2,18.8,19,,SW,20,1015.6
,2021-09-14,1.4,20.4,0,,,S,43,13:16,12.2,64,,S,15,1023.5,19.3,35,2,S,24,1020.9
,2021-09-15,-0.4,21.4,0,,,SW,31,11:37,14.9,51,,ENE,13,1024.4,20.4,28,,S,17,1020.4
,2021-09-16,1.0,23.5,0,,,E,24,08:21,15.5,55,,E,15,1022.8,22.7,28,,SSE,13,1018.3
,2021-09-17,6.2,28.5,0,,,NE,33,09:34,18.9,39,,NNE,22,1020.8,27.5,19,,NNE,13,1016.6
,2021-09-18,14.6,25.8,0,,,W,43,13:36,20.0,46,6,N,17,1017.9,21.8,57,8,W,31,1018.4
,2021-09-19,11.5,25.1,2.2,,,W,24,13:23,15.5,90,2,NE,17,1025.1,24.6,33,,W,13,1020.4
,2021-09-20,4.3,28.3,0,,,S,54,21:24,21.1,44,,N,11,1019.6,26.7,12,7,WSW,26,1013.7
,2021-09-21,6.6,17.4,0,,,SSW,59,12:02,11.3,46,2,SW,31,1022.7,16.6,28,5,SSW,31,1021.5
,2021-09-22,1.4,20.6,0,,,S,33,09:30,13.0,49,,SSW,22,1026.4,20.4,24,,SSW,20,1022.6
,2021-09-23,3.0,24.5,0,,,S,30,11:27,17.4,50,,SE,7,1024.3,24.1,29,,WNW,9,1019.2
,2021-09-24,7.7,29.8,0,,,WNW,39,11:53,22.5,33,,NNW,17,1018.6,29.1,13,,W,22,1013.0
,2021-09-25,5.6,27.4,0,,,S,41,14:17,19.3,44,,S,19,1017.4,26.9,18,,SW,20,1015.5
,2021-09-26,5.5,25.0,0,,,SE,28,20:55,14.9,53,,S,11,1020.9,23.8,21,,SW,11,1017.1
,2021-09-27,9.2,26.7,0,,,NE,54,08:47,18.1,54,,NE,41,1020.8,26.0,37,8,ENE,22,1015.1
,2021-09-28,13.0,24.2,0,,,NE,48,08:22,18.0,59,8,NE,31,1019.0,21.8,53,8,ENE,26,1015.1
,2021-09-29,14.3,20.4,2.0,,,ENE,56,19:16,15.8,89,8,WNW,11,1017.2,18.0,88,8,NE,35,1010.6
,2021-09-30,12.7,28.9,60.0,,,N,44,14:39,20.4,79,5,N,24,1011.8,28.0,28,1,NW,24,1006.9
