"Daily Weather Observations for Wanaaring, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2141.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wanaaring Post Office {station 048079}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,23.0,34.8,1.2,,,,,,28.5,42,2, ,Calm,,,,,,,
,2021-01-2,21.4,36.5,7.4,,,,,,26.1,70,1, ,Calm,,,,,,,
,2021-01-3,19.7,34.8,0,,,,,,24.6,60,0, ,Calm,,,,,,,
,2021-01-4,23.0,36.3,0,,,,,,28.2,59,0,NNE,7,,,,,,,
,2021-01-5,22.0,33.1,0,,,,,,27.3,51,0,S,11,,,,,,,
,2021-01-6,23.1,31.0,0,,,,,,23.4,49,8,SSE,4,,,,,,,
,2021-01-7,19.5,34.0,0,,,,,,26.0,41,0,S,7,,,,,,,
,2021-01-8,22.3,31.6,0,,,,,,27.5,43,0,SE,7,,,,,,,
,2021-01-9,21.7,32.7,0,,,,,,25.2,46,0,E,9,,,,,,,
,2021-01-10,21.7,35.2,0,,,,,,27.3,40,0,E,7,,,,,,,
,2021-01-11,19.8,37.7,0,,,,,,30.0,33,0, ,Calm,,,,,,,
,2021-01-12,23.0,38.6,0,,,,,,31.5,29,2,N,9,,,,,,,
,2021-01-13,20.8,40.5,0,,,,,,31.5,28,0,N,13,,,,,,,
,2021-01-14,23.4,,0,,,,,,31.6,26,3,SSE,7,,,,,,,
,2021-01-15,,41.4,0,,,,,,,,,,,,,,,,,
,2021-01-16,18.4,,0,,,,,,19.5,35,8,SSE,15,,,,,,,
,2021-01-17,17.0,30.4,0,,,,,,22.5,30,8,SE,7,,,,,,,
,2021-01-18,20.2,34.0,0,,,,,,26.5,23,1,SE,11,,,,,,,
,2021-01-19,19.4,35.0,0,,,,,,26.4,23,0,S,9,,,,,,,
,2021-01-20,20.7,38.4,0,,,,,,26.7,18,0,SE,9,,,,,,,
,2021-01-21,18.0,41.0,0,,,,,,29.4,20,0, ,Calm,,,,,,,
,2021-01-22,21.7,39.5,0,,,,,,30.0,38,0,ENE,4,,,,,,,
,2021-01-23,24.7,41.5,0,,,,,,30.0,43,0,NE,7,,,,,,,
,2021-01-24,23.5,41.2,0,,,,,,31.7,27,1,NE,9,,,,,,,
,2021-01-25,23.7,42.3,0,,,,,,30.5,21,1,NNE,6,,,,,,,
,2021-01-26,24.9,37.2,0,,,,,,31.4,43,8,W,6,,,,,,,
,2021-01-27,25.5,42.1,2.0,,,,,,37.5,47,1,NE,37,,,,,,,
,2021-01-28,26.4,43.3,2.0,,,,,,37.5,47,2,NE,4,,,,,,,
,2021-01-29,24.2,30.0,1.6,,,,,,25.5,77,8,SSE,9,,,,,,,
,2021-01-30,22.6,37.8,5.4,,,,,,28.9,54,1,SSE,4,,,,,,,
,2021-01-31,26.4,40.2,0,,,,,,29.2,48,6,SE,9,,,,,,,
