"Daily Weather Observations for Wanaaring, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2141.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wanaaring Post Office {station 048079}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,11.9,20.3,8.4,,,,,,13.2,96,8,SSW,2,,,,,,,
,2021-07-2,5.9,21.0,0,,,,,,14.8,87,0,W,2,,,,,,,
,2021-07-3,2.5,16.0,0,,,,,,8.5,84,0,S,6,,,,,,,
,2021-07-4,0.2,16.5,0,,,,,,7.7,79,0,SW,4,,,,,,,
,2021-07-5,2.4,14.8,0,,,,,,8.5,82,6,SSE,2,,,,,,,
,2021-07-6,2.1,16.7,0,,,,,,8.2,78,1,SE,7,,,,,,,
,2021-07-7,0.5,15.2,0,,,,,,4.5,89,0,NE,2,,,,,,,
,2021-07-8,1.8,20.1,0,,,,,,9.8,58,1,NE,2,,,,,,,
,2021-07-9,1.4,18.5,0,,,,,,11.1,65,0,S,2,,,,,,,
,2021-07-10,0.3,18.5,0,,,,,,12.3,58,0, ,Calm,,,,,,,
,2021-07-11,-1.0,20.2,0,,,,,,7.7,71,0,N,2,,,,,,,
,2021-07-12,0.3,21.9,0,,,,,,10.5,64,1,NNE,4,,,,,,,
,2021-07-13,1.9,22.3,0,,,,,,19.8,22,0,N,6,,,,,,,
,2021-07-14,11.9,23.8,0,,,,,,17.8,39,8,NNE,7,,,,,,,
,2021-07-15,10.4,,0,,,,,,14.7,87,4,W,15,,,,,,,
,2021-07-16,,,0,,,,,,,,,,,,,,,,,
,2021-07-17,,18.0,0,,,,,,,,,,,,,,,,,
,2021-07-18,0.3,,0,,,,,,7.8,88,2,SW,2,,,,,,,
,2021-07-19,,18.2,0,,,,,,,,,,,,,,,,,
,2021-07-20,0.2,19.9,0,,,,,,10.0,87,6,NW,4,,,,,,,
,2021-07-21,1.3,14.2,0,,,,,,8.7,88,1,S,4,,,,,,,
,2021-07-22,0.2,15.7,0,,,,,,6.7,67,8,NE,4,,,,,,,
,2021-07-23,3.7,19.1,3.6,,,,,,15.0,67,0,NW,6,,,,,,,
,2021-07-24,5.5,,0,,,,,,12.8,64,0,NW,4,,,,,,,
,2021-07-25,,20.1,0,,,,,,,,,,,,,,,,,
,2021-07-26,3.2,21.8,0,,,,,,11.7,59,1,W,2,,,,,,,
,2021-07-27,0.0,24.9,0,,,,,,17.1,35,0,N,2,,,,,,,
,2021-07-28,12.1,24.4,0,,,,,,18.6,24,8,W,7,,,,,,,
,2021-07-29,3.0,19.6,0,,,,,,11.9,55,0,S,9,,,,,,,
,2021-07-30,2.1,24.5,0,,,,,,10.9,54,0,NE,4,,,,,,,
,2021-07-31,10.8,31.0,0,,,,,,19.8,34,0,N,7,,,,,,,
