"Daily Weather Observations for Wellington, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2142.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wellington (D&J Rural) {station 065034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,10.6,22.0,0.4,1.4,10.5,,,,17.0,70,3,N,19,,,,,,,
,2020-10-2,3.0,25.5,0,5.4,10.5,,,,14.0,73,0, ,Calm,,,,,,,
,2020-10-3,5.0,28.2,0,2.8,10.0,,,,17.5,62,0,SW,9,,,,,,,
,2020-10-4,7.8,29.2,0,4.4,10.8,,,,13.5,83,0,S,19,,,,,,,
,2020-10-5,7.8,29.0,0,4.0,10.3,,,,19.5,56,1,NNE,19,,,,,,,
,2020-10-6,11.5,29.9,0,8.0,7.8,,,,18.0,76,4, ,Calm,,,,,,,
,2020-10-7,16.0,25.6,0,5.8,0.5,,,,20.5,69,8, ,Calm,,,,,,,
,2020-10-8,15.0,23.0,8.0,,5.0,,,,17.0,90,,N,19,,,,,,,
,2020-10-9,4.0,20.5,0.4,,9.8,,,,12.0,76,7, ,Calm,,,,,,,
,2020-10-10,2.5,23.7,0,4.0,10.5,,,,10.0,87,, ,Calm,,,,,,,
,2020-10-11,4.0,26.0,0,3.6,8.5,,,,14.0,68,0,S,9,,,,,,,
,2020-10-12,7.0,27.5,0,4.9,9.0,,,,14.5,68,0,S,2,,,,,,,
,2020-10-13,7.0,28.5,0,3.2,11.0,,,,15.0,73,0,S,9,,,,,,,
,2020-10-14,9.2,28.0,0,5.2,10.0,,,,19.0,55,0,E,9,,,,,,,
,2020-10-15,10.5,29.5,0,6.4,10.0,,,,16.5,75,0, ,Calm,,,,,,,
,2020-10-16,10.5,25.6,0,4.6,2.4,,,,15.0,79,8,SSW,9,,,,,,,
,2020-10-17,13.2,31.9,0,4.0,5.5,,,,21.7,51,6,NNE,30,,,,,,,
,2020-10-18,14.7,22.0,4.8,4.0,1.3,,,,16.0,94,,N,4,,,,,,,
,2020-10-19,6.0,25.3,0.2,3.6,11.3,,,,12.0,82,6, ,Calm,,,,,,,
,2020-10-20,8.0,,0,4.8,,,,,17.0,75,, ,Calm,,,,,,,
,2020-10-21,,27.0,,,11.3,,,,,,,,,,,,,,,
,2020-10-22,11.0,29.6,0.6,6.4,11.5,,,,18.0,85,,SW,2,,,,,,,
,2020-10-23,13.4,31.0,0,4.0,7.3,,,,22.0,59,8,ENE,9,,,,,,,
,2020-10-24,17.5,23.0,5.2,6.0,0.0,,,,19.5,95,8, ,Calm,,,,,,,
,2020-10-25,,15.6,36.8,,0.0,,,,13.2,97,8,W,4,,,,,,,
,2020-10-26,12.4,16.8,17.0,1.8,1.5,,,,13.0,100,8,SW,4,,,,,,,
,2020-10-27,10.6,23.9,11.8,4.8,11.5,,,,16.0,69,2,SE,9,,,,,,,
,2020-10-28,12.0,23.0,0,2.8,4.5,,,,16.0,74,7,NE,4,,,,,,,
,2020-10-29,8.0,,5.0,2.8,10.0,,,,14.5,84,0, ,Calm,,,,,,,
,2020-10-30,11.0,26.0,0,4.4,4.1,,,,15.5,79,7,SW,9,,,,,,,
,2020-10-31,11.0,21.3,0,3.0,6.0,,,,17.5,80,5,N,4,,,,,,,
