"Daily Weather Observations for Wellington, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2142.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wellington (D&J Rural) {station 065034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,7.5,24.5,0,4.6,11.5,,,,14.0,89,0,SSE,4,,,,,,,
,2020-11-2,8.0,26.5,0,6.2,11.8,,,,17.0,61,,SE,2,,,,,,,
,2020-11-3,8.0,28.6,0,5.0,11.0,,,,17.0,66,, ,Calm,,,,,,,
,2020-11-4,10.0,30.8,0,5.0,10.5,,,,18.0,71,1,SW,15,,,,,,,
,2020-11-5,,19.0,7.2,5.4,8.5,,,,14.0,94,8,W,37,,,,,,,
,2020-11-6,6.0,24.5,0.4,4.4,11.0,,,,14.0,73,0,S,2,,,,,,,
,2020-11-7,7.0,26.4,0,5.2,12.0,,,,17.0,70,0,SW,2,,,,,,,
,2020-11-8,12.7,25.0,0,6.4,11.3,,,,17.0,61,0,SE,9,,,,,,,
,2020-11-9,10.0,,0,7.2,11.5,,,,18.0,58,0,SE,2,,,,,,,
,2020-11-10,9.0,28.5,0,6.6,12.0,,,,18.0,62,0, ,Calm,,,,,,,
,2020-11-11,11.0,32.0,0,5.0,11.0,,,,23.0,52,1,E,4,,,,,,,
,2020-11-12,16.5,30.5,0,6.7,5.5,,,,24.0,40,8,NE,6,,,,,,,
,2020-11-13,17.8,28.0,2.8,6.8,6.0,,,,22.0,74,7,N,19,,,,,,,
,2020-11-14,10.5,28.6,4.0,3.4,12.0,,,,17.0,80,2,S,4,,,,,,,
,2020-11-15,9.8,34.5,0,6.2,12.0,,,,18.0,71,0,SW,9,,,,,,,
,2020-11-16,14.0,37.0,0,8.4,9.0,,,,28.0,39,4,NNE,19,,,,,,,
,2020-11-17,12.9,30.0,0,9.0,11.8,,,,22.0,37,0,SSE,19,,,,,,,
,2020-11-18,13.0,31.0,0,8.6,12.0,,,,22.0,54,0,SE,6,,,,,,,
,2020-11-19,14.5,35.0,0,6.0,12.0,,,,23.0,56,6, ,Calm,,,,,,,
,2020-11-20,17.0,38.0,0,6.8,11.8,,,,26.0,59,0,,,,,,,,,
,2020-11-21,18.5,38.7,0,8.0,7.0,,,,29.0,43,0, ,Calm,,,,,,,
,2020-11-22,20.3,31.0,0,11.2,1.0,,,,25.5,62,7,WSW,4,,,,,,,
,2020-11-23,20.2,23.0,1.4,2.8,2.0,,,,20.5,95,8,E,4,,,,,,,
,2020-11-24,12.8,29.6,12.8,,12.0,,,,20.0,81,2,SW,4,,,,,,,
,2020-11-25,14.5,30.5,0,5.0,11.8,,,,20.0,64,0,NE,22,,,,,,,
,2020-11-26,14.5,35.0,0,5.8,12.0,,,,23.0,63,0, ,Calm,,,,,,,
,2020-11-27,18.8,38.6,0,8.0,11.8,,,,26.0,55,0,NE,19,,,,,,,
,2020-11-28,23.0,39.6,0,8.0,10.6,,,,30.0,39,1,N,37,,,,,,,
,2020-11-29,22.4,38.6,1.0,12.2,7.5,,,,31.8,25,0,N,37,,,,,,,
,2020-11-30,15.5,32.5,0,12.0,12.0,,,,22.5,55,0,ESE,19,,,,,,,
