"Daily Weather Observations for Wilcannia, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2144.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Wilcannia Aerodrome."
"Observations were drawn from Wilcannia Aerodrome AWS {station 046012}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,23.9,29.8,0,,,S,50,12:39,24.9,32,,SSE,9,1009.4,23.5,61,,S,24,1010.4
,2021-02-2,14.9,29.5,2.0,,,S,43,15:17,19.3,64,,S,30,1013.0,27.6,32,,S,22,1011.6
,2021-02-3,15.0,31.9,0,,,SSE,28,12:24,20.1,45,,SE,15,1011.8,30.5,16,,WSW,6,1007.6
,2021-02-4,18.6,31.9,0,,,ENE,50,16:58,24.4,34,,ENE,19,1004.0,28.1,45,,ENE,19,1000.2
,2021-02-5,22.7,33.7,0,,,NW,65,17:09,25.4,65,,NNW,22,1001.6,29.0,40,,W,13,1000.0
,2021-02-6,16.8,31.9,0,,,SW,46,16:40,22.2,43,,WSW,24,1005.3,30.7,25,,W,24,1003.6
,2021-02-7,18.4,30.8,0,,,S,39,13:11,21.2,55,,SSW,28,1010.6,28.9,29,,SSW,22,1008.3
,2021-02-8,17.0,32.3,0,,,SSW,41,16:11,22.1,42,,SE,22,1012.1,30.7,21,,SSW,17,1010.2
,2021-02-9,14.8,36.3,0,,,ESE,28,10:13,23.8,24,,SE,13,1011.5,34.3,19,,E,13,1008.3
,2021-02-10,22.5,37.7,0,,,NE,43,08:28,28.4,34,,ENE,24,1010.2,36.7,19,,E,15,1007.5
,2021-02-11,22.9,39.1,0,,,NE,41,16:04,28.0,31,,NE,28,1008.7,37.9,16,,ENE,19,1005.0
,2021-02-12,28.0,32.9,0,,,SW,43,09:17,30.4,26,,WSW,22,1003.8,32.1,26,,SSW,15,1004.6
,2021-02-13,16.6,31.0,1.4,,,S,44,13:00,19.3,51,,S,26,1011.6,28.9,20,,SSW,26,1011.0
,2021-02-14,15.4,32.4,0,,,SSW,57,14:48,22.1,40,,SSE,22,1014.1,30.6,18,,SSW,22,1012.5
,2021-02-15,16.4,35.2,0,,,ESE,43,11:29,24.7,36,,NE,20,1015.1,34.3,17,,SE,19,1013.3
,2021-02-16,19.1,36.1,0,,,ESE,46,14:29,24.5,43,,E,20,1017.4,33.9,21,,E,17,1014.2
,2021-02-17,21.5,35.8,0,,,ESE,46,16:08,26.2,40,,ENE,24,1017.8,34.1,16,,E,17,1015.7
,2021-02-18,19.8,34.7,0,,,ENE,39,08:42,24.1,36,,E,28,1017.9,33.5,19,,NE,13,1014.3
,2021-02-19,19.3,37.7,0,,,ENE,41,08:55,25.8,45,,ENE,24,1014.9,35.7,18,,N,15,1011.4
,2021-02-20,20.9,39.0,0,,,ESE,35,16:34,28.6,35,,ENE,9,1012.3,37.4,16,,WNW,9,1009.3
,2021-02-21,23.2,39.2,0,,,SSW,43,21:38,30.9,25,,N,13,1009.1,34.6,22,,ESE,9,1007.6
,2021-02-22,22.2,32.2,0.4,,,SSW,50,07:47,22.8,35,,SSW,30,1010.6,30.4,22,,SSW,31,1009.3
,2021-02-23,16.7,27.0,0,,,S,57,13:32,18.5,38,,SSE,31,1016.1,24.8,20,,SSW,30,1014.7
,2021-02-24,11.9,28.0,0,,,S,57,11:38,17.5,35,,SSE,24,1016.0,26.7,14,,S,24,1012.3
,2021-02-25,11.7,30.6,0,,,SW,39,13:05,18.3,29,,SW,24,1011.7,29.1,13,,S,19,1009.8
,2021-02-26,13.2,32.5,0,,,SSW,41,14:44,19.0,36,,SSE,19,1012.4,31.4,15,,SE,17,1009.0
,2021-02-27,17.8,35.4,0,,,SE,31,09:41,22.7,31,,SSE,15,1010.8,32.6,23,,SE,13,1008.5
,2021-02-28,19.3,38.6,0,,,WSW,35,15:32,26.3,28,,ESE,11,1009.8,37.0,16,,WNW,9,1006.6
