"Daily Weather Observations for Wilcannia, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2144.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Wilcannia Aerodrome."
"Observations were drawn from Wilcannia Aerodrome AWS {station 046012}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,8.0,21.7,0,,,WNW,30,17:48,11.4,53,,NE,9,1020.4,20.9,29,,E,7,1018.0
,2021-06-2,10.9,16.3,5.0,,,SW,43,10:39,12.8,86,,SSE,6,1017.8,15.3,86,,ENE,22,1014.0
,2021-06-3,11.7,19.5,9.2,,,N,31,01:00,13.5,90,,WSW,15,1015.1,19.1,57,,SW,17,1014.3
,2021-06-4,8.5,18.2,0.2,,,WSW,41,13:12,12.1,88,,WNW,13,1021.1,17.9,55,,WSW,22,1019.5
,2021-06-5,4.6,16.9,0.2,,,W,20,14:53,7.5,97,,SW,6,1025.9,16.6,40,,WNW,9,1023.8
,2021-06-6,3.2,19.2,0,,,N,20,13:56,11.3,69,,NNW,6,1027.4,18.6,42,,NNE,9,1024.2
,2021-06-7,3.1,19.2,0,,,NW,44,14:10,10.7,73,,NE,7,1022.4,18.6,34,,NNW,26,1016.5
,2021-06-8,9.4,16.3,0.2,,,WNW,61,13:03,10.2,74,,NW,13,1010.6,10.0,76,,WSW,28,1008.8
,2021-06-9,5.2,14.6,2.2,,,WSW,65,14:22,7.5,80,,WSW,30,1016.5,13.8,44,,WSW,44,1013.7
,2021-06-10,7.5,14.5,0,,,WSW,65,06:17,9.0,75,,WSW,41,1009.8,13.8,64,,WSW,30,1008.7
,2021-06-11,8.9,15.3,1.4,,,SSW,30,00:49,9.3,95,,NE,7,1016.9,14.9,61,,WSW,7,1014.8
,2021-06-12,7.9,16.4,0.2,,,NW,20,13:33,11.8,88,,WNW,7,1019.8,15.9,58,,NW,6,1018.0
,2021-06-13,7.5,19.3,0,,,NNE,30,12:21,12.3,73,,NNE,13,1019.6,18.1,45,,N,15,1016.2
,2021-06-14,7.1,19.0,0,,,NE,28,10:55,10.0,83,,ENE,7,1017.3,17.1,58,,NNE,13,1013.9
,2021-06-15,9.3,21.8,0.4,,,NE,31,09:37,13.0,81,,NE,17,1015.1,21.3,42,,NNE,19,1011.4
,2021-06-16,7.4,18.3,0,,,WNW,41,15:36,13.3,67,,NW,11,1014.0,18.1,34,,W,22,1010.8
,2021-06-17,5.9,18.5,0,,,WNW,59,23:10,11.1,68,,WNW,19,1016.2,17.3,48,,W,20,1013.6
,2021-06-18,8.2,13.7,4.2,,,WSW,37,12:12,9.7,81,,W,22,1016.3,12.9,70,,SW,22,1016.9
,2021-06-19,8.3,16.5,0,,,SSW,41,10:45,9.9,89,,SSW,24,1023.7,15.9,53,,SSW,24,1022.2
,2021-06-20,3.6,16.9,0.2,,,SSW,24,12:37,7.3,97,,SW,9,1025.7,16.8,46,,SE,13,1022.6
,2021-06-21,0.9,19.2,0.2,,,ENE,20,15:19,6.8,88,,SSW,6,1026.2,18.9,42,,NE,9,1023.3
,2021-06-22,3.5,19.2,0,,,NNE,35,13:52,8.9,78,,ENE,13,1026.5,17.9,46,,NE,20,1022.9
,2021-06-23,8.9,19.3,0,,,NNW,43,17:28,15.1,55,,NNE,24,1018.8,18.9,54,,NNW,24,1015.0
,2021-06-24,10.8,17.4,28.2,,,NW,43,15:43,12.6,80,,NW,19,1013.9,17.3,51,,NW,28,1011.7
,2021-06-25,6.9,16.3,0.2,,,W,31,12:50,10.3,85,,NW,15,1017.4,16.0,53,,WNW,17,1016.9
,2021-06-26,4.7,13.4,1.4,,,WSW,28,12:16,8.6,80,,WNW,15,1024.2,12.1,70,,WSW,17,1024.5
,2021-06-27,2.6,16.2,0.2,,,SSE,17,14:43,7.3,97,,SW,6,1030.5,15.0,50,,SE,9,1028.7
,2021-06-28,1.0,16.6,0,,,E,24,10:46,8.2,87,,NE,9,1030.7,15.9,53,,ESE,13,1028.0
,2021-06-29,3.2,19.7,0.2,,,NE,39,13:43,7.7,83,,ENE,13,1029.5,19.3,33,,NE,24,1025.4
,2021-06-30,7.1,19.2,0,,,NE,28,13:03,10.9,79,,ENE,13,1024.6,17.8,57,,NE,15,1021.0
