"Daily Weather Observations for Williamtown, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2145.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,15.2,23.4,7.8,,,SE,30,13:17,16.5,100,8,NW,13,1024.3,22.2,75,4,SE,17,1022.9
,2021-04-2,13.7,24.3,0.8,,,SE,33,13:44,16.6,100,3,WNW,9,1026.3,23.5,70,2,SE,24,1025.6
,2021-04-3,13.8,26.0,0,,,ESE,35,14:10,17.4,100,,W,2,1025.3,24.4,68,1,ESE,24,1021.5
,2021-04-4,13.8,26.3,0.2,,,N,22,11:21,20.3,84,,NW,13,1020.3,25.0,56,8,N,9,1016.8
,2021-04-5,15.4,25.1,0,,,SSE,20,14:17,20.4,95,7,NW,9,1019.0,24.3,75,,SE,13,1017.5
,2021-04-6,16.3,26.1,0,,,ESE,30,11:48,24.1,83,,S,17,1021.0,24.7,70,,ESE,20,1018.5
,2021-04-7,17.6,24.8,6.2,,,SE,37,17:11,20.8,100,7,WSW,7,1018.5,23.3,73,1,SSE,20,1014.4
,2021-04-8,16.2,23.8,40.2,,,ESE,30,13:15,20.9,97,4,W,7,1013.3,22.2,76,,SE,13,1009.6
,2021-04-9,15.6,29.0,0.2,,,WNW,48,12:01,20.5,85,3,WNW,22,1006.5,27.1,52,8,WNW,22,1002.6
,2021-04-10,17.5,25.2,0.2,,,WNW,44,14:13,19.0,96,8,NW,17,1006.5,25.0,38,,WNW,24,1003.5
,2021-04-11,11.9,20.6,0,,,W,61,13:35,17.2,56,1,W,30,1010.1,19.6,26,,WSW,30,1010.0
,2021-04-12,8.6,19.5,0,,,,,,14.5,50,,W,22,1019.5,18.4,42,,S,24,1018.0
,2021-04-13,7.3,21.7,,,,SE,28,13:59,14.5,69,,WNW,17,1022.9,20.9,56,,SE,19,1018.5
,2021-04-14,8.4,27.3,0,,,WNW,48,12:24,16.8,67,,NW,17,1016.7,26.4,32,1,NW,24,1013.0
,2021-04-15,15.0,24.5,0,,,ESE,26,14:44,21.3,48,,W,11,1016.5,23.7,49,,E,17,1012.2
,2021-04-16,13.1,22.6,0,,,SSE,48,13:09,17.8,55,8,W,13,1020.0,19.8,71,8,SE,30,1020.3
,2021-04-17,14.4,15.5,5.0,,,ESE,24,01:05,14.8,100,8,NNW,11,1023.5,15.2,99,7,W,9,1021.5
,2021-04-18,10.9,20.5,8.6,,,WNW,31,08:07,13.1,100,7,WNW,24,1021.9,19.4,60,,SSE,19,1018.7
,2021-04-19,10.3,23.3,0.2,,,WNW,30,12:18,14.7,87,,WNW,15,1019.4,23.0,40,,WNW,13,1014.9
,2021-04-20,8.8,23.7,0.2,,,WNW,46,13:00,15.7,68,,NW,15,1016.5,23.0,33,7,WNW,20,1011.4
,2021-04-21,11.9,20.9,0,,,SSW,41,10:18,17.9,51,2,W,15,1012.4,19.2,43,,S,17,1013.0
,2021-04-22,7.8,20.9,0,,,W,54,13:25,13.4,62,,NW,26,1013.9,20.4,29,3,WNW,33,1010.3
,2021-04-23,8.5,21.4,0,,,WNW,46,08:53,14.6,47,,WNW,33,1018.4,20.9,33,,WNW,19,1016.0
,2021-04-24,7.9,21.4,0,,,WNW,31,08:44,14.3,69,2,WNW,22,1022.8,20.4,59,,SE,15,1019.5
,2021-04-25,9.5,21.6,0,,,SSE,30,14:29,15.1,73,,WNW,19,1023.8,19.9,69,2,SSE,22,1021.7
,2021-04-26,10.1,21.9,0,,,SE,26,14:06,14.7,94,1,WNW,13,1025.5,20.4,68,,SE,15,1023.2
,2021-04-27,9.6,22.3,0.2,,,SSE,24,14:12,15.1,88,,WNW,17,1027.5,20.6,63,1,ESE,15,1024.8
,2021-04-28,12.0,21.7,0,,,SSE,26,12:34,16.2,92,,NW,13,1026.4,20.0,65,,ESE,13,1023.4
,2021-04-29,8.8,22.1,0.2,,,SE,26,12:38,14.6,91,,WNW,15,1024.9,21.1,64,,SE,17,1022.7
,2021-04-30,9.5,22.9,0,,,SSE,28,14:12,16.3,91,,WNW,9,1028.3,21.7,66,,SE,20,1026.4
