"Daily Weather Observations for Williamtown, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2145.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,5.7,24.6,0,,,WNW,30,09:18,15.4,57,,NW,17,1027.3,22.6,30,,SE,20,1025.9
,2021-09-2,10.4,23.5,0,,,NE,43,16:04,21.1,72,,NE,22,1029.5,22.2,61,,ENE,26,1025.5
,2021-09-3,9.3,25.1,0,,,ENE,39,15:55,19.5,53,,NNE,17,1026.6,24.5,36,,NNE,17,1020.7
,2021-09-4,10.5,24.4,0,,,W,28,21:06,17.8,64,,NW,11,1021.0,23.3,49,,E,15,1016.2
,2021-09-5,12.6,19.4,4.4,,,WNW,65,14:23,12.9,92,8,NW,26,1016.2,18.8,37,,WNW,41,1013.4
,2021-09-6,8.6,19.6,0,,,WNW,52,07:39,13.8,55,,WNW,31,1023.7,17.8,41,,S,35,1023.9
,2021-09-7,5.4,23.7,0,,,WNW,52,09:24,13.7,58,,WNW,37,1027.0,23.6,25,,WNW,24,1023.2
,2021-09-8,7.5,20.4,0,,,ESE,24,14:36,14.9,65,5,WNW,13,1031.6,19.7,61,,ESE,17,1027.7
,2021-09-9,7.5,27.3,0,,,WNW,54,10:39,18.5,55,,WNW,28,1026.9,26.8,20,,WNW,30,1021.9
,2021-09-10,12.9,28.4,0,,,WNW,54,02:28,21.6,33,,WNW,37,1022.2,27.6,21,,WNW,20,1018.8
,2021-09-11,11.0,29.1,0,,,WNW,37,13:43,15.4,85,,NNW,17,1018.9,28.7,16,,NW,19,1012.3
,2021-09-12,8.3,30.7,0,,,WNW,54,12:50,22.3,33,,WNW,15,1008.2,30.0,16,,WNW,35,1003.6
,2021-09-13,13.8,19.7,0,,,SSE,56,00:22,16.3,38,8,SW,13,1013.6,17.1,53,7,S,28,1013.1
,2021-09-14,10.1,16.2,39.8,,,S,54,13:34,11.6,100,8,SW,11,1020.7,15.1,74,8,SSW,31,1020.5
,2021-09-15,9.0,17.8,17.0,,,S,52,15:31,13.8,76,8,SW,19,1023.5,16.5,67,1,S,33,1021.4
,2021-09-16,9.8,17.5,2.0,,,SSW,30,10:34,12.6,96,8,W,15,1024.1,16.4,61,8,SE,13,1021.5
,2021-09-17,5.3,21.5,0.2,,,ENE,31,14:24,14.1,85,,NNE,6,1023.3,21.1,54,,ENE,17,1018.5
,2021-09-18,13.9,27.4,0,,,WNW,63,16:16,20.0,63,6,NW,11,1015.6,25.2,40,8,NW,35,1012.5
,2021-09-19,10.2,23.9,0,,,NW,37,12:46,16.7,57,,WNW,20,1024.0,23.9,30,,NW,20,1018.1
,2021-09-20,5.8,27.1,0,,,WNW,61,14:39,17.0,51,,WNW,9,1016.5,26.5,16,,WNW,37,1009.0
,2021-09-21,8.9,16.9,0,,,S,70,15:46,13.6,47,8,W,22,1014.9,15.3,45,8,SSW,31,1016.8
,2021-09-22,7.2,19.3,12.6,,,S,33,13:14,13.1,63,7,W,17,1023.7,18.3,51,8,S,28,1021.6
,2021-09-23,7.3,26.3,0.2,,,W,41,11:08,16.4,54,,WNW,24,1020.7,25.8,27,,NW,24,1015.7
,2021-09-24,9.8,27.5,0,,,NW,61,12:13,21.1,53,,NW,30,1015.9,27.3,25,,WNW,37,1009.7
,2021-09-25,7.9,24.1,0,,,S,50,12:54,21.6,39,,WNW,22,1014.1,19.3,67,8,SE,35,1015.2
,2021-09-26,12.4,17.6,3.6,,,ESE,48,12:09,13.2,85,8,SSE,30,1025.4,16.0,63,8,SE,26,1024.9
,2021-09-27,7.7,19.3,2.2,,,ENE,37,15:21,16.6,49,1,ENE,20,1026.0,18.0,52,1,ENE,22,1021.4
,2021-09-28,7.3,23.9,0,,,ENE,41,16:00,18.3,58,,NNE,17,1022.1,21.6,53,,ENE,26,1017.1
,2021-09-29,11.2,23.6,0,,,NE,30,11:52,18.8,65,1,N,11,1018.2,20.2,66,8,NW,15,1014.8
,2021-09-30,11.7,24.7,3.2,,,SE,30,14:32,17.9,89,1,NNW,7,1013.1,22.0,59,1,E,20,1009.4
