"Daily Weather Observations for Wollongong, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2146.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Shellharbour Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,14.0,24.1,7.2,,,S,46,14:33,19.5,56,1,WSW,19,1014.7,17.3,76,,SE,31,1015.8
,2020-10-2,11.5,20.9,0,,,NW,31,06:33,19.7,39,,WNW,7,1023.6,19.8,60,,NE,7,1022.0
,2020-10-3,14.2,21.7,0,,,NE,43,16:06,18.9,68,,N,9,1025.8,19.3,75,,N,20,1020.7
,2020-10-4,14.8,22.4,0,,,NNE,33,15:15,18.8,76,,ENE,19,1020.8,19.7,77,,NNE,20,1016.9
,2020-10-5,15.1,30.5,0,,,S,70,20:54,21.6,49,,NNE,19,1016.0,22.7,58,,NE,31,1012.8
,2020-10-6,15.1,17.7,0,,,S,59,23:02,16.7,78,8,SSW,19,1022.9,17.1,80,8,SSE,26,1020.5
,2020-10-7,15.8,19.4,1.0,,,NNW,17,22:35,17.4,90,8, ,Calm,1021.1,17.1,91,8, ,Calm,1018.6
,2020-10-8,16.5,25.8,3.2,,,NW,52,16:50,18.5,84,8,NE,20,1011.2,24.2,54,,NNW,20,1008.3
,2020-10-9,12.1,22.4,0.2,,,NW,59,11:47,17.4,48,,W,17,1013.8,21.9,32,2,W,30,1012.0
,2020-10-10,14.1,23.3,0,,,WSW,48,23:45,19.3,34,,W,17,1018.7,20.4,61,2,NE,13,1016.0
,2020-10-11,16.1,24.0,0,,,S,39,15:12,20.5,36,,N,11,1020.6,20.3,66,2,SSE,11,1019.5
,2020-10-12,14.8,22.5,0,,,SE,31,23:03,18.3,78,8,SSW,15,1024.8,19.9,78,,NNE,7,1021.2
,2020-10-13,16.6,27.3,0,,,S,63,18:24,22.5,48,,ESE,9,1021.4,21.2,73,,N,7,1020.2
,2020-10-14,15.3,19.9,0,,,S,43,23:14,17.9,74,4,SSW,17,1028.2,18.7,72,7,SSE,13,1025.3
,2020-10-15,15.8,23.4,0,,,NE,50,12:52,19.8,68,,NNW,20,1020.5,20.5,71,,NE,41,1014.3
,2020-10-16,16.6,17.9,0,,,S,61,05:20,16.8,83,8,SSW,39,1020.1,16.8,68,7,S,28,1020.0
,2020-10-17,15.0,21.1,0,,,NE,48,12:10,17.9,79,7,N,24,1014.3,19.9,82,6,NE,28,1008.3
,2020-10-18,16.3,21.4,1.4,,,SE,43,13:00,19.4,69,,SSE,4,1010.1,17.1,90,7,SE,33,1011.4
,2020-10-19,14.3,18.6,6.2,,,SSW,39,23:17,15.8,73,7,SSW,24,1017.8,16.7,66,8,SSE,20,1017.2
,2020-10-20,15.0,20.9,0,,,NE,30,15:18,17.1,69,8,SSW,11,1020.0,20.2,65,,ENE,15,1017.8
,2020-10-21,15.8,20.9,0,,,NE,56,12:19,19.3,66,,N,22,1017.2,19.5,72,,NE,44,1013.8
,2020-10-22,15.3,20.5,1.4,,,S,24,07:26,17.0,90,7,S,19,1016.0,20.1,79,,E,11,1013.9
,2020-10-23,16.8,21.9,0,,,NE,50,16:51,19.9,81,,NE,15,1013.9,20.1,83,2,NNE,22,1010.0
,2020-10-24,18.3,24.3,0.6,,,S,76,21:24,20.5,80,8,ENE,30,1004.7,19.9,83,8,SSW,13,1002.1
,2020-10-25,12.9,15.8,24.6,,,S,65,06:28,13.7,76,7,SSW,37,1014.3,13.9,76,8,SSW,39,1014.7
,2020-10-26,11.9,16.8,40.8,,,S,78,03:21,15.8,79,8,SSE,52,1019.9,15.2,74,8,S,52,1019.3
,2020-10-27,12.6,18.1,10.2,,,S,57,23:15,15.1,79,8,SSW,33,1021.3,17.0,70,7,S,35,1019.1
,2020-10-28,13.6,19.5,0.6,,,S,28,10:37,15.4,89,8,SSW,15,1020.1,18.6,71,8,SSE,20,1016.5
,2020-10-29,14.2,19.2,13.6,,,S,26,10:52,15.5,92,8,SW,17,1014.0,18.5,76,8,SE,11,1010.4
,2020-10-30,12.4,20.3,0,,,SSE,24,10:04,18.8,67,,S,9,1011.1,19.3,73,,ESE,11,1010.3
,2020-10-31,16.2,18.9,4.4,,,E,61,06:51,18.4,91,8,E,43,1007.2,17.0,86,8,SW,19,1009.5
