"Daily Weather Observations for Woolbrook, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2147.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Woolbrook (Woolbrook Road) {station 055136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,16.5,28.0,0.2,,,,,,19.5,,2, ,Calm,,,,,,,
,2021-02-2,14.5,24.5,7.6,,,,,,16.0,100,8, ,Calm,,,,,,,
,2021-02-3,11.5,26.2,0.5,,,,,,17.0,95,0,NE,4,,,,,,,
,2021-02-4,14.8,28.5,0,,,,,,19.2,93,0, ,Calm,,,,,,,
,2021-02-5,16.5,30.0,0,,,,,,19.5,95,0, ,Calm,,,,,,,
,2021-02-6,15.7,23.2,0,,,,,,23.0,91,5,NW,4,,,,,,,
,2021-02-7,15.3,25.8,24.0,,,,,,17.5,95,8, ,Calm,,,,,,,
,2021-02-8,13.0,26.0,0,,,,,,18.5,86,3,NE,4,,,,,,,
,2021-02-9,16.4,25.0,0,,,,,,17.5,85,4,SE,4,,,,,,,
,2021-02-10,9.0,25.0,0,,,,,,13.5,89,2,SE,6,,,,,,,
,2021-02-11,11.5,26.5,0,,,,,,16.2,88,0, ,Calm,,,,,,,
,2021-02-12,11.0,25.6,0,,,,,,18.0,90,4,NW,11,,,,,,,
,2021-02-13,17.2,19.5,0.2,,,,,,19.2,77,8, ,Calm,,,,,,,
,2021-02-14,15.0,23.7,17.4,,,,,,17.5,78,4,SE,11,,,,,,,
,2021-02-15,14.2,23.0,0,,,,,,15.5,80,2,SE,9,,,,,,,
,2021-02-16,13.4,24.2,0,,,,,,18.5,72,5,SE,4,,,,,,,
,2021-02-17,12.2,24.0,0.2,,,,,,18.0,72,7,SE,4,,,,,,,
,2021-02-18,11.6,27.7,0.2,,,,,,19.5,69,2,SE,4,,,,,,,
,2021-02-19,15.0,25.7,0,,,,,,20.2,76,4,SE,6,,,,,,,
,2021-02-20,14.5,24.0,0.8,,,,,,17.0,94,2, ,Calm,,,,,,,
,2021-02-21,11.5,26.2,1.4,,,,,,19.0,52,2, ,Calm,,,,,,,
,2021-02-22,9.6,29.0,0,,,,,,15.0,100,2, ,Calm,,,,,,,
,2021-02-23,10.2,27.8,3.0,,,,,,18.5,90,2, ,Calm,,,,,,,
,2021-02-24,14.6,23.5,0,,,,,,18.5,90,3,NE,6,,,,,,,
,2021-02-25,14.2,21.5,18.6,,,,,,18.2,89,8, ,Calm,,,,,,,
,2021-02-26,10.5,25.4,6.6,,,,,,17.2,95,8, ,Calm,,,,,,,
,2021-02-27,16.6,22.3,12.6,,,,,,17.7,97,8, ,Calm,,,,,,,
,2021-02-28,12.7,27.6,11.4,,,,,,19.5,90,2,NW,4,,,,,,,
