"Daily Weather Observations for Woolbrook, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2147.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Woolbrook (Woolbrook Road) {station 055136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,0.2,23.0,0,,,,,,13.0,73,0, ,Calm,,,,,,,
,2021-09-2,9.5,20.0,0,,,,,,16.2,90,2,NE,6,,,,,,,
,2021-09-3,6.0,21.0,0,,,,,,13.0,83,0, ,Calm,,,,,,,
,2021-09-4,5.0,19.2,0,,,,,,14.5,76,2,N,4,,,,,,,
,2021-09-5,6.0,10.3,12.0,,,,,,7.0,93,8,SW,7,,,,,,,
,2021-09-6,2.5,13.0,3.0,,,,,,6.0,79,2, ,Calm,,,,,,,
,2021-09-7,-4.0,16.0,0,,,,,,8.0,67,0,W,4,,,,,,,
,2021-09-8,-3.2,19.5,0,,,,,,12.5,62,0,SE,4,,,,,,,
,2021-09-9,-1.2,19.7,0,,,,,,10.5,70,0, ,Calm,,,,,,,
,2021-09-10,-2.0,20.0,0,,,,,,13.0,59,0, ,Calm,,,,,,,
,2021-09-11,-1.5,22.6,0,,,,,,11.5,71,0, ,Calm,,,,,,,
,2021-09-12,-3.0,22.5,0,,,,,,16.0,61,0,NW,19,,,,,,,
,2021-09-13,10.5,17.5,0,,,,,,15.0,51,0,N,6,,,,,,,
,2021-09-14,-0.8,10.0,1.0,,,,,,5.0,88,8,NW,4,,,,,,,
,2021-09-15,2.6,15.0,2.0,,,,,,9.5,75,3, ,Calm,,,,,,,
,2021-09-16,0.0,17.0,0,,,,,,9.5,69,0, ,Calm,,,,,,,
,2021-09-17,1.5,19.0,0,,,,,,12.0,66,0,NNW,4,,,,,,,
,2021-09-18,10.6,21.5,0,,,,,,15.5,65,2,NE,7,,,,,,,
,2021-09-19,3.7,19.0,9.8,,,,,,11.8,58,0, ,Calm,,,,,,,
,2021-09-20,-2.0,19.2,0,,,,,,13.5,63,0, ,Calm,,,,,,,
,2021-09-21,3.4,8.0,0,,,,,,5.0,77,8,NW,9,,,,,,,
,2021-09-22,-4.5,15.3,1.6,,,,,,7.5,67,2,S,4,,,,,,,
,2021-09-23,-2.5,18.5,0,,,,,,12.0,59,0, ,Calm,,,,,,,
,2021-09-24,1.5,20.0,0,,,,,,14.5,74,0,NW,9,,,,,,,
,2021-09-25,0.2,21.0,0,,,,,,17.5,54,2,SW,4,,,,,,,
,2021-09-26,5.0,18.2,0,,,,,,15.0,79,2,E,7,,,,,,,
,2021-09-27,5.0,19.0,0,,,,,,12.0,61,2,NE,4,,,,,,,
,2021-09-28,6.7,18.0,0,,,,,,14.0,64,3,N,4,,,,,,,
,2021-09-29,9.0,15.5,3.6,,,,,,12.0,83,8, ,Calm,,,,,,,
,2021-09-30,8.6,17.7,20.6,,,,,,13.5,80,7,NW,7,,,,,,,
