"Daily Weather Observations for Woolbrook, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2147.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Woolbrook (Woolbrook Road) {station 055136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,12.2,19.5,4.0,,,,,,13.6,76,7,NE,7,,,,,,,
,2021-10-2,4.6,13.7,0.6,,,,,,11.2,86,8,NW,6,,,,,,,
,2021-10-3,10.0,20.0,2.2,,,,,,12.0,82,3,NW,4,,,,,,,
,2021-10-4,6.5,20.5,0,,,,,,18.5,44,2,NW,7,,,,,,,
,2021-10-5,2.4,16.2,0,,,,,,12.0,48,0,SW,4,,,,,,,
,2021-10-6,-1.2,20.0,0,,,,,,9.0,68,0, ,Calm,,,,,,,
,2021-10-7,-1.4,20.5,0,,,,,,7.0,72,8, ,Calm,,,,,,,
,2021-10-8,4.2,22.2,0,,,,,,14.0,68,0, ,Calm,,,,,,,
,2021-10-9,5.0,24.7,0,,,,,,16.0,75,0,NNW,4,,,,,,,
,2021-10-10,7.4,25.0,0,,,,,,20.0,87,2,NW,7,,,,,,,
,2021-10-11,7.5,16.0,29.2,,,,,,13.5,84,8, ,Calm,,,,,,,
,2021-10-12,8.5,16.0,12.0,,,,,,9.5,93,8,ESE,7,,,,,,,
,2021-10-13,9.0,19.7,4.0,,,,,,16.0,23,3,SE,4,,,,,,,
,2021-10-14,13.8,22.5,1.0,,,,,,17.5,85,2,NW,7,,,,,,,
,2021-10-15,11.5,16.6,7.4,,,,,,13.2,56,7,NW,13,,,,,,,
,2021-10-16,5.0,14.3,3.8,,,,,,10.2,88,5,W,11,,,,,,,
,2021-10-17,0.2,18.6,0,,,,,,11.0,76,0,SW,4,,,,,,,
,2021-10-18,2.8,20.7,0,,,,,,13.2,92,5,NNW,4,,,,,,,
,2021-10-19,2.2,22.0,0,,,,,,14.0,68,2, ,Calm,,,,,,,
,2021-10-20,4.3,19.5,0.6,,,,,,13.0,78,2, ,Calm,,,,,,,
,2021-10-21,7.0,21.0,0,,,,,,14.5,80,2,NE,6,,,,,,,
,2021-10-22,11.8,24.0,0,,,,,,16.0,78,4,NW,4,,,,,,,
,2021-10-23,9.0,28.2,0,,,,,,19.5,82,4,NNE,4,,,,,,,
,2021-10-24,16.0,21.0,0.4,,,,,,17.0,85,3,NW,7,,,,,,,
,2021-10-25,6.0,19.6,0,,,,,,11.0,71,0, ,Calm,,,,,,,
,2021-10-26,1.0,,0,,,,,,14.5,84,0,SE,4,,,,,,,
