"Daily Weather Observations for Wyalong, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2148.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from West Wyalong Airport."
"Observations were drawn from West Wyalong Airport AWS {station 050017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,8.5,20.8,6.4,,,WNW,35,15:21,14.7,83,,NNW,13,1007.5,17.9,64,,NW,19,1003.9
,2021-10-2,11.9,20.5,1.6,,,WSW,43,15:06,15.3,89,,W,13,1006.0,18.9,68,,WSW,24,1003.6
,2021-10-3,9.0,22.1,0.2,,,W,26,,14.8,86,,W,2,1006.5,20.7,63,,N,15,1002.5
,2021-10-4,10.4,20.1,0,,,SW,54,04:58,12.4,77,,WSW,33,1005.0,18.7,51,,WNW,28,1004.4
,2021-10-5,8.9,18.1,0,,,WSW,50,08:49,11.9,73,,WSW,31,1012.8,17.4,47,,WSW,31,1013.4
,2021-10-6,2.7,22.2,0,,,NNW,26,10:49,14.0,81,,N,9,1017.8,21.3,41,,N,13,1013.6
,2021-10-7,11.1,20.2,0,,,SW,41,12:29,17.2,53,,NW,17,1010.2,19.3,40,,WSW,26,1011.8
,2021-10-8,2.8,21.5,0,,,WNW,24,13:13,12.7,78,,E,9,1018.2,20.6,40,,W,9,1016.2
,2021-10-9,4.1,28.2,0,,,N,26,13:48,14.7,81,,NE,9,1016.2,26.6,38,,NNW,13,1012.5
,2021-10-10,12.1,21.8,0,,,SSW,39,08:28,18.3,59,,S,20,1009.6,19.5,54,,SW,13,1009.1
,2021-10-11,5.1,18.4,0,,,S,28,11:16,9.2,75,,SW,17,1015.5,16.4,53,,SSE,15,1013.6
,2021-10-12,7.4,17.6,0,,,E,39,11:59,12.4,72,,E,17,1015.4,17.3,59,,E,22,1012.9
,2021-10-13,8.6,21.4,0,,,W,43,22:50,12.4,78,,E,11,1012.6,18.8,69,,N,22,1008.1
,2021-10-14,10.0,22.0,10.8,,,NW,61,19:31,12.1,91,,NNW,4,1006.3,20.6,51,,WNW,19,1003.1
,2021-10-15,7.0,15.9,7.6,,,SW,44,13:56,10.1,88,,WSW,9,1003.6,11.5,79,,WSW,30,1002.5
,2021-10-16,9.3,19.4,4.6,,,W,52,07:23,9.9,81,,WSW,26,1010.1,18.6,59,,WSW,35,1009.2
,2021-10-17,5.6,21.5,0,,,W,28,15:00,13.3,79,,SSE,9,1016.0,20.8,47,,WNW,11,1013.8
,2021-10-18,4.7,25.7,0,,,SW,46,21:37,15.9,81,,N,11,1016.3,24.0,36,,NW,13,1013.9
,2021-10-19,10.7,21.8,0.2,,,SSW,39,10:25,13.9,73,,SSW,19,1018.3,20.6,35,,S,17,1016.6
,2021-10-20,4.3,23.4,0,,,E,44,12:48,15.3,69,,SE,13,1019.0,22.5,47,,E,26,1015.9
,2021-10-21,8.8,23.4,0,,,ESE,26,00:25,14.2,84,,SSE,6,1017.0,22.0,52,,ESE,9,1014.1
,2021-10-22,8.8,26.7,0,,,NE,26,10:40,17.8,80,,ENE,11,1016.0,26.1,44,,ENE,13,1013.3
,2021-10-23,10.4,28.2,0,,,WSW,43,15:56,19.3,76,,NE,11,1013.1,26.4,42,,WSW,20,1011.3
,2021-10-24,7.1,22.0,0,,,WSW,43,13:57,12.4,71,,SSW,28,1018.8,20.9,33,,WSW,28,1017.3
,2021-10-25,3.9,20.6,0,,,SW,46,11:52,10.8,66,,SW,20,1019.0,18.8,37,,WSW,22,1017.0
,2021-10-26,3.2,,0,,,,,,15.7,68,,SE,6,1020.7,23.6,30,,WSW,9,1016.6
