"Daily Weather Observations for Yamba, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2149.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yamba Pilot Station {station 058012}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,22.0,27.7,0.2,,,NNW,19,19:30,23.3,91,,W,9,1010.4,26.1,86,,ESE,7,1008.9
,2021-03-2,20.7,28.9,0,,,SSE,46,11:25,23.9,86,,NNW,9,1008.6,27.0,73,,SSE,37,1008.4
,2021-03-3,20.8,26.3,3.0,,,SSE,50,21:32,21.7,83,,ESE,13,1012.9,25.7,69,,E,9,1011.7
,2021-03-4,18.5,25.3,31.4,,,SSE,37,04:56,22.5,71,,SSE,17,1013.6,24.9,56,,SE,13,1011.9
,2021-03-5,17.8,30.4,0,,,,,,21.4,78,,NW,13,1007.5,28.8,54,,ESE,9,1004.4
,2021-03-6,19.9,25.2,,,,SSE,50,01:48,20.2,94,,SW,7,1010.4,24.1,67,,SE,22,1010.2
,2021-03-7,19.5,25.9,1.6,,,SE,26,00:21,21.1,93,,W,6,1015.7,25.6,73,,E,13,1013.3
,2021-03-8,21.0,28.4,2.0,,,W,28,19:17,24.7,76,,NNW,13,1016.1,24.7,80,,NNW,13,1012.8
,2021-03-9,19.2,31.8,14.6,,,SSW,39,18:39,20.3,98,,NNW,13,1013.7,31.2,57,,W,11,1011.5
,2021-03-10,19.6,27.6,1.2,,,SSE,37,11:07,24.4,85,,SSW,13,1018.2,27.1,72,,SE,26,1018.0
,2021-03-11,22.9,24.2,0,,,SE,37,23:29,23.0,89,,WSW,7,1020.7,23.0,89,,ENE,7,1020.1
,2021-03-12,19.6,26.4,22.6,,,ENE,33,15:21,21.3,97,,W,7,1019.9,25.0,78,,E,15,1017.2
,2021-03-13,21.0,29.2,0,,,NNE,30,14:42,24.3,83,,NNW,9,1017.2,27.9,79,,NE,13,1014.4
,2021-03-14,21.0,29.9,0,,,S,59,20:02,24.5,78,,NNW,11,1013.3,29.4,75,,NNE,15,1009.7
,2021-03-15,18.2,23.0,38.0,,,S,56,12:22,18.3,98,,SSW,20,1016.8,21.5,88,,S,28,1017.3
,2021-03-16,18.2,23.9,3.0,,,SSE,59,20:46,21.7,71,,SSW,13,1021.8,23.4,59,,SSE,28,1020.5
,2021-03-17,18.6,24.6,2.4,,,SE,50,09:41,22.7,75,,ESE,17,1019.9,23.2,73,,ESE,24,1018.3
,2021-03-18,19.0,24.3,17.6,,,SE,43,14:20,20.5,100,,NW,13,1017.9,23.7,94,,S,13,1016.4
,2021-03-19,20.2,26.6,56.2,,,SE,56,01:30,23.0,97,,NW,9,1016.0,26.0,88,,NNE,7,1014.9
,2021-03-20,19.9,26.5,23.4,,,ENE,31,20:35,21.2,97,,SW,9,1018.0,26.1,81,,SE,15,1016.2
,2021-03-21,21.1,23.2,52.4,,,ENE,48,17:40,21.2,100,,SSE,7,1019.5,23.0,90,,ENE,22,1017.8
,2021-03-22,20.0,21.8,114.6,,,ESE,52,05:18,20.8,99,,E,19,1020.3,20.6,99,,NE,20,1017.4
,2021-03-23,18.5,23.5,76.4,,,N,44,08:05,21.7,94,,N,24,1011.1,22.4,100,,NNW,15,1005.2
,2021-03-24,21.0,30.4,23.6,,,WNW,39,12:30,22.8,99,,NW,9,1002.1,29.8,59,,NW,17,999.6
,2021-03-25,18.4,28.3,0,,,W,20,10:59,22.6,81,,NW,6,1006.2,26.4,67,,ENE,11,1004.6
,2021-03-26,18.3,25.8,0,,,SSE,35,10:20,22.1,68,,WSW,9,1013.1,24.7,59,,SE,20,1011.8
,2021-03-27,18.6,26.8,0,,,E,20,12:24,19.8,87,,WNW,7,1014.6,24.9,77,,E,11,1011.9
,2021-03-28,18.7,27.3,0,,,SSE,31,15:06,21.7,76,,WSW,9,1016.3,25.3,60,,SSE,20,1014.8
,2021-03-29,18.6,25.9,0,,,SSE,35,10:52,21.8,89,,SSW,11,1018.0,25.2,74,,SSE,20,1016.4
,2021-03-30,18.9,24.3,5.8,,,SSE,50,15:54,21.2,81,,SSW,20,1020.2,23.2,68,,S,26,1018.9
,2021-03-31,17.5,23.9,0,,,S,54,16:21,20.2,67,,SSW,20,1020.9,23.2,62,,S,28,1019.4
