"Daily Weather Observations for Yamba, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2149.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yamba Pilot Station {station 058012}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,17.5,24.8,0,,,SSW,50,09:46,20.1,79,,SW,17,1021.2,21.2,84,,S,17,1020.2
,2021-04-2,19.3,24.8,25.6,,,SE,56,01:55,23.1,65,,SE,24,1023.7,24.6,62,,SE,30,1023.0
,2021-04-3,20.2,25.2,0,,,SE,43,03:58,22.7,63,,ESE,24,1023.8,23.2,67,,SE,17,1021.8
,2021-04-4,21.3,24.2,,,,,,,23.4,76,,ESE,15,1021.2,22.6,84,,E,11,1017.9
,2021-04-5,19.5,23.9,0,,,SE,46,20:22,21.6,95,,ESE,11,1018.5,21.9,92,,ESE,13,1016.6
,2021-04-6,20.6,24.2,3.4,,,SE,41,00:12,21.8,96,,SE,20,1018.3,21.7,87,,SE,26,1015.9
,2021-04-7,20.4,24.8,28.2,,,ENE,46,15:41,24.2,82,,NNE,24,1015.0,23.4,85,,N,28,1011.2
,2021-04-8,19.4,23.6,36.2,,,SSE,46,08:54,20.1,100,,NNE,35,1010.1,21.8,84,,S,19,1007.3
,2021-04-9,17.0,27.0,11.8,,,N,19,19:31,21.7,83,,WNW,9,1008.5,26.3,70,,NNE,9,1004.5
,2021-04-10,17.8,26.6,0,,,ENE,24,12:31,22.2,81,,SSW,9,1007.1,25.2,84,,ENE,11,1004.4
,2021-04-11,17.6,27.1,0.2,,,SSE,31,21:58,21.8,49,,W,13,1010.8,23.9,52,,E,9,1007.2
,2021-04-12,13.1,20.3,0,,,SSW,31,00:27,17.1,46,,SW,13,1019.2,19.6,47,,SE,17,1017.2
,2021-04-13,10.9,22.6,0,,,WSW,20,06:54,17.0,59,,WSW,7,1022.6,21.7,52,,ESE,9,1019.5
,2021-04-14,12.5,27.0,0,,,NNE,24,15:44,18.8,75,,WNW,9,1019.9,25.2,55,,NNE,11,1015.9
,2021-04-15,14.8,28.4,0,,,W,19,05:25,20.2,70,,W,11,1016.4,25.1,59,,E,7,1013.9
,2021-04-16,16.6,25.8,0,,,SSE,46,16:27,23.6,71,,SSW,11,1017.6,23.4,60,,SSE,31,1017.4
,2021-04-17,17.7,19.4,0.2,,,SSW,39,18:45,19.0,95,,SW,11,1020.3,18.1,91,,SSW,19,1017.6
,2021-04-18,13.3,22.3,6.6,,,S,46,14:22,17.7,71,,SW,13,1019.0,20.9,65,,S,26,1016.7
,2021-04-19,13.1,22.8,0,,,SSE,31,11:14,18.8,71,,SW,7,1019.0,22.0,68,,SSE,17,1016.3
,2021-04-20,14.0,26.5,0,,,NW,20,09:54,19.0,82,,WNW,9,1017.7,26.2,45,,N,7,1013.6
,2021-04-21,14.1,27.2,0,,,SSE,44,18:37,20.5,67,,NW,9,1013.2,24.6,50,,ESE,9,1009.6
,2021-04-22,13.3,21.8,0,,,NNW,26,14:11,17.8,76,,WNW,11,1015.0,19.4,52,,NNW,13,1010.9
,2021-04-23,11.4,21.0,0,,,SSE,24,11:18,17.0,47,,SW,11,1018.8,20.3,45,,ESE,9,1016.7
,2021-04-24,11.3,23.9,0,,,W,24,08:08,16.7,65,,W,13,1022.5,21.8,57,,E,9,1019.8
,2021-04-25,13.3,23.1,0,,,SSE,31,16:33,18.5,76,,W,9,1022.2,22.2,64,,SE,15,1020.2
,2021-04-26,15.4,23.5,0,,,SSE,37,18:28,20.1,74,,SSW,13,1023.8,21.7,61,,SSE,24,1022.0
,2021-04-27,14.7,23.5,1.2,,,SSE,39,18:54,17.2,93,,W,9,1026.2,21.9,61,,SSE,24,1023.3
,2021-04-28,14.6,21.6,3.8,,,SE,46,17:52,17.0,92,,WNW,7,1025.1,20.4,77,,SSE,22,1022.1
,2021-04-29,15.4,23.2,8.2,,,SSE,24,15:43,17.6,95,,W,7,1024.1,20.8,81,,SSW,11,1022.2
,2021-04-30,15.1,21.7,16.8,,,SSE,35,09:23,17.6,97,,SW,11,1026.6,18.8,97,,S,6,1025.8
