"Daily Weather Observations for Yamba, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2149.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yamba Pilot Station {station 058012}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,15.3,23.8,0,,,E,26,23:19,20.3,61,,SW,9,1026.8,21.6,82,,ESE,11,1024.8
,2021-09-2,18.5,22.5,0,,,E,26,03:00,20.9,65,,E,11,1031.3,21.2,59,,ESE,11,1028.3
,2021-09-3,14.3,23.1,1.2,,,ENE,28,15:11,20.0,74,,NNW,6,1028.4,21.1,65,,ENE,17,1024.5
,2021-09-4,15.6,22.3,3.8,,,ENE,30,13:21,19.4,80,,SE,9,1024.4,21.1,74,,NE,15,1019.7
,2021-09-5,15.7,22.6,3.2,,,WSW,35,14:12,18.5,82,,N,9,1017.6,16.9,96,,NNW,9,1014.6
,2021-09-6,9.0,20.1,4.4,,,SSE,46,19:10,15.2,48,,WSW,13,1023.5,18.5,45,,SSE,24,1021.1
,2021-09-7,9.6,20.2,0,,,SSW,37,01:14,15.7,53,,WSW,11,1028.1,18.8,51,,ESE,11,1024.9
,2021-09-8,9.2,21.7,0,,,SE,35,14:18,17.3,68,,WSW,9,1031.1,19.6,67,,SE,26,1028.6
,2021-09-9,12.6,24.9,0,,,N,31,17:58,20.0,71,,NNW,13,1030.0,23.3,64,,NNE,17,1025.1
,2021-09-10,12.5,25.6,0,,,W,22,09:09,20.1,56,,WNW,13,1023.8,21.9,61,,ESE,11,1021.3
,2021-09-11,10.9,25.7,0,,,NNE,30,14:40,18.6,60,,WNW,9,1021.0,24.1,66,,NNE,15,1015.9
,2021-09-12,15.5,28.5,0,,,NNW,31,06:26,23.3,50,,NNW,17,1014.4,22.4,73,,N,11,1009.6
,2021-09-13,17.7,22.3,0,,,SSE,41,10:28,20.8,80,,SSE,26,1011.9,20.9,76,,SSE,28,1010.1
,2021-09-14,12.4,18.6,0,,,SW,43,12:58,17.0,65,,WSW,13,1016.0,14.4,75,,SSW,20,1016.0
,2021-09-15,9.3,20.2,0.8,,,SSE,57,18:41,16.5,58,,SW,15,1020.5,18.5,63,,SSE,35,1018.1
,2021-09-16,10.3,20.0,0,,,SSE,43,12:48,17.9,58,,SSW,13,1022.3,18.4,62,,SSE,28,1019.7
,2021-09-17,11.7,22.0,0,,,ENE,30,16:55,18.6,65,,SSW,9,1024.0,19.9,64,,E,13,1020.6
,2021-09-18,13.6,25.6,0,,,NNW,31,08:51,20.2,65,,NNW,22,1022.3,22.8,72,,N,11,1017.3
,2021-09-19,18.4,22.9,0,,,SSE,37,08:19,21.4,62,,SSE,28,1023.9,21.2,62,,ESE,15,1020.2
,2021-09-20,14.2,26.8,0,,,N,35,19:09,20.2,78,,NNW,11,1018.8,24.4,70,,NNE,13,1010.6
,2021-09-21,17.3,20.5,2.0,,,SSE,54,04:53,18.8,62,,S,20,1012.2,15.4,57,,SSE,28,1011.1
,2021-09-22,9.2,19.9,1.0,,,SSE,52,12:51,17.7,48,,SSW,15,1021.2,18.6,53,,SSE,33,1019.8
,2021-09-23,10.6,23.0,0,,,N,28,19:27,19.1,63,,NW,11,1023.2,21.0,51,,E,15,1018.5
,2021-09-24,12.5,29.8,0,,,NW,28,08:27,21.9,51,,NNW,17,1018.3,24.8,63,,NNE,13,1012.0
,2021-09-25,13.5,25.9,0,,,S,43,21:57,21.5,43,,WNW,13,1015.6,24.1,40,,SE,6,1013.0
,2021-09-26,16.4,21.0,1.8,,,SSE,57,19:48,17.3,91,,SSW,13,1020.9,16.5,90,,SSE,37,1020.7
,2021-09-27,13.2,20.1,2.6,,,SSE,48,00:34,16.1,87,,SSW,9,1025.5,18.2,64,,ESE,17,1021.8
,2021-09-28,14.5,22.9,0.2,,,NE,28,19:16,19.4,56,,NW,7,1024.2,21.4,52,,NE,13,1020.3
,2021-09-29,15.3,23.0,0,,,N,33,17:51,21.1,64,,N,7,1022.8,20.5,71,,NNE,13,1018.6
,2021-09-30,15.3,24.8,14.2,,,NNW,33,10:09,17.2,97,,NNW,13,1016.5,23.7,76,,NNE,15,1012.1
