"Daily Weather Observations for Yanco, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2150.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yanco Agricultural Institute {station 074037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,19.2,31.1,0,,,N,41,13:38,24.4,73,,NE,19,,22.5,94,,N,22,
,2021-02-2,13.5,28.5,1.8,,,,,,16.2,73,,SSW,13,,26.7,44,,SW,19,
,2021-02-3,12.5,30.2,0,,,N,33,10:55,20.1,65,,ENE,20,,29.4,32,,NNW,6,
,2021-02-4,18.9,32.6,0,,,N,46,18:17,23.6,61,,NNE,20,,31.9,27,,N,19,
,2021-02-5,21.3,32.5,0,,,NNW,63,12:14,25.2,62,,NE,30,,26.7,76,,WNW,11,
,2021-02-6,18.4,27.3,4.4,,,WNW,33,01:24,19.7,65,,WNW,13,,25.4,50,,W,19,
,2021-02-7,15.4,28.6,0,,,WSW,41,14:56,18.5,77,,SW,11,,27.3,43,,SW,19,
,2021-02-8,10.6,30.3,0,,,S,30,23:41,15.4,75,,WSW,4,,28.2,27,,W,7,
,2021-02-9,15.3,32.4,0,,,ENE,31,07:42,22.7,69,,NE,22,,31.7,34,,N,11,
,2021-02-10,18.4,32.2,0,,,ENE,35,02:08,22.0,58,,NNE,22,,30.0,36,,NE,11,
,2021-02-11,19.4,33.7,0,,,N,48,15:18,23.5,57,,N,19,,32.6,27,,NNE,17,
,2021-02-12,23.2,29.6,0,,,NNE,43,00:08,26.2,54,,N,13,,25.3,79,,SSW,4,
,2021-02-13,14.8,29.5,0,,,SW,46,16:32,18.8,90,,SW,20,,28.1,34,,SW,24,
,2021-02-14,14.9,30.4,0,,,S,28,15:39,20.6,60,,ENE,15,,29.4,36,,ENE,7,
,2021-02-15,18.2,30.3,0,,,NE,35,03:34,21.7,52,,ENE,22,,29.3,47,,SE,13,
,2021-02-16,17.4,32.8,0,,,ENE,43,08:48,21.0,60,,ENE,17,,32.1,36,,ENE,11,
,2021-02-17,18.8,31.6,0,,,NE,43,08:10,22.1,59,,NE,26,,30.4,42,,E,13,
,2021-02-18,17.0,30.9,0,,,ENE,44,15:05,20.9,83,,ENE,22,,29.4,42,,NE,19,
,2021-02-19,17.6,34.6,0,,,ENE,41,01:05,22.2,79,,ENE,17,,32.0,56,,N,15,
,2021-02-20,21.7,36.5,0,,,S,31,18:36,25.1,64,,N,15,,33.8,28,,WNW,6,
,2021-02-21,21.3,38.5,0,,,WSW,54,17:17,27.1,76,,N,11,,37.5,22,,WSW,13,
,2021-02-22,16.8,30.2,0,,,SSW,44,22:16,18.7,75,,SW,19,,28.6,31,,SW,31,
,2021-02-23,12.1,26.4,0,,,SSW,50,12:33,15.1,73,,SSW,26,,25.7,31,,SSW,20,
,2021-02-24,11.4,29.3,0,,,ENE,37,15:44,17.8,60,,ENE,22,,26.5,36,,ENE,6,
,2021-02-25,16.2,,0,,,,,,21.2,69,,ENE,2,,29.8,34,,SW,19,
,2021-02-26,11.9,29.2,,,,WSW,31,14:52,17.3,62,,SSW,11,,27.0,30,,WSW,11,
,2021-02-27,16.3,31.3,0,,,SW,28,14:18,21.8,33,,ENE,6,,30.4,17,,SW,13,
,2021-02-28,16.0,34.2,0,,,SW,33,13:16,23.9,31,,E,11,,33.8,14,,WSW,13,
