"Daily Weather Observations for Yanco, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2150.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yanco Agricultural Institute {station 074037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,13.8,27.9,0,,,NNW,22,09:18,17.3,69,,E,9,,26.3,33,,N,7,
,2021-04-2,14.3,29.8,0,,,E,17,15:24,18.5,69,,E,11,,28.8,32,,NE,4,
,2021-04-3,15.5,29.9,0,,,,,,19.9,62,,ENE,6,,28.7,35,,ESE,4,
,2021-04-4,15.5,30.0,0,,,WSW,17,11:43,22.7,55,,NNW,6,,29.2,32,,E,4,
,2021-04-5,15.7,31.6,0,,,S,19,21:40,23.3,59,,E,4,,31.3,27,,W,7,
,2021-04-6,16.2,30.5,0,,,NE,22,08:57,22.9,61,,NE,15,,29.4,34,,N,7,
,2021-04-7,17.4,29.6,0,,,NNE,24,10:25,22.6,66,,E,11,,28.8,40,,SE,6,
,2021-04-8,15.2,29.6,0,,,E,20,03:08,22.4,62,,N,7,,29.3,32,,WNW,7,
,2021-04-9,16.6,24.0,0,,,,,,19.3,60,,NNW,4,,23.1,43,,SW,26,
,2021-04-10,,,,,,,,,,,,,,,,,,,,
,2021-04-11,,17.3,,,,,,15:00,11.0,62,,SW,31,,17.1,33,,SW,31,
,2021-04-12,4.9,19.1,0,,,SW,26,09:29,11.1,71,,SSW,17,,18.3,41,,S,13,
,2021-04-13,6.6,22.8,0,,,N,22,09:59,14.5,55,,NNE,7,,21.8,29,,N,13,
,2021-04-14,14.5,25.4,0,,,WSW,39,13:50,17.8,41,,NNW,13,,22.7,40,,W,19,
,2021-04-15,8.9,20.6,0,,,SW,31,15:51,14.2,69,,WSW,9,,20.1,37,,WSW,17,
,2021-04-16,8.6,21.4,0,,,S,28,11:31,14.0,69,,SSW,15,,20.4,28,,SSW,15,
,2021-04-17,3.9,18.9,0,,,SW,31,14:23,9.8,73,,SW,9,,18.6,40,,WSW,17,
,2021-04-18,4.0,20.3,0,,,SW,26,15:34,9.3,74,,SW,4,,19.4,42,,SW,13,
,2021-04-19,4.9,21.1,0,,,WSW,20,12:32,12.4,69,,N,2,,20.4,40,,SW,7,
,2021-04-20,8.7,23.9,0,,,SW,69,18:33,16.1,52,,NNW,13,,23.0,28,,NW,28,
,2021-04-21,4.1,17.1,0.2,,,SW,26,00:09,9.2,73,,SSW,15,,16.6,36,,WSW,11,
,2021-04-22,2.8,18.9,0,,,WNW,31,11:52,9.2,61,,NNW,7,,17.3,40,,W,15,
,2021-04-23,8.2,19.0,0,,,SW,26,10:25,14.4,67,,WSW,13,,18.5,52,,WSW,15,
,2021-04-24,5.3,20.8,0,,,SSW,33,14:32,13.4,68,,NNW,4,,20.3,37,,SW,17,
,2021-04-25,5.3,21.4,0,,,SSW,28,13:46,11.8,69,,SW,4,,19.3,44,,WSW,15,
,2021-04-26,5.0,20.6,0,,,SSW,28,14:13,10.7,79,,WNW,4,,19.9,42,,SW,15,
,2021-04-27,5.4,22.9,0,,,W,20,11:34,11.9,75,,NW,4,,21.7,36,,ENE,4,
,2021-04-28,9.0,24.5,0,,,E,19,05:21,15.6,59,,ENE,6,,23.8,29,,SW,7,
,2021-04-29,7.4,25.0,0,,,E,19,03:49,15.2,60,,E,9,,24.8,27,,W,4,
,2021-04-30,11.0,26.3,0,,,E,22,04:58,17.3,52,,E,4,,24.9,26,,NE,6,
