"Daily Weather Observations for Yanco, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2150.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yanco Agricultural Institute {station 074037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,5.3,14.4,0,,,ENE,20,20:47,7.7,81,,E,6,,13.9,60,,N,7,
,2021-06-2,7.7,20.9,0,,,E,22,07:42,11.7,79,,E,13,,16.1,71,,WNW,6,
,2021-06-3,10.9,17.0,0,,,WSW,26,20:03,12.3,91,,N,4,,15.9,74,,SSW,11,
,2021-06-4,9.9,15.7,0,,,WSW,41,13:18,10.5,91,,WSW,15,,13.9,62,,WSW,24,
,2021-06-5,0.8,13.5,0,,,WSW,24,12:56,4.0,92,,NNW,6,,13.2,46,,WSW,9,
,2021-06-6,4.1,17.5,0.2,,,NNW,22,13:21,10.0,74,,N,6,,16.4,56,,NNW,9,
,2021-06-7,7.2,17.9,0,,,NNE,35,20:24,10.9,78,,NNE,15,,16.5,52,,N,19,
,2021-06-8,8.8,13.6,0,,,NNE,33,05:03,11.5,60,,NNW,19,,12.5,69,,NNW,11,
,2021-06-9,3.9,9.6,4.6,,,WSW,35,17:28,5.6,97,,NNW,7,,9.0,82,,SSW,9,
,2021-06-10,5.2,13.5,6.2,,,SSE,24,15:31,6.5,93,,SE,6,,12.1,56,,SSE,13,
,2021-06-11,3.3,14.3,0.2,,,NW,26,15:07,4.7,98,,NW,11,,13.5,74,,NW,17,
,2021-06-12,4.3,11.7,0.2,,,NW,28,08:55,6.8,98,,NNW,17,,11.5,88,,NW,13,
,2021-06-13,6.3,11.5,0,,,ESE,11,09:58,7.1,97,,E,6,,11.4,80,,NW,2,
,2021-06-14,6.9,16.3,0,,,E,13,22:37,9.7,89,,E,2,,14.7,54,,S,6,
,2021-06-15,8.0,17.3,0,,,N,22,11:54,9.7,80,,E,9,,16.4,57,,NNE,11,
,2021-06-16,9.2,18.1,0,,,NNW,48,18:06,10.5,77,,N,19,,17.7,58,,NNE,13,
,2021-06-17,5.5,9.9,5.0,,,WNW,22,12:44,7.1,93,,NW,13,,9.3,96,,WNW,11,
,2021-06-18,7.0,14.4,2.0,,,SW,37,15:38,9.7,97,,SW,7,,13.4,69,,SW,22,
,2021-06-19,4.9,16.1,0.2,,,SSW,31,10:24,8.1,87,,SSW,15,,15.8,53,,S,19,
,2021-06-20,2.8,15.6,0,,,E,17,12:42,7.3,89,,ESE,9,,15.1,46,,SE,7,
,2021-06-21,2.4,16.7,0,,,E,20,08:52,6.6,82,,E,15,,15.8,48,,NE,7,
,2021-06-22,5.0,16.9,0.2,,,NNE,26,11:02,7.5,88,,E,11,,15.4,54,,NE,11,
,2021-06-23,7.5,13.4,0,,,N,43,19:32,11.8,76,,NNE,20,,11.6,92,,NNE,20,
,2021-06-24,11.3,16.6,44.0,,,NW,41,12:59,12.9,97,,N,13,,15.2,61,,NW,20,
,2021-06-25,8.9,13.3,0.2,,,NW,28,15:29,10.4,85,,NNW,15,,12.9,78,,WNW,15,
,2021-06-26,8.4,14.6,0.2,,,SW,28,15:30,9.5,95,,NW,7,,14.0,71,,WNW,13,
,2021-06-27,4.1,14.4,0.6,,,NW,24,13:40,6.9,98,,NNW,9,,13.3,71,,WNW,11,
,2021-06-28,6.9,12.2,0.6,,,E,19,15:13,9.1,97,,E,6,,11.5,77,,E,11,
,2021-06-29,5.0,17.1,0.2,,,E,26,09:27,8.6,86,,E,17,,16.4,59,,ESE,11,
,2021-06-30,6.8,17.2,0.4,,,ENE,28,08:08,10.8,86,,E,13,,15.4,69,,NE,17,
