"Daily Weather Observations for Mount Seaview, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2151.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yarras (Mount Seaview)."
"Observations were drawn from Yarras (Mount Seaview) {station 060085}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,11.7,26.8,7.2,2.0,,,,,20.2,55,7,NW,4,,26.2,30,3,NW,15,
,2020-10-2,9.4,26.8,0,3.8,,,,,17.6,63,1,N,4,,26.0,40,2,E,6,
,2020-10-3,8.6,27.8,0.4,3.0,,,,,19.1,74,0,SE,6,,27.2,33,0,SE,19,
,2020-10-4,13.6,28.3,0.2,3.2,,,,,17.8,79,6,ESE,4,,27.8,47,1,ESE,13,
,2020-10-5,10.1,30.0,0,3.8,,,,,15.7,84,2, ,Calm,,29.6,37,1,SE,9,
,2020-10-6,12.8,26.3,0.2,4.2,,,,,18.3,77,4, ,Calm,,26.1,50,4,ESE,19,
,2020-10-7,15.0,26.5,0,3.2,,,,,18.7,84,7, ,Calm,,26.3,58,7,ESE,19,
,2020-10-8,15.1,33.4,0,4.2,,,,,18.6,83,7, ,Calm,,33.1,26,4,NW,19,
,2020-10-9,8.4,29.2,0,4.8,,,,,18.6,69,0, ,Calm,,28.2,24,1,NW,19,
,2020-10-10,11.0,26.6,0,3.6,,,,,20.1,47,0,E,9,,26.1,35,1,E,13,
,2020-10-11,9.2,28.0,0,3.2,,,,,15.6,61,0, ,Calm,,27.1,26,3,SE,11,
,2020-10-12,10.7,27.1,0,3.0,,,,,16.2,78,6, ,Calm,,25.2,40,6,ESE,19,
,2020-10-13,11.5,27.2,57.4,2.0,,,,,17.6,85,4, ,Calm,,26.4,40,4,S,9,
,2020-10-14,11.0,25.1,0.4,2.6,,,,,17.8,81,0,NNW,6,,24.7,37,2,ESE,9,
,2020-10-15,10.7,28.0,0,2.8,,,,,16.8,69,0, ,Calm,,27.6,33,3,ESE,11,
,2020-10-16,11.3,29.5,0.2,3.0,,,,,17.8,81,3, ,Calm,,29.0,34,6,SE,9,
,2020-10-17,13.9,30.4,4.8,2.6,,,,,18.7,76,4, ,Calm,,29.4,44,3,E,9,
,2020-10-18,16.3,21.8,0,3.2,,,,,18.4,88,8, ,Calm,,21.6,75,8,SE,6,
,2020-10-19,13.8,19.2,14.4,0.6,,,,,16.3,87,8,SE,6,,18.1,93,8, ,Calm,
,2020-10-20,15.3,27.4,24.0,0.2,,,,,17.6,82,5, ,Calm,,22.6,59,6,SE,15,
,2020-10-21,10.7,25.2,0.2,0.8,,,,,15.8,87,7, ,Calm,,24.7,51,6,SE,13,
,2020-10-22,13.7,23.8,0,2.0,,,,,15.8,84,7, ,Calm,,19.6,94,8,NW,4,
,2020-10-23,14.8,27.4,25.4,1.0,,,,,16.7,96,8, ,Calm,,27.2,60,5,E,9,
,2020-10-24,15.4,24.6,4.2,1.6,,,,,18.6,99,8, ,Calm,,23.2,86,8,SE,11,
,2020-10-25,16.6,22.4,4.6,0.6,,,,,18.9,96,7,NE,2,,19.1,98,8,ESE,4,
,2020-10-26,13.8,26.5,48.6,0.4,,,,,15.6,97,4, ,Calm,,25.2,53,5,SE,11,
,2020-10-27,13.2,23.8,1.8,1.4,,,,,17.5,73,6, ,Calm,,22.6,54,5,E,9,
,2020-10-28,15.3,20.6,2.4,1.2,,,,,18.2,82,7, ,Calm,,19.7,83,8,ESE,4,
,2020-10-29,13.7,22.3,19.4,1.0,,,,,15.8,98,4, ,Calm,,17.7,89,8,NW,6,
,2020-10-30,9.3,25.8,12.8,1.8,,,,,16.0,87,2, ,Calm,,25.6,59,4,SE,15,
,2020-10-31,13.8,29.4,7.0,1.6,,,,,20.3,83,5, ,Calm,,27.2,30,4,NW,19,
