"Daily Weather Observations for Mount Seaview, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2151.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yarras (Mount Seaview)."
"Observations were drawn from Yarras (Mount Seaview) {station 060085}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,19.8,33.6,0.6,2.4,,,,,22.1,84,2,NE,2,,33.5,47,0,SE,19,
,2020-12-2,21.5,36.6,4.8,3.4,,,,,29.0,66,4,NW,7,,26.6,77,8,ESE,11,
,2020-12-3,18.8,24.3,5.8,3.0,,,,,19.2,99,8,SE,4,,24.1,76,8,ESE,7,
,2020-12-4,18.7,33.8,16.0,3.0,,,,,21.6,87,3, ,Calm,,33.2,48,4,SE,28,
,2020-12-5,18.5,34.3,0,3.4,,,,,23.8,72,1,E,4,,31.2,58,8,ESE,11,
,2020-12-6,20.7,35.0,26.4,3.2,,,,,26.7,65,6,NW,7,,34.2,37,5,NW,19,
,2020-12-7,19.7,27.2,0,4.4,,,,,22.8,74,8, ,Calm,,26.4,63,8,NW,7,
,2020-12-8,20.3,27.2,0,3.0,,,,,23.6,41,3,S,11,,26.8,34,2,SSW,15,
,2020-12-9,13.3,28.3,0,2.8,,,,,19.7,67,5, ,Calm,,27.4,37,3,SE,9,
,2020-12-10,12.0,33.2,0,4.6,,,,,20.5,73,6, ,Calm,,32.5,29,5,E,9,
,2020-12-11,13.1,20.3,92.0,3.0,,,,,18.1,98,8,ESE,6,,18.4,98,8,SE,6,
,2020-12-12,14.2,18.7,33.2,0.4,,,,,15.7,100,8,ESE,4,,18.5,92,8,SE,6,
,2020-12-13,14.3,21.6,14.4,0.4,,,,,17.2,97,7, ,Calm,,18.6,96,8,ESE,19,
,2020-12-14,16.2,20.6,37.4,0.6,,,,,17.8,100,8,SE,7,,19.0,99,8,SE,15,
,2020-12-15,17.4,22.2,103.2,0.0,,,,,20.6,100,8,ESE,7,,21.7,97,8,ESE,6,
,2020-12-16,19.1,27.0,141.6,0.0,,,,,21.8,90,7, ,Calm,,23.2,96,8,SE,9,
,2020-12-17,20.1,28.6,18.2,1.0,,,,,21.8,91,8, ,Calm,,24.0,91,7, ,Calm,
,2020-12-18,18.8,34.4,17.0,1.0,,,,,22.0,93,1, ,Calm,,29.7,72,8,NW,6,
,2020-12-19,19.0,24.4,23.4,2.2,,,,,21.6,95,8, ,Calm,,22.8,90,8,SE,6,
,2020-12-20,20.2,27.2,10.2,0.4,,,,,23.4,83,6, ,Calm,,23.8,90,8,SE,7,
,2020-12-21,19.3,22.7,66.0,0.8,,,,,20.2,99,8, ,Calm,,21.6,98,8, ,Calm,
,2020-12-22,19.8,28.0,51.6,0.0,,,,,22.3,95,8, ,Calm,,27.1,78,8,NNW,9,
,2020-12-23,18.3,26.4,0.2,2.2,,,,,20.8,52,4,SE,9,,26.2,44,4,SW,9,
,2020-12-24,15.8,23.4,0,3.4,,,,,17.4,85,8, ,Calm,,23.2,62,8,SE,7,
,2020-12-25,15.3,27.3,0.8,2.8,,,,,19.9,93,6, ,Calm,,26.7,59,6,SE,15,
,2020-12-26,18.0,23.4,2.6,0.4,,,,,21.1,83,7,SE,4,,22.8,82,8,ESE,9,
,2020-12-27,17.1,27.1,46.0,1.2,,,,,20.7,95,7, ,Calm,,26.2,89,5,ESE,6,
,2020-12-28,17.3,27.7,9.8,1.4,,,,,19.8,98,8, ,Calm,,27.4,45,8,NW,15,
,2020-12-29,16.7,26.8,1.6,1.2,,,,,18.2,96,8, ,Calm,,21.4,96,8, ,Calm,
,2020-12-30,17.5,28.0,31.4,1.0,,,,,20.6,93,8, ,Calm,,27.2,64,6,SE,7,
,2020-12-31,18.2,27.1,58.4,1.4,,,,,22.6,81,6, ,Calm,,22.8,92,8,ESE,9,
