"Daily Weather Observations for Mount Seaview, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2151.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yarras (Mount Seaview)."
"Observations were drawn from Yarras (Mount Seaview) {station 060085}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,14.0,24.8,1.6,1.2,,,,,17.2,92,4, ,Calm,,24.1,62,5,SE,9,
,2021-04-2,13.1,25.7,1.2,1.0,,,,,16.8,85,3, ,Calm,,25.1,56,5,SE,7,
,2021-04-3,14.1,25.1,1.6,1.0,,,,,17.9,81,5, ,Calm,,23.6,61,6,SE,9,
,2021-04-4,13.8,24.4,0,2.0,,,,,18.0,92,6, ,Calm,,23.6,66,8,SE,9,
,2021-04-5,16.2,26.2,1.0,1.4,,,,,18.7,91,7, ,Calm,,25.2,61,5,SE,19,
,2021-04-6,16.7,20.8,4.6,0.4,,,,,19.6,97,8, ,Calm,,20.5,98,8,E,6,
,2021-04-7,18.1,23.2,28.0,0.0,,,,,20.2,96,6, ,Calm,,,,,,,
,2021-04-8,18.2,24.4,43.4,0.4,,,,,18.8,79,7, ,Calm,,22.4,94,8,SE,13,
,2021-04-9,14.3,29.3,40.8,0.4,,,,,16.0,90,3, ,Calm,,28.2,47,4,ESE,6,
,2021-04-10,13.8,28.2,0,2.6,,,,,17.2,91,3, ,Calm,,,,,,,
,2021-04-11,10.4,23.4,0,3.4,,,,,17.1,89,,N,6,,21.6,38,4,NW,19,
,2021-04-12,7.4,21.3,0,3.0,,,,,15.2,74,0,NW,9,,20.7,42,0,SE,9,
,2021-04-13,5.6,22.6,0,2.0,,,,,10.8,90,0,NW,9,,22.0,43,0,SE,19,
,2021-04-14,8.3,27.1,0,2.4,,,,,15.1,86,0, ,Calm,,26.2,44,0, ,Calm,
,2021-04-15,15.1,28.8,0,2.6,,,,,19.2,79,6, ,Calm,,28.1,35,3,SE,15,
,2021-04-16,12.5,23.4,0,3.2,,,,,16.8,86,3, ,Calm,,,,,,,
,2021-04-17,14.0,17.3,26.2,2.2,,,,,14.2,100,8, ,Calm,,15.2,99,8, ,Calm,
,2021-04-18,10.6,20.4,52.4,0.0,,,,,15.0,97,7, ,Calm,,20.2,61,6,S,9,
,2021-04-19,9.0,22.5,0.4,2.0,,,,,14.1,96,0, ,Calm,,22.3,48,2,SE,7,
,2021-04-20,8.3,24.0,0.4,2.0,,,,,13.6,87,2, ,Calm,,23.8,49,4,SE,9,
,2021-04-21,7.1,24.3,0,2.0,,,,,13.5,87,0, ,Calm,,23.3,47,3,W,11,
,2021-04-22,6.8,23.7,0,3.0,,,,,14.4,84,2, ,Calm,,22.8,47,0,SE,9,
,2021-04-23,4.8,22.8,0,2.6,,,,,12.0,65,0, ,Calm,,20.1,44,0,E,9,
,2021-04-24,6.0,22.2,0,2.8,,,,,13.2,75,0, ,Calm,,,,,,,
,2021-04-25,5.5,23.8,0,3.0,,,,,14.5,75,0, ,Calm,,23.4,37,3,SE,9,
,2021-04-26,9.8,23.0,0.2,2.6,,,,,15.7,84,0, ,Calm,,21.4,50,2,SE,9,
,2021-04-27,9.8,23.2,0,2.8,,,,,15.1,86,1,NW,6,,22.2,52,3,SE,19,
,2021-04-28,10.2,23.8,0,2.6,,,,,15.4,87,4, ,Calm,,,,,,,
,2021-04-29,9.4,23.4,0.2,2.2,,,,,14.8,76,3, ,Calm,,22.2,60,4,SE,15,
,2021-04-30,10.0,23.4,0.6,2.0,,,,,14.6,87,3, ,Calm,,21.2,58,4,SE,9,
