"Daily Weather Observations for Young, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2153.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Young Airport {station 073138}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,,,0.2,,,NE,24,10:12,,,,S,4,1024.2,15.6,54,,NNW,7,1020.0
,2020-09-2,0.7,19.3,0,,,NNW,37,11:32,9.3,100,,SSW,4,1020.6,19.0,47,,N,20,1016.4
,2020-09-3,4.2,20.3,0,,,NNW,43,12:07,16.7,61,,NNW,26,1017.1,19.0,56,,NW,13,1015.5
,2020-09-4,4.3,19.9,1.0,,,SSW,20,14:04,12.6,84,,S,2,1019.3,18.6,42,,W,11,1015.7
,2020-09-5,0.8,16.6,0,,,WSW,26,11:28,10.0,99,,NNE,7,1019.6,14.9,65,,WSW,9,1019.4
,2020-09-6,-0.8,17.8,0,,,NE,26,10:17,12.0,79,,ESE,9,1027.1,17.4,50,,NNE,7,1025.2
,2020-09-7,2.2,21.1,0.2,,,NNW,26,12:37,14.2,89,, ,Calm,1030.1,20.6,60,,N,15,1027.1
,2020-09-8,4.1,21.9,0,,,N,33,10:40,15.3,94,,NE,4,1029.4,21.4,68,,N,17,1025.0
,2020-09-9,10.9,18.7,1.6,,,ESE,35,20:15,14.5,100,,E,6,1026.1,18.4,80,,NE,9,1023.5
,2020-09-10,8.6,16.3,2.8,,,SE,41,08:59,12.2,69,,ESE,24,1028.4,15.7,49,,E,20,1026.0
,2020-09-11,2.7,17.5,0,,,E,22,09:53,12.0,68,,E,13,1031.4,16.7,47,,E,7,1027.5
,2020-09-12,0.3,19.3,0,,,WNW,24,11:46,12.9,87,,NNW,4,1028.9,19.1,51,,NW,9,1024.9
,2020-09-13,3.5,17.3,0.2,,,N,28,15:09,12.8,89,,SW,17,1025.0,16.5,71,,NNW,15,1022.0
,2020-09-14,2.8,18.7,0.6,,,SSW,28,15:50,12.3,100,, ,Calm,1027.3,18.3,58,,WSW,17,1025.3
,2020-09-15,0.1,20.9,0.2,,,NNW,17,12:34,12.3,98,,S,6,1028.8,20.3,44,,WSW,9,1025.9
,2020-09-16,1.6,22.6,0,,,NNW,33,09:49,15.4,82,,N,4,1024.8,22.3,38,,NW,15,1020.1
,2020-09-17,5.3,24.6,0.2,,,N,44,10:54,18.1,64,,N,17,1022.4,24.1,54,,N,15,1020.4
,2020-09-18,11.6,21.1,0,,,SE,35,04:29,14.5,81,,ESE,15,1029.4,19.9,70,,ESE,15,1025.6
,2020-09-19,7.7,22.4,0,,,NNE,35,10:03,17.9,71,,NE,17,1024.7,20.8,61,,NE,17,1019.0
,2020-09-20,13.4,20.5,5.4,,,NNE,41,03:50,15.3,99,,N,19,1013.3,20.1,63,,NNW,13,1010.8
,2020-09-21,6.3,25.5,0.8,,,NW,57,16:54,19.0,100,,N,11,1011.0,24.5,60,,NNW,20,1006.5
,2020-09-22,4.3,19.4,2.2,,,WNW,37,15:12,15.8,62,,N,7,1012.9,18.2,52,,WNW,20,1012.0
,2020-09-23,2.1,16.3,0.2,,,WNW,43,12:42,12.1,76,,WNW,15,1015.9,15.4,45,,W,19,1013.4
,2020-09-24,4.2,14.6,0.6,,,WNW,31,12:10,8.8,99,,WNW,13,1016.4,12.7,56,,W,17,1013.2
,2020-09-25,5.3,11.7,0.4,,,NW,57,13:56,11.3,72,,NNW,19,1005.7,5.5,98,,W,24,1003.1
,2020-09-26,3.2,11.0,8.8,,,WNW,39,00:15,5.0,99,,W,17,1014.6,9.6,83,,W,17,1015.4
,2020-09-27,-1.0,14.3,1.0,,,WSW,28,10:32,7.8,89,,SSW,13,1024.0,13.5,60,,SW,17,1023.1
,2020-09-28,-2.0,16.4,0.2,,,WNW,22,14:23,10.9,77,,NNW,2,1027.6,15.4,45,,SSW,7,1024.8
,2020-09-29,0.2,19.2,0,,,NNE,28,11:16,13.5,65,,ENE,11,1026.1,18.3,48,,NE,11,1021.0
,2020-09-30,6.0,15.9,1.4,,,NNW,35,23:35,12.8,94,, ,Calm,1017.8,15.4,87,,N,15,1012.6
