"Daily Weather Observations for Young, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2153.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Young Airport {station 073138}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,17.2,31.0,0,,,WNW,56,15:58,23.1,67,,E,15,1013.0,30.3,43,,N,17,1007.8
,2021-02-2,14.7,26.8,21.4,,,SSW,39,17:31,17.2,100,,N,9,1009.7,24.1,37,,WSW,15,1008.4
,2021-02-3,13.4,27.4,0,,,E,31,07:58,18.7,59,,E,19,1011.9,25.1,36,,SE,7,1008.5
,2021-02-4,13.5,30.8,0,,,N,50,17:04,22.6,63,,NNE,24,1009.1,29.8,35,,NNW,19,1005.6
,2021-02-5,18.4,30.9,9.4,,,NNE,54,11:45,20.2,97,,ESE,7,1007.7,29.9,48,,N,30,1003.1
,2021-02-6,14.4,27.0,42.6,,,NW,59,05:52,15.2,100,,NNE,11,1002.9,24.7,42,,WNW,17,1002.0
,2021-02-7,12.1,27.1,0.2,,,SSW,35,09:32,19.9,72,,SW,2,1006.8,25.9,39,,SW,19,1005.9
,2021-02-8,14.2,28.0,0,,,NE,22,10:12,20.1,76,,ESE,13,1011.6,26.5,45,,S,9,1009.5
,2021-02-9,16.1,27.8,0,,,ENE,28,07:49,21.0,68,,ESE,13,1015.0,26.0,45,,ESE,11,1012.2
,2021-02-10,13.3,27.8,0,,,ESE,26,07:29,18.3,64,,E,13,1015.4,26.7,43,,SSE,7,1011.9
,2021-02-11,12.1,30.1,0,,,NNE,28,09:56,20.0,72,,NE,9,1013.1,28.8,34,,N,13,1009.0
,2021-02-12,15.0,29.0,0,,,NNW,41,10:40,22.8,63,,N,11,1006.2,22.6,99,,SSE,11,1004.8
,2021-02-13,19.8,28.2,6.4,,,WSW,37,13:09,21.9,72,,SW,17,1006.8,27.1,36,,SSW,17,1007.2
,2021-02-14,13.8,26.1,0,,,SE,35,15:03,18.2,63,,ESE,19,1014.5,24.8,45,,SE,17,1013.1
,2021-02-15,11.7,25.1,0,,,SE,50,10:01,17.7,65,,ESE,22,1018.5,23.8,43,,ESE,22,1017.3
,2021-02-16,14.8,28.1,0,,,SE,41,09:38,19.6,71,,ESE,19,1020.8,27.7,48,,E,20,1018.3
,2021-02-17,14.9,26.7,0,,,SE,43,16:08,19.1,63,,E,24,1022.3,25.8,37,,ESE,20,1020.1
,2021-02-18,14.7,27.4,0,,,ESE,44,09:33,19.5,66,,ESE,19,1022.4,26.1,44,,E,19,1019.3
,2021-02-19,15.0,30.6,0,,,ENE,33,09:11,20.6,70,,SE,17,1019.2,29.0,40,,E,7,1015.0
,2021-02-20,15.0,31.6,0,,,SE,24,13:56,22.2,69,,E,11,1015.1,30.8,31,,S,15,1011.5
,2021-02-21,13.2,33.0,0,,,SSW,31,13:49,22.8,67,,SSE,9,1010.7,32.1,34,,SW,13,1007.1
,2021-02-22,14.5,29.7,0,,,WNW,37,12:47,21.7,68,,SSW,2,1006.2,29.3,28,,WSW,19,1005.2
,2021-02-23,11.4,25.4,0,,,SSE,43,17:00,13.6,71,,WSW,7,1010.9,23.0,46,,SE,7,1010.1
,2021-02-24,12.6,26.5,0,,,ESE,39,19:13,16.4,66,,SE,20,1015.7,23.8,49,,ESE,19,1011.7
,2021-02-25,12.9,28.6,0,,,NW,33,13:27,17.2,88,,SSE,6,1009.8,26.4,44,,WNW,17,1006.6
,2021-02-26,5.5,28.0,0,,,W,30,14:52,15.5,69,,NE,2,1010.6,27.1,28,,WSW,17,1008.8
,2021-02-27,12.8,31.0,0,,,WSW,37,14:50,18.6,75,,S,11,1011.5,29.2,26,,W,15,1009.4
,2021-02-28,8.5,30.5,0,,,SW,35,13:39,19.3,53,, ,Calm,1012.1,29.4,21,,SW,17,1009.6
