"Daily Weather Observations for Young, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2153.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Young Airport {station 073138}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,6.7,24.6,0,,,SW,20,14:40,12.5,93,,S,2,1024.9,23.7,46,,SSW,9,1022.9
,2021-04-2,8.1,27.3,0,,,SSE,28,12:00,14.1,99,,S,7,1026.8,26.6,36,,E,17,1024.1
,2021-04-3,9.3,27.5,0,,,SW,17,12:09,15.1,94,,SSW,6,1025.7,26.3,36,,S,9,1021.5
,2021-04-4,7.4,27.1,0,,,SSW,28,13:25,19.7,73,,SSE,4,1021.5,26.6,36,,SSW,9,1017.8
,2021-04-5,8.8,27.6,0,,,ESE,20,11:17,19.9,76,,S,7,1019.6,27.3,38,,ESE,11,1017.1
,2021-04-6,13.8,26.8,0,,,ESE,28,10:56,20.5,70,,E,11,1021.5,26.4,42,,SE,11,1018.0
,2021-04-7,12.6,25.9,0,,,SE,28,12:07,20.0,75,,ESE,11,1019.4,24.8,48,,SE,13,1014.6
,2021-04-8,11.3,26.4,0,,,ENE,20,09:10,20.3,71,,ENE,11,1014.3,25.3,41,,ESE,7,1008.8
,2021-04-9,9.4,24.8,0,,,WSW,41,16:01,17.0,92,,N,2,1007.5,24.0,44,,WSW,22,1004.7
,2021-04-10,4.8,16.2,0,,,SW,37,13:22,13.8,64,,W,7,1009.5,15.2,55,,SW,20,1008.7
,2021-04-11,5.1,14.8,0,,,WSW,48,13:19,9.0,69,,WSW,24,1014.0,12.8,45,,SW,28,1014.4
,2021-04-12,-1.0,16.4,0,,,SSW,26,15:14,8.3,77,,WNW,2,1021.3,16.2,45,,SW,11,1018.9
,2021-04-13,-0.7,21.2,0.2,,,NNW,28,10:59,11.5,71,, ,Calm,1021.4,20.6,30,,NNW,13,1017.3
,2021-04-14,3.7,22.2,0,,,NW,35,15:47,16.2,47,,N,15,1016.7,21.6,28,,NW,20,1013.3
,2021-04-15,1.1,19.9,0,,,WSW,35,13:45,13.0,75,,NNE,4,1017.6,18.9,40,,WSW,15,1015.0
,2021-04-16,2.5,20.6,0,,,S,24,11:31,11.5,83,,SSW,2,1021.6,19.8,34,,S,6,1019.5
,2021-04-17,2.6,20.3,0,,,WSW,24,13:03,12.1,89,,SSW,6,1022.7,19.8,37,,WSW,11,1020.1
,2021-04-18,-1.7,19.1,0,,,W,30,14:59,9.1,87,, ,Calm,1022.5,18.7,28,,WNW,9,1018.9
,2021-04-19,-1.2,19.1,0,,,WSW,24,13:20,9.9,78,,S,6,1019.7,18.3,45,,WNW,11,1016.3
,2021-04-20,-0.1,20.6,0,,,SW,52,21:27,9.8,98,, ,Calm,1016.9,20.1,39,,NW,20,1011.5
,2021-04-21,6.4,15.9,0.8,,,SW,28,03:23,8.1,88,,SSW,9,1015.7,15.4,39,,WSW,7,1014.1
,2021-04-22,-3.2,15.2,0,,,SW,31,12:43,6.7,84,, ,Calm,1015.7,13.8,41,,SW,20,1014.3
,2021-04-23,0.4,17.6,0,,,WSW,31,16:04,9.9,77,,NNE,6,1019.3,16.9,43,,W,13,1017.9
,2021-04-24,-1.0,17.8,0,,,SW,31,10:50,9.2,88,, ,Calm,1023.8,17.1,45,,SW,15,1021.2
,2021-04-25,-1.7,19.0,0,,,SSW,30,14:38,9.8,84,,S,7,1025.3,18.1,41,,SSW,17,1022.5
,2021-04-26,-1.5,19.6,0,,,WSW,19,12:55,9.6,89,,SSW,2,1026.0,19.1,35,,SSW,9,1023.5
,2021-04-27,-0.9,21.8,0,,,NW,20,12:13,11.1,79,,SSW,2,1027.5,21.1,31,,SW,7,1023.9
,2021-04-28,2.4,22.9,0,,,NNW,19,13:37,10.9,99,,S,6,1025.5,22.0,36,,NW,9,1022.0
,2021-04-29,2.0,23.0,0,,,WSW,39,14:53,12.2,84,,S,4,1024.4,22.1,35,,S,9,1021.9
,2021-04-30,2.7,22.7,0,,,NNE,19,11:16,13.1,84,,S,6,1028.1,22.5,34,,E,9,1025.3
