"Daily Weather Observations for Young, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2153.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Young Airport {station 073138}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,1.1,22.8,0,,,NE,19,12:01,12.7,77,,S,7,1028.2,22.4,33,,N,6,1026.5
,2021-09-2,1.6,23.0,0,,,NNE,33,11:01,14.4,73,,SW,2,1027.5,22.9,54,,NE,17,1022.6
,2021-09-3,9.7,21.8,0,,,N,43,11:20,17.4,69,,N,26,1024.6,21.5,53,,N,20,1019.3
,2021-09-4,9.7,13.5,6.4,,,N,35,09:14,12.8,100,,N,20,1018.6,13.2,100,,NNW,7,1015.5
,2021-09-5,6.7,11.9,24.4,,,WSW,43,13:49,7.0,96,,WNW,15,1018.0,9.9,99,,WSW,19,1018.6
,2021-09-6,4.0,14.0,0.8,,,SW,33,12:22,7.6,100,,SW,13,1028.2,13.1,56,,SW,20,1027.7
,2021-09-7,-1.8,15.1,0,,,WSW,37,13:34,9.2,99,,NW,7,1030.8,14.8,61,,W,17,1028.7
,2021-09-8,0.1,16.5,0,,,SW,20,13:31,6.1,100,,SE,4,1033.2,15.8,61,,WSW,13,1029.7
,2021-09-9,-0.4,18.2,0.2,,,NW,24,15:37,10.7,100,, ,Calm,1030.3,18.0,62,,NW,11,1026.1
,2021-09-10,1.1,22.5,0,,,WNW,30,13:56,13.1,78,,N,7,1024.2,21.7,41,,WNW,15,1021.6
,2021-09-11,0.8,22.6,0,,,NNW,37,10:00,15.4,68,,N,9,1018.1,22.3,48,,N,19,1012.5
,2021-09-12,2.3,16.4,0,,,SW,33,17:21,13.8,69,,SW,19,1008.4,14.2,70,,WSW,17,1008.0
,2021-09-13,0.5,12.2,0,,,SSW,37,11:19,8.4,99,,NW,9,1015.4,11.3,66,,SW,11,1016.2
,2021-09-14,0.9,15.2,0.4,,,SSE,33,09:26,9.2,64,,SSE,20,1025.2,12.5,52,,SW,15,1023.3
,2021-09-15,-0.5,15.7,0,,,E,24,09:01,10.9,69,,E,17,1025.9,14.2,47,,SSW,11,1022.6
,2021-09-16,0.4,16.7,0,,,N,26,12:53,10.7,72,,E,6,1024.1,16.3,45,,NNW,9,1020.3
,2021-09-17,-0.1,20.3,0,,,N,30,10:41,13.0,71,,NNE,2,1020.9,19.6,46,,NNW,19,1017.7
,2021-09-18,12.2,17.0,3.0,,,WSW,37,15:44,13.6,99,,W,11,1015.4,15.6,62,,W,15,1016.5
,2021-09-19,-0.9,17.8,2.8,,,NW,41,13:16,10.5,80,,N,7,1024.3,16.8,41,,W,17,1020.3
,2021-09-20,-0.2,18.1,0,,,SW,52,14:34,12.9,69,,N,13,1015.7,8.8,99,,SW,31,1014.5
,2021-09-21,2.6,12.5,1.4,,,SW,41,13:22,5.2,92,,SW,17,1021.1,11.9,61,,WSW,22,1021.9
,2021-09-22,-1.6,16.1,0,,,WSW,30,12:37,9.2,83,,NE,4,1026.3,14.8,63,,WSW,15,1023.8
,2021-09-23,1.3,18.5,0.2,,,NW,22,13:13,10.3,100,,NNE,7,1023.5,16.7,67,,WSW,13,1019.8
,2021-09-24,1.4,22.3,0,,,WNW,41,14:08,15.4,81,,N,19,1016.0,22.0,38,,WNW,20,1011.1
,2021-09-25,0.6,14.5,0.2,,,W,31,12:04,10.4,70,,WSW,17,1018.2,13.2,53,,SW,19,1018.2
,2021-09-26,-1.8,16.8,0,,,ESE,44,08:50,10.5,70,,ESE,28,1024.5,16.6,48,,E,15,1022.4
,2021-09-27,1.2,18.6,0,,,ESE,30,00:01,11.7,71,,ENE,9,1024.0,17.6,53,,NNE,6,1018.7
,2021-09-28,2.2,20.8,0,,,N,33,11:48,16.3,71,,NNE,17,1020.0,19.7,69,,N,11,1015.7
,2021-09-29,10.3,14.5,13.6,,,NNE,31,04:09,12.8,100,,E,4,1016.0,13.5,100,,N,11,1012.5
,2021-09-30,10.9,19.7,24.0,,,NNW,59,20:47,12.4,100,,NE,17,1011.2,18.9,74,,N,17,1007.6
