"Daily Weather Observations for Fowlers Gap, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2155.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Fowlers Gap AWS {station 046128}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,13.9,27.5,0,,,N,37,11:38,18.1,48,,NE,11,1024.8,26.3,28,,NNE,20,1021.4
,2021-05-2,13.5,29.2,0,,,N,28,11:37,19.8,52,,NE,7,1022.9,28.2,26,,WNW,7,1019.4
,2021-05-3,13.9,29.8,0,,,S,44,22:02,19.2,51,,SSW,6,1020.8,29.0,22,,WSW,28,1017.4
,2021-05-4,11.1,16.7,1.6,,,S,52,14:38,12.6,79,,SSE,20,1023.2,16.1,41,,SSE,33,1020.5
,2021-05-5,7.1,20.2,0,,,S,43,14:52,11.8,65,,SSE,24,1022.4,19.5,44,,S,26,1019.6
,2021-05-6,8.6,23.5,0,,,WSW,30,15:51,14.2,51,,SSE,13,1020.2,22.4,34,,SW,15,1016.5
,2021-05-7,6.4,26.2,0,,,W,24,15:52,13.8,44,,W,9,1017.3,25.9,23,,SW,13,1013.4
,2021-05-8,13.8,18.1,2.2,,,N,28,14:05,14.3,93,,E,13,1016.5,17.7,80,,NNW,20,1015.7
,2021-05-9,9.6,23.1,1.0,,,SSE,19,14:34,11.8,100,,SW,7,1020.4,21.7,48,,S,7,1017.3
,2021-05-10,10.6,22.8,0.2,,,WNW,48,14:33,16.3,78,,WNW,15,1017.8,22.6,35,,W,31,1014.5
,2021-05-11,7.5,17.1,0,,,SSE,46,10:03,10.7,58,,S,28,1022.3,16.9,38,,SSE,24,1020.4
,2021-05-12,3.7,19.4,0,,,SSW,20,08:43,10.6,70,,SSW,13,1023.5,18.5,41,,S,11,1019.3
,2021-05-13,5.1,20.8,0,,,W,35,14:28,11.4,62,,WSW,11,1020.1,20.5,29,,W,22,1016.3
,2021-05-14,6.2,19.0,0,,,S,33,11:06,11.4,75,,SW,9,1022.4,18.5,34,,SSE,15,1019.3
,2021-05-15,7.7,18.4,0,,,SSE,44,10:13,12.8,71,,SSW,20,1024.6,18.0,42,,S,22,1022.5
,2021-05-16,2.2,16.5,0,,,SSW,33,12:36,10.4,56,,SSW,6,1027.9,15.4,37,,SSE,19,1025.3
,2021-05-17,1.0,18.1,0,,,SE,31,11:48,7.6,59,,WSW,6,1029.5,17.4,45,,SSE,17,1027.1
,2021-05-18,2.1,20.3,0,,,NE,22,10:59,9.5,67,, ,Calm,1029.9,19.9,36,,ENE,2,1026.7
,2021-05-19,1.8,21.1,0,,,N,22,12:11,8.3,63,, ,Calm,1028.7,20.4,31,,ENE,9,1025.2
,2021-05-20,2.5,20.8,0,,,SSE,26,14:49,8.9,53,, ,Calm,1028.3,19.9,29,,SE,20,1025.9
,2021-05-21,7.8,22.1,0,,,E,30,10:39,11.9,51,,SSE,7,1029.1,21.3,22,,ESE,13,1025.4
,2021-05-22,7.8,23.9,0,,,ESE,20,02:17,15.8,41,,S,11,1024.8,22.2,21,,NNE,15,1021.0
,2021-05-23,4.8,23.2,0,,,NNE,30,15:02,11.1,47,, ,Calm,1024.6,22.8,32,,NNE,13,1021.8
,2021-05-24,11.1,26.4,0,,,N,50,12:24,14.9,57,,NE,17,1023.8,26.0,28,,N,28,1019.2
,2021-05-25,14.9,24.5,0,,,NNE,57,05:22,19.1,42,,NNE,35,1015.9,20.9,55,,WSW,31,1014.4
,2021-05-26,6.2,18.6,0,,,SSW,35,10:26,11.1,67,,WSW,13,1024.9,17.8,36,,SSW,17,1023.7
,2021-05-27,2.7,18.9,0,,,SE,31,11:56,10.3,60,,WSW,6,1031.8,17.9,39,,SE,20,1029.3
,2021-05-28,6.9,17.7,0,,,SSE,41,11:59,11.1,84,,SSE,19,1032.5,17.3,46,,SSE,24,1029.2
,2021-05-29,7.0,16.2,0,,,ESE,35,10:35,8.2,67,,SE,20,1030.8,15.2,36,,ESE,17,1027.3
,2021-05-30,-0.7,19.1,0,,,ESE,24,23:19,6.7,55,,SSE,6,1028.1,18.0,20,,SSE,9,1024.7
,2021-05-31,-1.8,19.2,0,,,NNE,28,13:37,6.2,40,, ,Calm,1023.9,18.4,33,,N,13,1019.9
