"Daily Weather Observations for Fowlers Gap, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2155.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Fowlers Gap AWS {station 046128}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,6.1,22.5,0,,,NW,54,14:18,12.7,48,,SE,6,1020.0,15.3,74,,SW,6,1018.2
,2021-06-2,10.4,18.7,3.4,,,WSW,43,08:12,13.7,83,,SW,15,1017.5,18.4,72,,NE,17,1012.9
,2021-06-3,6.7,20.9,0,,,SSW,31,15:20,11.7,93,,WSW,13,1016.3,20.1,47,,SSW,17,1015.0
,2021-06-4,7.0,18.4,0.2,,,SW,31,12:56,11.4,99,,W,13,1022.3,17.9,52,,SSW,19,1020.6
,2021-06-5,3.4,17.9,0,,,WSW,26,15:31,6.8,99,,SW,6,1026.3,17.4,41,,W,13,1024.0
,2021-06-6,2.7,19.5,0.2,,,NE,22,16:10,8.2,72,, ,Calm,1027.3,18.8,44,,NE,13,1023.9
,2021-06-7,7.3,19.6,0,,,NNW,44,22:13,12.5,58,,N,20,1021.8,19.2,34,,NNW,26,1015.9
,2021-06-8,9.2,14.8,0,,,W,59,13:43,11.6,61,,WNW,22,1011.3,13.7,40,,WSW,39,1008.9
,2021-06-9,3.9,14.6,0,,,SSW,57,12:04,6.6,81,,SW,24,1019.2,14.2,39,,WSW,43,1016.8
,2021-06-10,5.7,16.1,0,,,SSW,56,08:32,9.1,71,,SW,35,1013.9,15.0,55,,SW,35,1011.7
,2021-06-11,7.1,16.0,0,,,WSW,30,15:09,10.6,82,,W,7,1017.0,15.9,61,,WSW,15,1015.5
,2021-06-12,8.8,18.1,0,,,WNW,26,14:14,13.0,67,,W,6,1020.0,17.2,48,,NW,9,1017.5
,2021-06-13,9.3,19.8,0,,,NNE,28,04:38,11.9,74,,ESE,6,1019.2,19.0,31,,N,11,1015.2
,2021-06-14,10.4,18.4,0.2,,,NNE,31,13:56,11.8,83,,ENE,13,1015.5,18.0,45,,NNE,19,1012.5
,2021-06-15,8.7,21.3,0.2,,,NNW,41,14:46,12.2,83,,ENE,11,1014.1,20.6,42,,NW,24,1010.8
,2021-06-16,5.8,17.6,0.2,,,WNW,52,14:24,10.3,71,,NW,9,1014.2,16.6,29,,WNW,33,1011.8
,2021-06-17,7.5,18.3,0,,,W,54,20:42,11.3,79,,W,17,1016.9,16.4,52,,W,24,1014.7
,2021-06-18,6.0,15.8,3.0,,,SW,41,10:55,7.7,88,,W,20,1017.9,15.1,57,,WSW,26,1018.1
,2021-06-19,6.3,15.5,0,,,SSW,37,07:42,10.0,90,,SSW,15,1025.0,15.0,61,,S,20,1023.9
,2021-06-20,5.2,16.0,0.2,,,SSE,31,13:27,9.8,87,,SSE,17,1026.1,15.2,51,,SE,20,1022.9
,2021-06-21,1.3,17.8,0,,,ENE,26,13:16,6.3,88,, ,Calm,1025.9,17.0,43,,NNE,13,1023.0
,2021-06-22,4.0,19.0,0,,,NNE,43,14:43,8.5,77,,ENE,13,1025.2,18.9,40,,NNE,28,1021.3
,2021-06-23,8.3,16.4,0,,,NNE,43,00:55,14.9,58,,NNE,20,1016.8,14.8,82,,NW,11,1014.1
,2021-06-24,8.7,16.1,5.2,,,NW,43,14:01,9.7,91,,NW,22,1013.7,15.7,57,,NW,28,1012.0
,2021-06-25,6.6,14.8,0.2,,,WSW,35,10:59,9.0,90,,WSW,15,1017.9,13.8,58,,W,22,1017.6
,2021-06-26,3.2,13.0,0,,,WSW,30,12:35,7.9,88,,W,17,1025.1,12.4,72,,SSW,15,1025.1
,2021-06-27,1.5,15.9,0,,,SSE,20,12:53,5.7,99,, ,Calm,1030.6,15.1,46,,ESE,7,1028.6
,2021-06-28,0.4,16.1,0.2,,,E,30,21:05,6.6,93,, ,Calm,1030.5,15.3,49,,N,13,1027.6
,2021-06-29,4.0,18.6,0,,,NNE,35,12:12,8.5,79,,E,6,1028.6,18.3,34,,NE,19,1024.3
,2021-06-30,7.0,20.4,0,,,ENE,30,11:44,11.2,67,,ENE,9,1023.4,19.7,43,,NE,13,1020.0
