"Daily Weather Observations for Fowlers Gap, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2155.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Fowlers Gap AWS {station 046128}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,13.1,23.4,0,,,SW,48,08:46,15.6,60,,SW,31,1010.8,22.5,35,,WSW,26,1007.2
,2021-10-2,9.2,26.3,0,,,WNW,30,15:12,16.1,59,,SSE,11,1010.7,25.4,25,,WNW,19,1005.8
,2021-10-3,16.0,30.6,0,,,NW,65,12:05,19.3,36,,NNE,24,1003.3,28.5,22,,W,44,999.6
,2021-10-4,9.8,23.7,0,,,W,69,10:48,15.7,44,,NW,19,1009.7,22.9,20,,W,41,1008.2
,2021-10-5,8.4,24.5,0,,,SSW,30,08:18,13.5,58,,SSW,22,1017.6,22.9,20,,SSW,9,1015.5
,2021-10-6,6.4,29.2,0,,,NNW,46,15:38,16.2,24,,ENE,9,1015.0,27.3,10,,N,28,1009.3
,2021-10-7,14.1,22.8,0,,,NW,52,23:37,14.5,50,,S,26,1014.6,21.2,25,,S,13,1014.8
,2021-10-8,7.8,29.5,0,,,W,37,16:11,14.8,33,,ENE,19,1017.0,26.9,17,,NNW,9,1013.5
,2021-10-9,11.7,34.0,0,,,SSW,65,21:02,19.8,22,, ,Calm,1013.5,31.7,14,,NW,13,1010.0
,2021-10-10,15.7,17.3,1.0,,,S,54,02:31,16.7,87,,NW,6,1012.8,13.0,90,,SSE,19,1013.6
,2021-10-11,9.0,19.0,5.0,,,SSE,46,05:30,10.9,65,,SSE,30,1017.8,17.8,32,,SSE,19,1014.7
,2021-10-12,4.7,22.4,0,,,NE,24,13:48,13.5,36,,SE,7,1014.1,20.2,21,,N,7,1010.5
,2021-10-13,9.1,26.5,0,,,W,59,14:08,19.5,25,,N,17,1008.5,24.0,25,,W,39,1004.5
,2021-10-14,8.1,20.5,0,,,WNW,76,17:03,16.8,28,,NNW,20,1004.5,19.6,30,,WNW,44,1001.5
,2021-10-15,9.2,20.9,2.8,,,WSW,61,13:29,11.7,70,,WNW,33,1008.6,19.9,47,,WSW,39,1008.5
,2021-10-16,7.6,22.9,0,,,SSW,33,08:41,13.5,66,,SSW,20,1016.6,20.3,34,,SSW,19,1013.7
,2021-10-17,7.8,25.0,0,,,NNE,24,10:06,16.2,45,,ESE,7,1016.1,24.0,24,,N,7,1012.8
,2021-10-18,9.9,30.8,0,,,SSE,35,22:57,21.4,24,,NE,17,1014.9,28.9,15,,W,11,1013.0
,2021-10-19,16.8,28.6,0,,,SE,46,07:41,19.4,42,,SE,30,1019.1,26.8,21,,S,20,1017.2
,2021-10-20,10.5,29.1,0,,,ENE,39,11:19,18.1,28,,E,17,1017.4,27.8,11,,ENE,20,1012.7
,2021-10-21,16.7,33.3,0,,,NE,41,14:49,22.6,26,,NE,24,1011.6,31.7,10,,NNW,13,1008.8
,2021-10-22,17.4,35.5,0,,,SSW,43,22:40,24.2,28,,SE,13,1012.1,32.8,14,,NNE,11,1008.7
,2021-10-23,18.4,27.4,0,,,SW,50,13:29,20.0,46,,S,31,1016.6,27.0,26,,WSW,31,1016.0
,2021-10-24,12.1,24.8,0,,,SSE,46,04:07,15.0,51,,SSE,33,1021.7,22.8,21,,SSW,13,1019.4
,2021-10-25,10.8,25.1,0,,,S,39,16:04,15.2,34,,SE,22,1021.6,22.9,18,,SSE,24,1017.7
,2021-10-26,8.6,,0,,,,,,17.4,22,,ENE,13,1019.1,28.0,8,,ENE,13,1014.7
