"Daily Weather Observations for Springwood, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2156.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Springwood (Valley Heights) {station 063077}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,12.9,23.8,0,,,,,,17.8,74,4, ,Calm,,,,,,,
,2021-04-2,14.0,24.3,0,,,,,,18.7,79,3, ,Calm,,,,,,,
,2021-04-3,13.6,25.0,0,,,,,,18.0,76,1, ,Calm,,,,,,,
,2021-04-4,13.4,27.7,0,,,,,,21.7,70,3, ,Calm,,,,,,,
,2021-04-5,16.0,26.4,0,,,,,,23.3,72,1,NW,7,,,,,,,
,2021-04-6,17.3,24.0,0,,,,,,22.4,74,4,E,4,,,,,,,
,2021-04-7,16.4,22.9,32.8,,,,,,21.0,84,5,SW,6,,,,,,,
,2021-04-8,16.0,24.9,5.2,,,,,,20.7,80,3,W,4,,,,,,,
,2021-04-9,14.9,27.8,0,,,,,,22.8,53,6,W,6,,,,,,,
,2021-04-10,13.1,21.7,0,,,,,,16.1,58,4, ,Calm,,,,,,,
,2021-04-11,11.1,17.4,0,,,,,,14.0,38,2,W,15,,,,,,,
,2021-04-12,8.1,18.7,0,,,,,,14.3,43,0,W,9,,,,,,,
,2021-04-13,8.5,21.3,0,,,,,,16.0,55,1, ,Calm,,,,,,,
,2021-04-14,11.6,26.4,0,,,,,,19.0,38,6,W,6,,,,,,,
,2021-04-15,13.3,25.3,0,,,,,,19.4,50,0,W,4,,,,,,,
,2021-04-16,13.0,21.2,0,,,,,,19.0,43,3,W,4,,,,,,,
,2021-04-17,12.8,16.8,0,,,,,,14.7,77,8, ,Calm,,,,,,,
,2021-04-18,9.6,20.0,0,,,,,,16.2,68,1, ,Calm,,,,,,,
,2021-04-19,9.4,21.4,0,,,,,,17.0,63,0, ,Calm,,,,,,,
,2021-04-20,9.3,21.9,0,,,,,,17.0,61,4, ,Calm,,,,,,,
,2021-04-21,10.8,19.7,0,,,,,,15.0,44,1,NW,15,,,,,,,
,2021-04-22,7.8,19.3,0,,,,,,13.9,44,1,SW,4,,,,,,,
,2021-04-23,7.2,20.0,0,,,,,,15.5,53,0, ,Calm,,,,,,,
,2021-04-24,9.1,20.1,0,,,,,,16.1,52,1, ,Calm,,,,,,,
,2021-04-25,8.6,20.1,0,,,,,,16.1,54,1, ,Calm,,,,,,,
,2021-04-26,9.8,20.7,0,,,,,,16.5,64,0, ,Calm,,,,,,,
,2021-04-27,11.5,21.2,0,,,,,,17.3,73,1, ,Calm,,,,,,,
,2021-04-28,11.0,19.8,0,,,,,,16.5,75,5, ,Calm,,,,,,,
,2021-04-29,10.2,21.5,0,,,,,,16.5,75,0, ,Calm,,,,,,,
,2021-04-30,11.0,21.5,0,,,,,,17.5,75,1, ,Calm,,,,,,,
