"Daily Weather Observations for Springwood, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2156.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Springwood (Valley Heights) {station 063077}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,6.1,16.4,0,,,,,,10.0,81,5, ,Calm,,,,,,,
,2021-06-2,8.5,19.2,0,,,,,,15.0,83,2, ,Calm,,,,,,,
,2021-06-3,9.9,15.0,1.2,,,,,,11.9,92,8, ,Calm,,,,,,,
,2021-06-4,9.0,17.5,5.0,,,,,,14.8,81,1,SW,6,,,,,,,
,2021-06-5,4.9,14.2,0,,,,,,10.7,84,0, ,Calm,,,,,,,
,2021-06-6,4.3,18.0,0,,,,,,12.6,87,0, ,Calm,,,,,,,
,2021-06-7,6.5,16.6,0,,,,,,11.8,87,4, ,Calm,,,,,,,
,2021-06-8,7.4,16.0,0,,,,,,12.0,88,8,SW,4,,,,,,,
,2021-06-9,5.6,12.8,3.6,,,,,,9.1,83,3,SW,7,,,,,,,
,2021-06-10,2.7,9.0,1.6,,,,,,4.1,97,8, ,Calm,,,,,,,
,2021-06-11,3.7,15.0,10.8,,,,,,8.7,76,4, ,Calm,,,,,,,
,2021-06-12,7.2,16.0,0,,,,,,12.5,58,3,W,6,,,,,,,
,2021-06-13,6.0,17.4,0,,,,,,12.2,57,0, ,Calm,,,,,,,
,2021-06-14,5.9,16.6,0,,,,,,12.0,61,4, ,Calm,,,,,,,
,2021-06-15,9.0,15.7,0,,,,,,12.7,76,6, ,Calm,,,,,,,
,2021-06-16,6.2,17.1,0,,,,,,12.0,68,1, ,Calm,,,,,,,
,2021-06-17,8.1,15.2,9.6,,,,,,12.1,50,2,W,9,,,,,,,
,2021-06-18,8.2,17.2,0,,,,,,13.5,56,1,W,4,,,,,,,
,2021-06-19,9.8,16.1,0.8,,,,,,13.0,50,2,SW,7,,,,,,,
,2021-06-20,9.4,14.7,0,,,,,,12.5,61,6,SW,6,,,,,,,
,2021-06-21,8.6,14.9,1.4,,,,,,11.6,74,6, ,Calm,,,,,,,
,2021-06-22,7.5,15.7,0.6,,,,,,11.4,83,6, ,Calm,,,,,,,
,2021-06-23,8.8,15.2,0,,,,,,11.5,82,7, ,Calm,,,,,,,
,2021-06-24,10.8,19.8,0,,,,,,14.1,77,6,W,6,,,,,,,
,2021-06-25,7.7,17.7,0.2,,,,,,13.0,66,1, ,Calm,,,,,,,
,2021-06-26,7.0,16.0,0,,,,,,12.2,58,0,W,7,,,,,,,
,2021-06-27,5.0,15.4,0,,,,,,10.3,60,0, ,Calm,,,,,,,
,2021-06-28,6.8,15.5,0,,,,,,10.7,72,6, ,Calm,,,,,,,
,2021-06-29,8.4,13.2,0,,,,,,11.5,80,8, ,Calm,,,,,,,
,2021-06-30,8.1,,2.6,,,,,,12.1,96,3, ,Calm,,,,,,,
