"Daily Weather Observations for Merriwa, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2158.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merriwa (Roscommon) {station 061287}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,12.4,40.1,0,,,WSW,61,18:57,21.3,69,,E,9,1013.1,39.2,24,,WNW,22,1007.6
,2020-12-2,18.5,28.2,1.0,,,E,43,15:57,26.3,60,6,ESE,7,1014.7,26.5,56,1,E,24,1016.0
,2020-12-3,15.7,26.1,0,,,ESE,43,02:19,17.8,85,8,ESE,20,1020.6,25.1,62,8,NE,15,1017.2
,2020-12-4,14.5,34.6,0.4,,,WNW,52,15:42,26.0,67,,WNW,20,1015.3,34.0,32,1,WNW,28,1011.2
,2020-12-5,11.7,26.6,0,,,WNW,63,20:19,19.9,66,,E,19,1012.0,20.3,92,8,W,6,1007.7
,2020-12-6,18.8,29.0,14.6,,,NW,63,13:57,21.6,63,2,WNW,24,1005.5,28.2,28,,WNW,39,1004.2
,2020-12-7,12.5,28.7,0,,,NW,52,12:56,20.7,43,,NW,19,1008.4,27.3,27,,W,26,1004.9
,2020-12-8,10.2,25.0,0,,,WNW,44,13:07,16.7,47,,SW,22,1013.7,23.2,24,,SW,22,1012.8
,2020-12-9,6.5,29.3,0,,,WSW,30,12:32,18.0,60,,SE,13,1019.2,27.0,23,,ESE,11,1015.1
,2020-12-10,9.8,32.6,0,,,ESE,52,20:29,20.9,58,,S,7,1017.6,30.9,22,6,NNW,13,1014.4
,2020-12-11,14.5,21.5,0,,,ESE,54,10:06,16.2,68,8,ESE,35,1025.3,20.0,51,6,E,33,1023.6
,2020-12-12,10.4,24.7,0,,,ESE,61,13:52,17.7,61,8,ESE,33,1027.0,23.2,42,4,ESE,41,1023.4
,2020-12-13,12.6,26.3,0,,,ESE,59,14:37,19.0,65,3,ESE,37,1022.9,24.9,40,4,ESE,37,1018.9
,2020-12-14,15.7,27.4,0,,,ESE,54,11:44,20.3,65,8,ESE,33,1017.9,25.9,53,8,ESE,35,1015.0
,2020-12-15,16.2,26.5,0.4,,,SE,43,00:22,19.2,95,8,ESE,20,1013.9,24.0,76,8,ESE,28,1010.8
,2020-12-16,19.1,29.6,0,,,N,41,13:22,23.1,84,7,E,11,1011.5,21.8,94,8,W,11,1008.1
,2020-12-17,18.5,30.8,11.4,,,SSW,41,14:38,22.8,84,6,SSW,6,1008.0,30.0,68,2,E,15,1004.7
,2020-12-18,18.2,27.6,20.2,,,SW,41,12:03,22.6,90,6,W,6,1007.7,23.0,88,8,N,13,1008.1
,2020-12-19,18.6,22.4,16.6,,,E,39,12:56,18.7,93,7,E,26,1014.7,21.3,75,8,E,22,1013.7
,2020-12-20,16.9,25.3,0,,,ESE,20,23:11,17.5,98,8,E,9,1012.6,22.7,70,8,S,7,1010.7
,2020-12-21,15.8,19.1,3.4,,,ENE,22,09:28,18.2,98,8,E,11,1011.6,18.1,91,8,ESE,15,1008.6
,2020-12-22,16.0,25.3,40.0,,,WNW,50,11:31,18.0,95,8,WNW,22,1004.8,22.4,57,8,W,28,1005.5
,2020-12-23,10.5,26.4,0.2,,,ESE,31,20:55,17.9,59,,SW,11,1014.4,25.1,41,,SSW,9,1013.5
,2020-12-24,13.3,29.0,0,,,WSW,28,16:34,17.4,81,8,E,11,1016.5,26.2,44,7,W,11,1013.3
,2020-12-25,13.5,26.9,0,,,ESE,43,17:43,20.6,76,8,E,19,1016.7,25.2,54,7,ESE,22,1015.5
,2020-12-26,15.3,27.9,0,,,NW,69,14:43,19.2,80,7,E,15,1018.4,27.2,51,5,SE,28,1013.7
,2020-12-27,14.5,31.2,21.4,,,NNW,43,14:44,21.4,79,1,WNW,4,1014.4,29.6,49,8,NW,20,1010.3
,2020-12-28,17.6,30.8,0,,,SW,57,17:46,21.2,75,7,N,17,1010.5,30.1,46,,NNW,17,1007.5
,2020-12-29,15.3,23.8,18.0,,,ESE,33,14:43,17.6,96,8,ENE,17,1013.5,22.1,82,8,SE,19,1011.8
,2020-12-30,16.4,25.9,1.6,,,SE,41,17:33,18.4,86,7,ESE,17,1016.8,24.1,62,7,ESE,22,1014.9
,2020-12-31,17.3,25.1,0,,,ESE,43,15:45,19.3,86,8,ESE,19,1018.2,23.6,66,8,E,26,1016.7
