"Daily Weather Observations for Merriwa, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2158.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merriwa (Roscommon) {station 061287}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,16.5,20.7,0.2,,,E,37,23:01,18.2,86,8,ESE,22,1018.5,17.9,87,8,SE,24,1017.2
,2021-01-2,14.6,24.1,1.6,,,ESE,35,16:18,16.8,91,8,E,13,1014.5,21.7,75,8,ESE,20,1010.7
,2021-01-3,16.6,24.9,0.6,,,W,30,13:12,18.9,94,7,E,15,1008.3,19.8,95,7,S,9,1006.7
,2021-01-4,16.5,28.7,7.2,,,SSW,54,15:12,19.5,99,8, ,Calm,1006.8,26.3,69,7,NNW,11,1004.0
,2021-01-5,13.8,29.4,31.2,,,WNW,39,14:06,18.7,91,8,NW,13,1009.5,28.0,51,1,NW,20,1007.6
,2021-01-6,15.4,23.9,0,,,E,41,18:46,20.4,83,8,E,17,1012.7,22.4,73,8,E,17,1012.2
,2021-01-7,15.4,22.6,0,,,SE,43,07:49,16.0,89,8,SE,20,1018.5,21.8,63,8,E,17,1017.8
,2021-01-8,14.1,23.0,2.6,,,ESE,44,10:18,18.1,65,4,ESE,24,1020.9,22.0,58,8,ESE,26,1019.1
,2021-01-9,13.0,24.2,1.2,,,ESE,44,15:03,15.4,99,8,SSE,17,1020.9,23.2,64,7,SE,20,1018.2
,2021-01-10,13.6,26.3,0.2,,,E,43,15:13,18.7,81,6,ESE,13,1019.9,25.2,53,1,E,20,1017.3
,2021-01-11,12.1,27.9,0,,,ESE,28,10:10,18.4,87,8,E,11,1018.3,26.6,32,,E,15,1014.8
,2021-01-12,11.0,30.9,0,,,SE,24,13:36,20.7,77,,SW,6,1015.4,30.0,31,,ESE,13,1013.1
,2021-01-13,12.1,29.7,0,,,ENE,30,14:53,22.2,79,,ENE,13,1016.1,29.2,40,,E,17,1013.9
,2021-01-14,12.7,34.6,0,,,W,39,14:54,20.1,87,7,SSE,6,1012.3,33.2,33,,WNW,22,1008.2
,2021-01-15,15.4,32.4,0,,,WNW,54,14:49,23.8,74,,ESE,9,1007.5,31.8,36,1,WNW,30,1002.9
,2021-01-16,10.1,26.1,0,,,WSW,44,23:55,17.0,35,,SW,13,1010.7,24.8,30,,W,19,1008.3
,2021-01-17,10.3,28.9,0,,,WNW,35,14:48,19.6,42,,WNW,11,1013.7,27.4,38,1,NW,17,1011.8
,2021-01-18,13.3,31.1,0,,,NW,33,16:55,17.8,84,,W,2,1014.9,29.5,31,,NW,15,1010.4
,2021-01-19,14.8,29.4,0,,,ESE,48,15:35,23.4,35,,W,11,1014.4,28.5,35,,ENE,19,1013.6
,2021-01-20,15.4,24.2,0,,,ESE,43,09:15,17.7,76,7,ESE,22,1021.5,22.3,58,7,ESE,22,1018.5
,2021-01-21,10.0,29.8,0,,,ESE,24,08:48,18.4,71,,ESE,13,1018.7,28.3,47,2,ESE,13,1013.3
,2021-01-22,13.1,33.2,0,,,NW,39,17:55,22.1,67,,WSW,9,1012.8,31.2,30,1,WNW,17,1008.9
,2021-01-23,13.3,35.3,0,,,W,30,10:09,24.3,60,,W,13,1013.6,33.7,29,8,SW,15,1010.9
,2021-01-24,17.0,36.4,0,,,N,33,12:15,27.2,51,,WSW,7,1013.5,35.3,29,,NNW,15,1009.8
,2021-01-25,13.3,35.4,0,,,W,31,10:09,26.1,46,,WNW,9,1010.4,33.5,27,,W,13,1006.0
,2021-01-26,19.3,36.2,0,,,NNW,39,14:59,28.6,44,,NNW,22,1005.2,35.1,30,1,NNW,17,1002.1
,2021-01-27,21.0,31.9,0,,,ESE,50,19:01,27.6,61,8,ESE,22,1008.4,28.2,57,8,ESE,30,1009.5
,2021-01-28,18.0,24.4,0,,,ESE,50,09:33,20.0,85,8,E,15,1016.8,22.1,77,8,SE,30,1015.7
,2021-01-29,17.0,26.6,0,,,ESE,37,23:32,18.4,97,8,ESE,15,1015.6,24.5,69,8,SE,15,1012.0
,2021-01-30,18.2,30.0,1.0,,,ESE,26,16:53,20.9,95,7,NE,2,1011.8,26.6,60,8,N,6,1010.7
,2021-01-31,17.8,31.1,0.2,,,SE,41,17:11,24.1,73,4,E,15,1013.5,24.7,73,7,ESE,24,1012.8
