"Daily Weather Observations for Lake Macquarie, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2159.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cooranbong (Lake Macquarie AWS) {station 061412}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,20.6,27.5,5.6,,,E,26,14:31,23.2,86,,WSW,4,1015.8,25.9,74,,ESE,17,1012.5
,2021-02-2,18.1,23.9,12.0,,,SE,24,14:55,18.8,93,,SSW,4,1010.4,22.4,67,,SE,11,1010.6
,2021-02-3,15.4,23.9,0,,,E,22,11:08,19.4,77,,WSW,4,1014.2,22.4,64,,ESE,9,1012.7
,2021-02-4,14.2,27.6,0,,,E,30,14:19,22.0,80,,NNE,4,1013.2,26.9,66,,E,15,1010.2
,2021-02-5,17.1,28.5,0,,,E,37,13:08,23.8,77,,NNE,7,1012.2,27.4,73,,ESE,20,1008.6
,2021-02-6,19.4,24.9,0,,,NNE,20,15:16,22.4,86,, ,Calm,1005.5,24.0,89,, ,Calm,1004.1
,2021-02-7,20.6,28.9,3.0,,,ESE,30,13:55,24.7,67,,N,4,1006.4,27.6,45,,SSE,13,1006.0
,2021-02-8,18.2,25.3,1.6,,,SE,26,13:51,20.7,81,,WSW,6,1014.0,23.7,66,,SE,11,1013.0
,2021-02-9,15.8,25.7,0,,,ESE,28,14:41,22.2,71,,SSW,4,1017.3,24.1,49,,SE,11,1016.0
,2021-02-10,14.8,23.9,0.6,,,ESE,19,16:47,19.6,86,,SW,2,1017.7,22.9,64,,ENE,6,1015.3
,2021-02-11,12.5,27.4,4.0,,,E,30,15:40,20.2,77,,NE,2,1015.6,25.9,59,,E,15,1012.3
,2021-02-12,13.9,33.2,0,,,N,30,13:59,19.1,84,, ,Calm,1009.6,31.5,44,,N,15,1006.2
,2021-02-13,19.1,23.5,2.8,,,SSE,24,14:31,22.6,95,, ,Calm,1007.3,21.1,93,,S,7,1008.9
,2021-02-14,17.1,25.1,43.8,,,SSE,31,16:04,21.2,76,,SW,7,1015.7,24.1,53,,S,13,1014.8
,2021-02-15,16.4,23.8,0,,,S,37,15:03,20.3,73,,WSW,7,1018.3,21.8,65,,SSW,7,1018.0
,2021-02-16,18.2,25.8,26.0,,,SE,33,11:33,23.6,80,,ESE,9,1020.7,24.2,68,,ESE,13,1021.0
,2021-02-17,16.3,25.1,6.6,,,ESE,30,09:44,23.1,69,,ESE,7,1023.3,23.5,57,,SE,11,1023.2
,2021-02-18,18.1,25.7,0,,,ESE,41,09:48,22.3,73,,SSE,4,1024.4,24.8,64,,E,13,1022.8
,2021-02-19,18.8,26.7,33.8,,,ESE,26,11:05,23.3,83,,ESE,7,1021.1,25.8,71,,E,11,1017.9
,2021-02-20,19.0,27.9,0.2,,,ESE,22,15:06,22.1,93,,WSW,4,1016.3,27.4,67,,ENE,9,1013.5
,2021-02-21,18.9,28.1,4.8,,,ESE,26,13:52,22.9,93,,SW,6,1011.0,26.7,67,,SSE,11,1008.1
,2021-02-22,18.1,29.9,0.8,,,SSE,24,15:05,23.3,83,,S,2,1006.5,28.9,63,,ESE,9,1004.6
,2021-02-23,19.2,20.9,0.4,,,SSW,20,00:15,20.3,78,,S,6,1012.3,18.6,90,,S,6,1014.2
,2021-02-24,15.6,21.8,2.0,,,WSW,11,08:55,19.4,81,,WSW,2,1017.7,20.7,92,,SSE,4,1016.2
,2021-02-25,14.8,25.6,4.2,,,NNE,15,13:49,18.9,96,,SW,2,1012.2,24.0,76,,N,9,1010.0
,2021-02-26,15.2,28.6,0,,,E,20,12:08,22.7,79,, ,Calm,1010.2,27.2,59,,ESE,9,1009.0
,2021-02-27,19.5,23.3,3.6,,,ESE,9,14:23,20.1,97,, ,Calm,1014.3,23.1,87,, ,Calm,1012.5
,2021-02-28,17.9,28.0,0,,,E,20,14:03,22.3,88,,SW,2,1012.6,27.2,73,,ESE,11,1010.3
