"Daily Weather Observations for Lake Macquarie, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2159.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cooranbong (Lake Macquarie AWS) {station 061412}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,8.8,23.2,0,,,ESE,19,14:23,18.5,96,, ,Calm,1030.4,20.5,79,,ESE,7,1027.6
,2021-05-2,8.0,23.9,0,,,N,20,11:00,16.7,100,, ,Calm,1028.5,21.3,75,,ESE,7,1024.9
,2021-05-3,8.3,25.5,0,,,ESE,13,16:36,17.4,98,, ,Calm,1022.7,24.4,59,,E,4,1018.1
,2021-05-4,10.9,19.3,0,,,SW,19,11:48,17.0,98,, ,Calm,1016.6,16.0,90,, ,Calm,1015.2
,2021-05-5,12.2,20.7,4.8,,,WSW,15,13:26,16.0,95,,SW,4,1015.2,19.1,77,,SW,2,1012.6
,2021-05-6,11.6,22.3,3.8,,,SSE,26,13:49,20.1,88,,WNW,4,1007.8,21.0,84,,SE,11,1009.7
,2021-05-7,17.5,23.4,7.2,,,S,26,13:15,20.7,93,,SSW,6,1010.7,20.6,89,,SW,2,1009.0
,2021-05-8,11.1,25.9,2.6,,,N,15,12:13,19.3,100,, ,Calm,1013.5,25.5,53,,WNW,6,1012.6
,2021-05-9,12.1,19.9,0,,,NNW,9,12:03,16.4,100,, ,Calm,1019.7,17.7,88,, ,Calm,1017.0
,2021-05-10,10.7,25.3,0.4,,,WNW,26,12:07,19.9,77,,N,6,1016.4,24.3,47,,W,7,1012.4
,2021-05-11,10.9,22.5,0,,,NNW,28,10:08,18.4,70,,N,7,1015.4,21.1,62,,N,9,1014.3
,2021-05-12,11.4,22.3,0,,,S,19,14:03,15.7,100,, ,Calm,1020.0,20.6,72,,S,6,1017.2
,2021-05-13,10.3,23.5,0,,,WSW,33,22:37,18.1,98,, ,Calm,1014.5,23.2,54,,SW,6,1009.6
,2021-05-14,9.6,21.0,0,,,WSW,37,09:41,17.0,55,,WNW,13,1013.0,20.6,32,,W,11,1011.8
,2021-05-15,3.8,19.9,0,,,WSW,39,16:26,14.4,61,,NNW,6,1014.4,16.7,46,,WSW,13,1012.2
,2021-05-16,9.2,18.4,0,,,WSW,26,02:54,13.2,46,,W,6,1021.8,18.2,36,,NW,6,1018.9
,2021-05-17,3.8,,0,,,W,20,11:20,15.0,57,,NNW,4,1022.3,18.8,43,,SSE,4,1022.5
,2021-05-18,8.0,20.4,0,,,ESE,15,13:26,13.8,66,,SSE,2,1029.1,19.0,50,,ENE,7,1026.5
,2021-05-19,2.9,21.5,0,,,N,19,13:01,12.8,100,, ,Calm,1029.3,20.8,38,,N,7,1025.8
,2021-05-20,2.8,23.0,0,,,WSW,28,11:20,13.8,100,, ,Calm,1027.4,22.0,37,,SW,4,1024.7
,2021-05-21,5.1,17.2,0,,,SSW,17,12:47,13.7,100,, ,Calm,1029.7,15.9,92,,SSW,2,1028.2
,2021-05-22,5.8,20.8,6.0,,,WSW,17,11:40,14.1,100,, ,Calm,1027.8,18.8,62,,W,2,1024.6
,2021-05-23,4.7,20.5,0,,,SW,17,13:13,14.0,100,, ,Calm,1027.1,18.9,68,,SSW,4,1025.7
,2021-05-24,8.6,21.4,1.2,,,E,19,12:53,16.0,100,, ,Calm,1030.6,18.8,73,,ESE,9,1028.0
,2021-05-25,6.1,21.5,0,,,NNE,19,11:33,13.2,100,, ,Calm,1026.5,20.6,62,,NNE,7,1021.6
,2021-05-26,8.3,22.9,0,,,W,26,20:07,19.5,57,, ,Calm,1018.1,22.1,42,,WNW,11,1015.8
,2021-05-27,4.8,19.4,0,,,WSW,22,10:46,13.9,55,,WSW,7,1024.4,18.6,38,,WSW,7,1021.1
,2021-05-28,3.4,18.0,0,,,S,35,12:02,14.9,52,,WSW,9,1023.7,16.6,33,,S,7,1023.7
,2021-05-29,5.9,17.1,0,,,WSW,28,09:51,12.2,57,,WSW,11,1028.3,15.9,54,,SW,6,1026.5
,2021-05-30,11.4,18.4,0,,,WSW,26,02:44,13.3,68,,WSW,7,1028.1,17.4,56,,SSW,7,1025.7
,2021-05-31,5.7,19.8,0,,,WSW,19,10:59,14.9,71,, ,Calm,1025.8,17.9,55,,SE,6,1023.2
