"Daily Weather Observations for Lake Macquarie, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2159.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cooranbong (Lake Macquarie AWS) {station 061412}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,6.6,17.0,0.6,,,N,9,13:06,9.0,100,, ,Calm,1025.6,15.7,82,,N,4,1021.9
,2021-07-2,8.9,20.8,2.6,,,NW,26,13:03,13.1,100,, ,Calm,1019.3,20.2,58,,NW,7,1016.6
,2021-07-3,2.8,20.7,0,,,W,13,13:13,7.6,100,, ,Calm,1019.4,19.9,40,,NW,6,1016.2
,2021-07-4,1.2,16.1,0.2,,,WNW,17,14:08,8.4,100,, ,Calm,1023.4,15.9,45,,W,7,1019.8
,2021-07-5,-0.4,16.7,0,,,W,24,11:05,7.5,100,, ,Calm,1021.3,16.3,44,,W,7,1018.7
,2021-07-6,-0.1,17.3,0.2,,,NNW,11,11:59,7.0,100,, ,Calm,1022.1,15.1,55,,SSW,4,1020.0
,2021-07-7,1.0,17.6,0,,,ESE,15,12:59,8.3,100,, ,Calm,1025.7,15.7,60,,ESE,7,1023.5
,2021-07-8,1.2,17.9,0,,,ESE,13,12:20,7.6,100,, ,Calm,1024.5,16.6,63,,ENE,4,1020.3
,2021-07-9,5.0,13.6,5.8,,,W,37,23:39,9.9,100,, ,Calm,1014.7,12.7,95,, ,Calm,1011.5
,2021-07-10,9.8,14.0,1.6,,,WSW,39,01:57,13.5,70,,SW,11,1016.5,12.4,91,,SW,6,1018.0
,2021-07-11,9.3,17.8,11.6,,,WSW,20,11:29,12.8,85,,SW,6,1026.2,17.1,66,,SSW,4,1024.2
,2021-07-12,3.7,18.1,0,,,NW,31,23:02,10.0,100,, ,Calm,1024.7,17.5,57,,N,6,1020.5
,2021-07-13,3.5,20.0,5.6,,,NW,24,10:47,10.6,100,, ,Calm,1019.7,18.5,57,,NW,6,1016.7
,2021-07-14,3.3,14.5,0.2,,,NNE,15,16:44,8.2,100,, ,Calm,1015.9,13.6,88,,NNW,4,1011.9
,2021-07-15,6.5,21.6,0.2,,,NNW,19,11:48,14.4,100,,NNW,2,1007.6,21.3,65,,NW,4,1002.9
,2021-07-16,7.5,19.8,0.2,,,WNW,59,18:54,16.1,71,,NNW,9,998.4,17.8,43,,WNW,19,995.2
,2021-07-17,9.9,15.6,0,,,NW,63,11:25,13.9,54,,NW,19,999.3,13.2,50,,W,17,999.8
,2021-07-18,8.8,19.4,0,,,WNW,37,00:59,14.5,53,,WNW,9,1012.6,18.8,41,,WNW,11,1012.5
,2021-07-19,1.1,16.4,0,,,NNW,22,14:01,9.0,92,, ,Calm,1018.7,15.0,52,,N,9,1014.7
,2021-07-20,3.8,15.4,0,,,NW,44,16:32,12.2,56,,WNW,11,1012.4,14.0,51,,NW,11,1007.7
,2021-07-21,9.5,16.0,0,,,WSW,41,13:49,11.1,50,,WSW,9,1013.2,14.9,43,,SSW,11,1015.0
,2021-07-22,0.1,17.7,0,,,NNE,19,14:29,8.4,82,,NNW,4,1019.8,16.9,46,,NNE,6,1014.7
,2021-07-23,4.1,17.9,0,,,N,24,12:07,11.4,80,,NNE,2,1010.9,17.0,59,,E,6,1005.8
,2021-07-24,8.8,19.0,0,,,WNW,46,13:51,16.1,63,,N,6,1003.7,18.1,41,,WNW,15,1002.8
,2021-07-25,10.5,16.1,0,,,NW,59,01:28,12.9,48,,WNW,11,1007.5,15.5,34,,WNW,15,1009.5
,2021-07-26,3.8,20.2,0,,,WNW,43,13:14,14.1,55,,NNW,11,1017.5,19.5,40,,WNW,17,1015.4
,2021-07-27,4.4,21.1,0,,,NW,31,13:51,13.8,76,,WNW,2,1020.7,20.5,37,,NNW,11,1015.9
,2021-07-28,4.2,25.1,0,,,NW,46,08:58,19.3,34,,NNW,20,1009.5,25.0,30,,NW,7,1004.8
,2021-07-29,7.3,18.9,0.2,,,W,30,09:30,14.2,39,,WSW,11,1014.4,18.4,24,,WSW,7,1014.5
,2021-07-30,-1.8,20.1,0.2,,,N,22,12:21,7.5,87,, ,Calm,1021.7,19.6,25,,N,7,1017.7
,2021-07-31,0.0,23.6,0,,,N,24,12:10,11.2,81,, ,Calm,1016.3,22.9,35,,N,9,1010.1
