"Daily Weather Observations for Kiama, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2160.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Bombo Headland."
"Observations were drawn from Kiama (Bombo Headland) {station 068242}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,14.4,23.9,2.2,,,WSW,41,12:30,18.7,54,,WSW,19,,16.8,68,,SE,20,
,2020-10-2,9.6,21.4,0,,,NNE,24,13:10,18.1,53,,NE,7,,20.0,60,,NNE,15,
,2020-10-3,13.1,22.7,0,,,N,44,15:17,20.6,54,,N,9,,20.2,68,,N,28,
,2020-10-4,14.2,22.0,0,,,N,35,15:50,18.1,80,,N,15,,20.6,72,,N,13,
,2020-10-5,13.5,23.8,0,,,S,63,20:02,21.1,61,,NE,7,,23.1,58,,NNE,17,
,2020-10-6,14.6,17.6,0,,,S,52,23:03,16.5,80,,S,17,,16.5,78,,SSE,26,
,2020-10-7,15.7,18.9,1.8,,,SSE,20,14:39,17.2,87,,S,6,,16.9,88,,SSE,15,
,2020-10-8,16.5,26.2,2.2,,,W,44,16:51,18.6,84,,NNW,11,,25.3,44,,WNW,15,
,2020-10-9,11.8,22.6,0.2,,,SW,52,21:57,17.3,49,,WSW,19,,22.3,32,,WSW,26,
,2020-10-10,15.0,25.4,0,,,WSW,50,00:49,19.5,34,,WSW,15,,21.2,42,,ENE,11,
,2020-10-11,13.3,21.2,0,,,SSE,37,18:49,19.6,52,,NNE,6,,18.2,75,,SSE,20,
,2020-10-12,14.5,21.6,0,,,N,24,20:34,17.9,80,,SE,6,,21.1,72,,NNE,9,
,2020-10-13,13.3,23.1,0,,,S,67,16:46,21.1,62,,N,4,,22.5,67,,NNE,13,
,2020-10-14,15.6,20.1,0,,,S,30,00:27,16.8,75,,S,15,,18.5,73,,SSE,13,
,2020-10-15,14.3,22.7,0,,,N,41,12:16,20.1,66,,NNW,17,,21.3,69,,N,19,
,2020-10-16,16.0,17.5,0,,,S,52,05:30,16.1,82,,S,22,,16.8,65,,SSE,20,
,2020-10-17,14.2,21.7,0.4,,,N,43,10:02,17.4,77,,NNW,11,,19.8,79,,N,26,
,2020-10-18,16.6,19.9,0,,,S,37,22:10,19.2,68,,SE,6,,16.5,82,,SE,28,
,2020-10-19,13.9,17.6,1.8,,,SSW,35,04:15,15.7,70,,S,20,,17.0,64,,SSE,19,
,2020-10-20,15.0,21.2,0,,,N,28,15:10,17.5,67,,SSE,6,,20.9,61,,NE,6,
,2020-10-21,14.6,20.8,0,,,N,52,12:13,19.8,64,,N,13,,19.3,70,,N,28,
,2020-10-22,16.1,20.5,0,,,N,31,20:27,17.0,85,,SSE,15,,19.9,76,,SE,13,
,2020-10-23,16.9,22.7,0,,,N,54,20:32,20.4,78,,N,17,,20.3,77,,N,20,
,2020-10-24,17.6,22.7,3.8,,,S,74,21:09,20.0,86,,NNW,4,,19.2,82,,N,9,
,2020-10-25,12.6,16.3,12.4,,,SSE,61,22:39,13.1,75,,S,33,,12.4,83,,SSW,31,
,2020-10-26,11.6,16.6,29.6,,,SSE,78,02:34,16.1,66,,SSE,50,,15.4,68,,SSE,48,
,2020-10-27,13.1,17.6,4.6,,,SSE,56,23:13,14.5,79,,S,30,,17.1,72,,SSE,28,
,2020-10-28,13.9,18.7,0.2,,,S,37,08:46,15.7,81,,SSW,11,,18.1,70,,SE,24,
,2020-10-29,15.0,18.6,5.2,,,SSW,31,03:36,15.3,84,,SSW,19,,17.9,70,,SE,11,
,2020-10-30,13.3,19.8,1.0,,,SE,31,10:26,18.4,68,,S,22,,19.2,74,,SE,15,
,2020-10-31,16.3,18.9,2.6,,,ENE,57,08:50,18.7,84,,E,26,,17.0,81,,SSW,15,
