"Daily Weather Observations for Kiama, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2160.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Bombo Headland."
"Observations were drawn from Kiama (Bombo Headland) {station 068242}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,18.0,25.4,0,,,N,54,12:14,22.7,62,,NNW,20,,23.3,70,,N,30,
,2020-12-2,17.9,21.1,1.2,,,SSE,78,00:06,18.8,72,,SSE,20,,19.5,66,,ESE,15,
,2020-12-3,15.6,20.4,3.0,,,N,39,18:17,17.4,88,, ,Calm,,19.7,79,,N,22,
,2020-12-4,16.7,24.3,1.0,,,S,50,18:59,19.8,79,,SE,15,,23.6,70,,N,17,
,2020-12-5,16.4,24.6,0,,,N,43,20:04,20.4,68,,N,13,,20.8,78,,N,22,
,2020-12-6,20.1,28.4,0,,,WNW,54,09:40,22.7,40,,WSW,19,,27.4,21,,WSW,24,
,2020-12-7,14.3,28.6,0,,,WSW,63,09:56,23.1,32,,NW,11,,27.7,21,,WNW,22,
,2020-12-8,14.1,20.4,0,,,WSW,52,23:01,18.1,43,,S,24,,18.7,52,,SSE,28,
,2020-12-9,14.2,24.0,0,,,NNE,33,11:39,20.1,49,,NW,13,,22.5,54,,NNE,20,
,2020-12-10,16.2,21.8,0,,,S,67,11:45,20.3,64,,SE,20,,19.7,69,,SSE,41,
,2020-12-11,16.3,19.6,0,,,SSE,52,23:02,17.7,55,,SSE,28,,19.1,50,,SSE,22,
,2020-12-12,15.8,21.2,0,,,ENE,39,02:47,18.5,61,,SSE,15,,19.3,66,,SSE,11,
,2020-12-13,15.6,23.9,0,,,NNE,30,20:23,18.5,77,,SSE,13,,23.1,63,,ENE,9,
,2020-12-14,18.0,23.2,0,,,ENE,31,00:32,20.1,86,,WSW,9,,22.3,71,,NNE,9,
,2020-12-15,19.1,24.8,1.4,,,N,31,00:45,20.5,86,,N,4,,23.5,78,,NNE,7,
,2020-12-16,20.5,23.8,21.4,,,NNE,44,20:37,21.6,91,,NNE,22,,23.1,85,,N,22,
,2020-12-17,20.8,25.8,1.0,,,N,37,14:14,21.9,84,,N,19,,22.7,84,,WSW,6,
,2020-12-18,21.0,29.3,8.8,,,S,61,14:58,22.8,77,,SE,7,,25.9,62,,SSE,11,
,2020-12-19,17.0,19.9,1.0,,,SSE,39,06:15,18.6,66,,SSE,22,,18.9,71,,SSE,13,
,2020-12-20,16.6,23.5,0.2,,,ENE,24,15:03,19.9,80,,SSW,9,,22.0,74,,ESE,11,
,2020-12-21,18.7,22.7,0,,,NNE,33,20:48,20.9,81,,SSE,9,,21.9,80,,N,9,
,2020-12-22,16.8,25.4,18.8,,,SW,48,22:53,21.1,77,,SSW,6,,24.0,48,,W,9,
,2020-12-23,16.2,22.1,0,,,SW,50,08:01,21.5,48,,SSW,28,,21.3,60,,SSE,30,
,2020-12-24,16.9,23.8,0,,,S,46,21:45,21.5,66,,N,13,,23.1,69,,N,20,
,2020-12-25,16.1,19.6,8.4,,,SSE,44,03:12,17.9,75,,S,22,,18.8,61,,SSE,22,
,2020-12-26,17.1,23.3,0,,,N,48,14:59,19.4,74,,SSW,4,,22.4,64,,NNE,28,
,2020-12-27,17.1,25.1,1.0,,,N,43,23:15,22.6,70,,E,4,,23.7,69,,NNE,17,
,2020-12-28,20.3,21.1,0,,,S,63,06:11,20.6,81,,SSE,37,,18.6,74,,SSE,31,
,2020-12-29,15.8,19.7,6.0,,,SSW,43,04:52,16.3,85,,SW,9,,18.4,76,,SSW,24,
,2020-12-30,16.1,21.0,7.0,,,ENE,24,11:15,19.5,78,,S,13,,20.3,68,,E,9,
,2020-12-31,19.0,22.3,0,,,ESE,24,22:19,20.3,71,,SSE,6,,21.7,65,,ESE,15,
