"Daily Weather Observations for Kiama, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2160.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Bombo Headland."
"Observations were drawn from Kiama (Bombo Headland) {station 068242}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,19.4,21.8,0,,,SE,30,03:21,20.9,58,,SE,20,,20.4,61,,SE,19,
,2021-01-2,16.5,20.1,14.2,,,ESE,33,16:38,17.2,88,,S,17,,18.0,88,,SE,17,
,2021-01-3,17.0,23.5,49.8,,,NNE,33,14:07,19.5,90,,WNW,7,,22.7,84,,NNE,24,
,2021-01-4,19.1,25.2,9.8,,,WNW,37,15:44,21.9,87,,N,6,,22.4,82,,N,9,
,2021-01-5,19.6,25.3,8.8,,,SSW,43,21:34,22.6,73,,SE,7,,24.4,72,,ENE,7,
,2021-01-6,18.9,21.9,24.4,,,SSE,52,14:23,20.9,74,,S,22,,21.5,69,,SSE,31,
,2021-01-7,17.4,20.6,0,,,SSE,57,15:45,19.1,72,,SSW,31,,18.1,84,,SE,31,
,2021-01-8,16.8,22.2,8.4,,,SSE,54,00:30,19.4,63,,SE,28,,20.8,61,,SE,19,
,2021-01-9,16.8,24.3,0,,,ESE,24,23:03,20.9,62,,SSE,15,,23.0,51,,ESE,9,
,2021-01-10,16.2,25.1,0,,,N,33,21:27,21.8,68,,NE,7,,24.4,61,,NNE,15,
,2021-01-11,17.7,24.4,0,,,N,44,13:21,22.8,66,,NNW,17,,23.9,66,,NNE,31,
,2021-01-12,18.7,25.7,0,,,NNE,33,11:39,23.7,65,,N,9,,24.6,72,,N,17,
,2021-01-13,19.7,25.3,0,,,N,48,19:58,23.3,79,,NNE,9,,24.5,65,,N,31,
,2021-01-14,20.9,27.0,0,,,S,61,17:47,24.0,73,,N,15,,25.1,72,,N,17,
,2021-01-15,19.0,25.1,0,,,S,61,22:49,21.9,68,,S,11,,23.5,70,,NNE,17,
,2021-01-16,13.9,23.3,0,,,S,50,23:02,18.7,35,,SSW,24,,22.3,39,,NNE,19,
,2021-01-17,15.7,23.0,0,,,S,43,08:24,20.8,54,,S,28,,22.2,55,,E,11,
,2021-01-18,17.7,26.2,0,,,N,26,17:52,22.4,64,,NNW,9,,25.4,69,,NNE,9,
,2021-01-19,18.9,20.7,0,,,SSE,57,07:23,20.4,66,,SSE,39,,20.3,58,,SSE,31,
,2021-01-20,16.1,22.6,2.4,,,S,26,06:51,18.9,64,,S,17,,20.9,54,,ESE,11,
,2021-01-21,14.8,23.9,0,,,N,44,20:03,21.0,63,,N,9,,23.3,57,,NNE,24,
,2021-01-22,17.9,26.6,0,,,N,33,16:44,22.8,67,,NNE,11,,25.6,67,,N,15,
,2021-01-23,22.2,26.9,0,,,SSW,39,05:12,24.4,58,,S,20,,26.0,65,,NNE,17,
,2021-01-24,21.5,29.1,0,,,N,41,14:54,24.9,82,,N,17,,27.3,64,,N,17,
,2021-01-25,21.3,26.5,0,,,N,39,18:16,23.7,80,,N,13,,25.6,72,,N,20,
,2021-01-26,20.3,28.9,0,,,S,46,19:42,24.4,79,,N,15,,27.8,64,,N,9,
,2021-01-27,19.2,21.3,3.8,,,S,52,02:35,19.4,89,,SSE,37,,18.6,87,,S,30,
,2021-01-28,17.9,22.1,9.0,,,SE,39,08:27,20.9,67,,ESE,30,,21.1,66,,SE,24,
,2021-01-29,19.1,22.0,0.8,,,NNE,52,21:30,19.7,82,,NNE,19,,20.0,89,,NNE,26,
,2021-01-30,19.3,24.5,27.8,,,NNE,43,00:37,22.0,90,,NW,6,,23.5,82,,NNE,28,
,2021-01-31,19.9,21.6,7.4,,,S,52,01:55,20.3,89,,SSE,26,,19.6,88,,S,22,
