"Daily Weather Observations for Holsworthy Aerodrome, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2161.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Holsworthy Aerodrome AWS {station 066161}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,7.7,16.8,0.6,,,SSW,17,20:12,10.8,99,7,NW,2,1025.7,15.6,84,,NNE,7,1021.8
,2021-07-2,10.3,18.4,3.6,,,W,15,19:24,10.5,99,8,NNW,4,1019.0,17.7,76,1,W,4,1016.3
,2021-07-3,3.4,18.4,0.4,,,SW,19,18:53,8.7,98,, ,Calm,1018.9,17.1,60,,NW,4,1016.1
,2021-07-4,3.1,15.3,0,,,WNW,39,10:40,7.8,76,,WNW,13,1023.1,15.0,40,,WNW,9,1019.4
,2021-07-5,3.0,15.7,0,,,WSW,31,09:28,10.4,66,,WSW,13,1021.3,15.5,45,1,SW,11,1018.6
,2021-07-6,4.5,15.6,0,,,SW,26,07:51,7.6,71,,WSW,17,1022.2,15.1,46,,NNW,2,1020.3
,2021-07-7,3.1,16.4,0,,,WSW,20,02:17,7.5,75,,W,11,1026.2,15.6,48,3,WNW,6,1023.7
,2021-07-8,1.3,16.3,0,,,N,19,13:56,6.3,95,7,W,9,1024.5,15.1,58,,NE,7,1020.4
,2021-07-9,5.3,12.2,0,,,WSW,22,23:45,8.5,92,8,SW,13,1015.2,11.8,93,8,SW,6,1012.0
,2021-07-10,8.4,14.9,5.6,,,SE,41,15:44,12.0,79,1,SW,17,1017.7,14.7,69,8,SSW,19,1019.4
,2021-07-11,8.2,16.4,3.0,,,SE,28,14:11,10.2,99,8,WSW,11,1027.3,15.7,69,,ESE,11,1024.9
,2021-07-12,4.4,17.1,0.4,,,N,22,15:00,8.0,98,,WNW,6,1024.5,16.7,58,,NNE,15,1019.9
,2021-07-13,2.9,18.3,0,,,NNW,20,14:08,8.9,99,,WSW,2,1019.5,18.2,40,,NNW,11,1015.8
,2021-07-14,6.8,15.9,0,,,SW,17,07:03,9.9,86,8, ,Calm,1014.3,12.2,88,8,ENE,7,1010.0
,2021-07-15,9.0,21.9,0.6,,,WSW,28,15:48,15.8,75,,N,6,1006.4,17.4,66,8, ,Calm,1001.8
,2021-07-16,7.5,17.2,2.0,,,WNW,80,12:37,12.2,89,,NW,7,996.9,15.6,46,,W,24,994.1
,2021-07-17,10.4,15.0,1.4,,,W,72,13:07,12.7,53,1,WNW,17,997.0,12.1,48,,W,31,997.8
,2021-07-18,6.8,17.6,0,,,WSW,39,10:27,13.3,56,,W,11,1012.0,17.0,39,,W,20,1012.7
,2021-07-19,3.0,15.6,0,,,WSW,26,11:24,9.3,74,7,W,9,1018.3,14.1,46,1,W,13,1014.1
,2021-07-20,3.9,14.4,0,,,W,46,12:17,10.5,64,,NW,13,1011.1,14.3,50,5,NNW,17,1006.2
,2021-07-21,7.1,15.1,0,,,SW,52,10:20,10.2,48,,WSW,19,1013.9,14.5,32,,SSW,17,1015.4
,2021-07-22,1.2,16.6,0,,,N,22,14:27,6.8,73,,W,9,1019.2,16.0,33,,N,15,1013.9
,2021-07-23,6.6,16.0,0.6,,,N,26,11:41,8.9,88,8,E,6,1010.7,12.7,77,8,SE,7,1005.9
,2021-07-24,7.6,17.6,0.8,,,W,50,13:56,10.0,91,8,WSW,7,1003.0,16.6,39,,WNW,24,1001.3
,2021-07-25,9.2,14.3,0,,,W,54,08:21,10.8,49,,W,26,1005.7,13.5,32,1,W,33,1008.7
,2021-07-26,3.9,19.2,0,,,W,52,14:43,11.4,64,,N,7,1015.5,18.4,37,,W,28,1014.5
,2021-07-27,5.4,19.3,0,,,N,30,14:23,12.9,70,,NNW,6,1019.6,19.1,42,,N,15,1015.4
,2021-07-28,8.1,24.3,0,,,WNW,52,14:24,15.2,48,,ENE,9,1008.3,21.4,30,2,W,31,1003.9
,2021-07-29,8.5,17.4,0,,,WSW,44,01:26,12.1,50,,WSW,7,1014.1,16.8,28,,WSW,17,1014.4
,2021-07-30,0.3,17.7,0,,,SW,20,03:48,7.6,71,,WNW,7,1021.1,16.9,31,,NE,9,1017.3
,2021-07-31,2.4,21.7,0,,,NNE,26,16:02,10.9,54,4,SW,4,1015.2,21.6,33,1,N,13,1009.1
