"Daily Weather Observations for Murrurundi Gap, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2162.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Murrurundi Gap AWS {station 061392}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,9.1,19.6,0,,,ESE,26,12:20,13.4,87,,ESE,19,1028.6,16.0,84,8,S,11,1026.9
,2021-05-2,10.5,20.2,2.0,,,S,26,18:10,14.0,81,8,ESE,13,1028.2,18.4,58,7,ESE,13,1024.4
,2021-05-3,12.4,22.0,0.2,,,NW,28,11:11,16.4,68,,NNW,17,1023.4,21.6,39,,NW,4,1019.4
,2021-05-4,13.5,16.1,0,,,WNW,41,12:24,14.0,74,6,NW,13,1017.3,11.2,99,7,NNW,17,1015.1
,2021-05-5,7.9,13.2,5.2,,,ESE,46,12:14,9.5,100,7,SE,24,1014.3,12.4,93,8,ESE,22,1011.8
,2021-05-6,9.5,15.3,1.4,,,SE,35,05:52,13.1,100,8,SE,22,1011.6,14.5,100,8,WNW,7,1009.1
,2021-05-7,12.8,18.2,12.2,,,SE,30,00:14,14.5,100,8,SE,13,1011.3,17.8,81,8, ,Calm,1010.3
,2021-05-8,13.1,20.0,2.6,,,NW,24,13:35,14.9,100,8,NW,15,1016.0,18.8,73,2,NW,13,1015.0
,2021-05-9,12.0,17.6,1.4,,,SE,30,06:54,12.3,100,8,NW,9,1020.7,15.5,90,8, ,Calm,1016.7
,2021-05-10,11.4,18.6,0.8,,,NW,41,12:28,13.2,96,8,WNW,19,1018.6,15.8,73,8,WNW,11,1014.9
,2021-05-11,10.3,16.9,7.2,,,NW,52,15:05,12.1,99,7,NNW,20,1016.4,16.6,78,1,NW,33,1014.6
,2021-05-12,7.1,19.1,0.2,,,WNW,28,14:06,10.4,92,7,ESE,17,1019.0,18.5,54,1,NNW,17,1016.2
,2021-05-13,8.3,15.2,0,,,NW,30,13:41,9.6,100,8,NW,15,1014.9,14.3,77,1,NW,20,1012.2
,2021-05-14,7.4,15.4,0.2,,,NW,50,12:33,10.5,77,,NW,13,1015.2,14.7,36,,WNW,30,1012.9
,2021-05-15,4.2,14.1,0,,,NW,56,12:16,7.7,78,6,WNW,17,1016.3,11.5,52,8,WNW,28,1013.5
,2021-05-16,0.2,13.2,0,,,NW,39,13:13,6.3,68,,ESE,13,1020.9,12.1,38,,NW,20,1019.1
,2021-05-17,2.3,15.3,0,,,NW,31,02:52,7.5,61,,NW,9,1022.9,14.2,50,,E,7,1022.1
,2021-05-18,4.2,16.8,0,,,NW,33,12:06,9.6,72,,ESE,15,1027.5,16.0,38,,NW,11,1025.6
,2021-05-19,8.9,17.3,0,,,NW,37,12:10,13.6,55,,NW,9,1028.6,16.5,38,,NNW,17,1026.0
,2021-05-20,9.8,17.8,0,,,WNW,31,10:59,12.7,53,,NW,15,1028.2,16.8,46,,NW,13,1025.6
,2021-05-21,4.7,16.2,0,,,SE,41,07:45,10.0,79,3,SE,33,1027.6,13.1,76,4,SSE,19,1025.9
,2021-05-22,8.1,15.4,0.2,,,SE,43,04:32,10.4,100,8,ESE,24,1026.1,14.2,73,,SE,19,1023.4
,2021-05-23,6.5,16.6,0.2,,,S,30,15:52,9.9,100,,ESE,15,1026.1,15.1,58,,SSE,17,1024.8
,2021-05-24,6.4,16.9,0.2,,,SE,28,13:19,8.6,100,8,ESE,19,1029.5,16.1,61,,ESE,20,1026.3
,2021-05-25,8.5,17.8,0.2,,,,,,13.6,72,,NW,15,1026.1,15.7,58,,NW,20,1022.1
,2021-05-26,9.4,18.2,0,,,NW,52,12:09,13.1,74,,WNW,28,1019.5,17.6,59,,NW,28,1016.6
,2021-05-27,3.8,15.4,0,,,SE,22,14:09,7.8,77,,E,9,1023.8,13.0,42,,S,11,1021.8
,2021-05-28,4.2,13.2,0,,,ESE,50,23:48,9.4,75,,ENE,6,1023.3,11.6,47,,SE,19,1022.2
,2021-05-29,4.7,11.0,0,,,ESE,59,09:16,6.0,76,7,ESE,43,1025.2,10.3,63,4,SE,30,1024.8
,2021-05-30,5.6,11.9,0,,,ESE,61,10:45,6.6,94,8,ESE,37,1025.4,11.0,77,7,ESE,31,1024.1
,2021-05-31,4.9,17.4,0,,,ESE,33,02:51,8.3,95,,ESE,17,1024.6,15.7,43,,E,7,1021.9
