"Daily Weather Observations for Sydney Harbour, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2163.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Harbour (Wedding Cake West) {station 066196}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,21.0,24.5,,,,NNE,48,20:08,22.2,,,SSW,9,,23.7,,,ESE,20,
,2021-02-2,18.1,22.2,,,,SSW,50,05:14,19.7,,,SW,28,,21.8,,,S,26,
,2021-02-3,18.5,23.0,,,,SSW,39,07:25,19.8,,,SSW,26,,21.6,,,ESE,19,
,2021-02-4,19.7,23.7,,,,NNE,48,13:08,22.4,,,NNE,11,,23.6,,,NNE,31,
,2021-02-5,22.1,24.2,,,,NNE,57,19:59,23.0,,,NNE,22,,23.8,,,NNE,39,
,2021-02-6,22.2,23.6,,,,NNE,50,23:26,22.7,,,NNE,24,,22.2,,,NNE,26,
,2021-02-7,21.2,25.4,,,,SE,41,15:15,22.7,,,SW,13,,23.7,,,SE,24,
,2021-02-8,19.6,22.0,,,,S,41,08:45,19.9,,,SSE,24,,21.5,,,S,26,
,2021-02-9,19.9,22.5,,,,S,37,14:40,21.6,,,SE,19,,21.9,,,SSE,24,
,2021-02-10,17.9,22.9,,,,SE,28,09:39,19.5,,,WNW,9,,22.4,,,E,17,
,2021-02-11,19.3,23.9,,,,NNE,57,20:22,21.1,,,NNW,11,,22.3,,,NE,31,
,2021-02-12,20.0,25.0,,,,NNE,59,23:23,20.8,,,NNE,17,,23.2,,,NNE,33,
,2021-02-13,20.7,21.4,,,,SSE,48,16:50,20.9,,,SSW,24,,20.7,,,S,28,
,2021-02-14,18.0,22.5,,,,S,46,09:58,19.8,,,SSW,24,,21.8,,,S,33,
,2021-02-15,19.6,23.3,,,,SSW,76,14:42,20.6,,,SSW,39,,21.0,,,S,61,
,2021-02-16,19.3,24.8,,,,ESE,39,18:53,22.7,,,E,20,,24.0,,,SE,20,
,2021-02-17,19.5,23.7,,,,SE,43,20:03,22.4,,,SE,19,,22.4,,,E,28,
,2021-02-18,20.8,24.8,,,,ESE,41,04:42,23.5,,,ESE,19,,22.4,,, ,Calm,
,2021-02-19,20.0,25.9,,,,ENE,44,23:31,23.5,,,ENE,19,,24.7,,,E,13,
,2021-02-20,21.4,24.9,,,,NE,28,18:42,22.3,,,WSW,6,,24.2,,,ENE,13,
,2021-02-21,22.1,25.6,,,,S,31,13:49,22.5,,,SSW,7,,25.2,,,S,22,
,2021-02-22,21.5,25.9,,,,SSW,57,20:16,23.3,,,WSW,17,,24.8,,,SSE,31,
,2021-02-23,20.0,21.4,,,,S,54,19:37,21.2,,,S,33,,20.3,,,S,31,
,2021-02-24,17.2,21.7,,,,S,43,23:15,18.5,,,SW,24,,19.9,,,S,22,
,2021-02-25,18.4,23.5,,,,N,22,18:30,20.1,,,N,9,,22.9,,,SE,9,
,2021-02-26,19.5,25.1,,,,SE,35,18:49,22.2,,,SSW,17,,24.2,,,SE,19,
,2021-02-27,20.7,23.0,,,,NNE,31,18:29,20.9,,,WNW,7,,21.9,,,NNE,19,
,2021-02-28,20.3,25.1,,,,SSW,30,08:42,22.4,,,SSW,22,,23.6,,,SE,22,
