"Daily Weather Observations for Sydney Harbour, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2163.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Harbour (Wedding Cake West) {station 066196}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,16.0,22.3,,,,ENE,31,18:39,17.9,,,SW,13,,20.7,,,ENE,17,
,2021-05-2,17.0,21.7,,,,NE,30,15:01,18.2,,,SSW,7,,20.3,,,NE,22,
,2021-05-3,15.3,21.8,,,,NNE,31,16:45,15.8,,,SW,17,,20.4,,,NNE,22,
,2021-05-4,15.7,18.2,,,,WNW,39,10:47,18.0,,,WSW,11,,15.9,,,W,19,
,2021-05-5,15.1,20.3,,,,S,41,11:39,16.5,,,SW,31,,18.3,,,SW,30,
,2021-05-6,16.4,21.6,,,,S,69,07:24,20.3,,,S,43,,21.4,,,SE,19,
,2021-05-7,18.7,21.7,,,,SW,44,17:18,19.2,,,S,19,,20.8,,,S,28,
,2021-05-8,16.7,25.3,,,,WSW,24,09:47,18.2,,,WSW,17,,24.2,,,WNW,9,
,2021-05-9,18.1,19.7,,,,WSW,35,07:12,18.5,,,W,13,,19.6,,,WNW,6,
,2021-05-10,16.0,23.7,,,,WSW,35,14:46,18.1,,,W,17,,23.3,,,W,22,
,2021-05-11,16.7,21.8,,,,SW,37,14:51,17.9,,,W,6,,19.0,,,SSW,30,
,2021-05-12,14.9,20.3,,,,S,43,10:34,16.7,,,WSW,20,,19.5,,,S,22,
,2021-05-13,15.1,22.9,,,,W,28,10:49,16.5,,,W,13,,21.8,,,WSW,9,
,2021-05-14,15.1,18.8,,,,WSW,50,09:55,16.6,,,WSW,30,,18.5,,,WSW,28,
,2021-05-15,12.1,16.8,,,,WSW,67,15:20,13.7,,,NNW,15,,16.1,,,W,31,
,2021-05-16,9.8,17.9,,,,WSW,57,00:25,11.1,,,WSW,30,,17.2,,,W,17,
,2021-05-17,10.8,18.0,,,,W,44,00:01,13.2,,,WSW,30,,17.2,,,S,24,
,2021-05-18,10.9,18.5,,,,W,39,06:48,12.1,,,WSW,13,,17.4,,,ENE,13,
,2021-05-19,10.4,18.9,,,,WSW,26,06:02,11.7,,,SW,15,,18.7,,,E,13,
,2021-05-20,11.0,19.7,,,,SSE,31,14:17,12.4,,,WSW,19,,19.2,,,SSE,22,
,2021-05-21,12.4,17.6,,,,S,43,09:21,14.1,,,SW,19,,17.2,,,SSE,19,
,2021-05-22,11.2,19.0,,,,W,33,08:02,12.5,,,WSW,20,,18.3,,,SSE,17,
,2021-05-23,12.3,18.8,,,,S,33,14:41,13.7,,,WSW,13,,18.5,,,S,26,
,2021-05-24,13.6,19.8,,,,NE,35,21:03,17.0,,,WNW,4,,18.7,,,E,7,
,2021-05-25,14.7,19.2,,,,NNE,43,18:34,17.1,,,NNW,9,,19.0,,,NNE,31,
,2021-05-26,16.1,20.7,,,,SW,52,18:54,16.9,,,WSW,24,,20.3,,,WSW,13,
,2021-05-27,12.0,18.1,,,,WSW,46,00:48,13.1,,,WSW,30,,17.6,,,WSW,24,
,2021-05-28,12.1,15.9,,,,SSW,67,13:24,13.9,,,WSW,35,,15.6,,,SSW,35,
,2021-05-29,10.1,15.1,,,,SSW,63,12:30,10.6,,,W,30,,14.5,,,SSW,41,
,2021-05-30,10.4,15.5,,,,SW,54,10:14,11.6,,,WSW,30,,14.0,,,SSW,22,
,2021-05-31,11.5,18.7,,,,W,30,02:43,12.4,,,W,20,,17.9,,,ESE,13,
