"Daily Weather Observations for Sydney Harbour, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2163.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Harbour (Wedding Cake West) {station 066196}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,10.7,17.7,,,,WNW,22,02:28,12.1,,,SSW,7,,17.6,,,SW,6,
,2021-06-2,11.7,19.7,,,,W,24,06:58,12.3,,,WSW,7,,18.1,,,N,13,
,2021-06-3,12.2,14.4,,,,W,33,10:16,13.8,,,SSW,9,,13.9,,,W,9,
,2021-06-4,12.4,19.2,,,,SW,46,21:30,13.8,,,WSW,20,,18.2,,,W,28,
,2021-06-5,10.5,17.4,,,,SW,35,01:04,11.5,,,W,20,,16.2,,,W,2,
,2021-06-6,10.9,20.3,,,,WSW,44,07:58,11.7,,,WSW,30,,19.2,,,SW,4,
,2021-06-7,10.6,18.1,,,,NNE,28,13:50,11.8,,,WNW,13,,17.5,,,NNE,22,
,2021-06-8,11.7,18.1,,,,W,46,21:40,14.3,,,N,13,,17.5,,,NNE,31,
,2021-06-9,11.0,14.6,,,,WNW,44,12:28,11.3,,,W,28,,13.4,,,NW,20,
,2021-06-10,8.4,11.1,,,,N,41,09:37,9.9,,,N,22,,10.5,,,NW,9,
,2021-06-11,7.2,15.9,,,,WNW,41,12:24,9.3,,,W,19,,15.1,,,WNW,17,
,2021-06-12,9.2,17.5,,,,WNW,41,14:18,12.7,,,N,20,,17.2,,,WNW,26,
,2021-06-13,10.2,17.6,,,,W,41,10:50,12.7,,,WNW,15,,17.4,,,WSW,20,
,2021-06-14,11.6,17.1,,,,WSW,35,01:32,11.9,,,W,22,,16.9,,,SSW,15,
,2021-06-15,11.9,16.7,,,,W,28,01:21,13.3,,,W,13,,16.5,,,SSW,9,
,2021-06-16,11.3,18.6,,,,W,74,22:36,11.8,,,W,13,,17.5,,,NNE,20,
,2021-06-17,11.2,17.0,,,,W,50,00:14,13.3,,,WNW,15,,16.8,,,W,28,
,2021-06-18,11.4,17.6,,,,SW,67,13:44,13.7,,,NNW,13,,17.4,,,WSW,33,
,2021-06-19,12.1,16.0,,,,SSW,78,18:24,14.3,,,WSW,37,,13.7,,,SW,57,
,2021-06-20,12.4,15.1,,,,SW,57,00:06,13.4,,,SW,39,,14.4,,,SW,37,
,2021-06-21,11.7,15.7,,,,W,35,04:38,13.0,,,W,24,,15.2,,,SSW,22,
,2021-06-22,11.0,18.6,,,,W,28,02:49,11.6,,,W,19,,18.1,,,ESE,7,
,2021-06-23,11.4,18.1,,,,N,30,12:23,14.3,,,NNW,9,,17.7,,,N,15,
,2021-06-24,14.1,20.9,,,,N,50,14:14,16.0,,,NNW,13,,20.8,,,N,28,
,2021-06-25,14.5,18.9,,,,W,46,13:54,16.0,,,WNW,20,,18.5,,,WSW,17,
,2021-06-26,12.1,17.4,,,,W,48,10:32,14.2,,,WNW,24,,17.1,,,WSW,22,
,2021-06-27,10.7,20.5,,,,W,31,10:24,12.3,,,WSW,17,,17.0,,,W,7,
,2021-06-28,9.8,16.6,,,,SSW,31,14:44,11.1,,,WSW,11,,16.3,,,SSW,22,
,2021-06-29,10.7,16.0,,,,ENE,33,17:48,12.2,,,WSW,20,,15.2,,,W,15,
,2021-06-30,12.0,17.5,,,,N,26,20:36,12.6,,,WSW,11,,17.0,,,E,9,
