"Daily Weather Observations for Sydney Harbour, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2163.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Harbour (Wedding Cake West) {station 066196}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,12.6,23.2,,,,SW,22,07:14,15.0,,,WSW,13,,20.1,,,E,13,
,2021-09-2,14.8,19.0,,,,NNE,54,12:20,18.6,,,NNE,30,,18.6,,,NNE,35,
,2021-09-3,15.2,18.9,,,,NNE,56,19:47,17.4,,,N,24,,18.6,,,NNE,39,
,2021-09-4,16.2,18.5,,,,NNE,39,11:41,17.4,,,NNE,28,,18.4,,,N,13,
,2021-09-5,14.3,17.7,,,,W,61,13:58,15.1,,,WNW,22,,17.3,,,W,31,
,2021-09-6,11.3,16.5,,,,S,56,11:47,13.3,,,WSW,37,,15.9,,,S,43,
,2021-09-7,9.0,22.7,,,,SW,44,16:09,14.5,,,W,19,,22.2,,,WSW,17,
,2021-09-8,12.0,18.2,,,,NNE,39,15:34,14.0,,,WSW,13,,17.0,,,NNE,28,
,2021-09-9,13.0,26.7,,,,WNW,35,17:52,15.8,,,W,17,,22.0,,,NNW,6,
,2021-09-10,15.8,23.0,,,,W,54,04:10,21.9,,,W,20,,18.1,,,ESE,19,
,2021-09-11,12.6,28.3,,,,NNW,41,12:04,14.4,,,SSW,9,,27.7,,,NNW,28,
,2021-09-12,14.4,29.8,,,,WNW,67,15:23,23.1,,,NNW,30,,29.4,,,WNW,33,
,2021-09-13,13.2,16.2,,,,SW,57,00:07,14.8,,,SW,20,,14.6,,,S,33,
,2021-09-14,10.3,14.6,,,,SSW,67,11:56,12.4,,,SSW,39,,12.3,,,SW,41,
,2021-09-15,10.4,15.5,,,,S,54,13:12,13.0,,,WSW,22,,15.0,,,S,37,
,2021-09-16,9.6,16.1,,,,S,43,10:46,12.1,,,W,15,,15.3,,,SE,20,
,2021-09-17,11.4,20.9,,,,NNE,54,17:33,15.8,,,N,9,,17.1,,,NNE,39,
,2021-09-18,15.6,21.3,,,,SW,57,22:48,19.2,,,NNE,17,,18.6,,,WSW,9,
,2021-09-19,12.8,22.5,,,,NNE,44,15:09,16.6,,,WNW,19,,17.9,,,NNE,30,
,2021-09-20,15.3,25.7,,,,SW,72,19:11,19.1,,,NNW,22,,25.3,,,WNW,33,
,2021-09-21,10.5,15.1,,,,SSW,83,14:10,11.5,,,SW,35,,14.4,,,SSW,52,
,2021-09-22,9.8,16.9,,,,SW,57,00:21,13.4,,,WSW,22,,16.3,,,SSE,26,
,2021-09-23,11.8,21.5,,,,N,33,18:45,16.1,,,W,17,,19.0,,,NNE,20,
,2021-09-24,14.4,26.0,,,,W,57,14:24,20.2,,,WNW,20,,25.8,,,WNW,31,
,2021-09-25,16.1,18.9,,,,SSW,54,08:46,18.7,,,SW,39,,15.4,,,SSE,39,
,2021-09-26,12.3,15.4,,,,S,52,12:31,14.1,,,S,26,,14.8,,,S,31,
,2021-09-27,11.2,17.1,,,,NNE,43,21:32,13.9,,,SSW,9,,16.1,,,NE,24,
,2021-09-28,13.1,18.1,,,,NNE,54,17:38,15.9,,,NNE,22,,18.0,,,NNE,39,
,2021-09-29,15.2,18.3,,,,NNE,35,07:43,16.9,,,NNE,22,,17.6,,,NNE,19,
,2021-09-30,15.9,19.7,,,,NNE,41,18:26,17.1,,,NNE,26,,19.2,,,NE,19,
