"Daily Weather Observations for High Range, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2164.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from High Range AWS (Wanganderry) {station 068262}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,8.9,15.9,6.0,,,W,70,09:17,11.0,76,,W,37,1015.5,14.8,46,,W,33,1015.1
,2020-10-2,6.8,21.3,0.2,,,W,37,06:04,13.1,47,,SW,22,1024.0,20.8,32,,WSW,15,1023.2
,2020-10-3,12.9,24.6,,,,,,,20.9,24,,NNE,19,1026.7,23.7,28,,NNE,24,1022.0
,2020-10-4,14.3,25.9,0,,,N,33,16:47,18.7,45,,N,13,1021.2,25.2,30,,WNW,9,1018.7
,2020-10-5,15.9,25.9,0,,,WNW,41,13:11,20.7,35,,NNW,24,1017.6,25.4,33,,WNW,26,1016.3
,2020-10-6,9.5,19.7,0,,,S,46,01:58,11.2,100,,SSE,6,1021.5,17.8,72,,N,9,1019.7
,2020-10-7,11.1,14.4,2.2,,,NE,39,21:33,12.7,100,,NNE,15,1020.1,13.9,100,,NNE,15,1018.4
,2020-10-8,12.6,17.7,2.8,,,W,59,20:01,13.6,100,,NNE,15,1011.1,16.8,64,,WNW,26,1009.7
,2020-10-9,7.8,14.1,4.4,,,W,72,13:54,9.3,81,,W,19,1012.9,13.3,63,,W,43,1012.4
,2020-10-10,5.8,17.4,0,,,SW,57,14:40,10.5,70,,W,15,1018.7,16.2,38,,WSW,33,1017.3
,2020-10-11,9.1,20.4,0,,,,,12:49,14.3,51,,WNW,15,1021.0,19.7,36,,WSW,20,1019.3
,2020-10-12,8.7,21.4,0,,,NE,35,17:19,12.1,100,,NNE,17,1023.8,19.6,48,,WNW,11,1020.6
,2020-10-13,10.9,24.6,0,,,SSE,52,16:37,16.6,60,,W,22,1022.7,23.2,34,,SSW,13,1021.4
,2020-10-14,9.3,19.4,0,,,NE,31,15:27,11.9,90,,ESE,6,1026.7,18.4,62,,NE,15,1023.3
,2020-10-15,9.6,25.3,0,,,WSW,44,13:54,15.3,93,,NNE,13,1020.0,24.5,32,,W,28,1015.6
,2020-10-16,12.3,19.9,0,,,WSW,37,01:21,12.9,100,,SW,20,1018.8,15.1,95,,NE,17,1017.8
,2020-10-17,8.7,23.6,2.2,,,W,50,16:14,11.9,100,,NNE,26,1012.5,21.9,38,,WNW,20,1009.3
,2020-10-18,11.8,20.1,0.2,,,WNW,37,00:57,13.1,99,,NW,7,1010.3,17.8,49,,WNW,20,1009.9
,2020-10-19,8.3,17.2,5.6,,,ENE,30,15:00,9.3,100,,SE,6,1015.7,16.8,58,,ENE,7,1014.7
,2020-10-20,9.2,17.0,0.4,,,NE,33,17:55,10.0,100,,NE,13,1018.4,14.9,75,,NE,20,1016.3
,2020-10-21,9.8,22.6,0,,,NNE,37,08:54,14.3,95,,NNE,19,1016.4,21.3,50,,NNE,17,1013.3
,2020-10-22,11.7,23.7,0,,,NE,37,14:38,15.1,84,,NNE,7,1015.4,20.0,51,,NNE,19,1013.0
,2020-10-23,12.3,25.0,0,,,N,37,09:24,18.6,54,,N,20,1014.0,22.8,47,,NE,22,1010.2
,2020-10-24,13.9,20.2,7.2,,,NNW,41,11:08,17.8,100,,NNE,17,1005.3,18.2,90,,NW,9,1003.0
,2020-10-25,6.8,8.7,12.6,,,S,52,18:05,7.4,100,,SSE,26,1011.6,7.1,100,,S,28,1012.5
,2020-10-26,6.3,11.8,20.8,,,SSE,69,03:33,8.2,97,,SSE,31,1017.5,8.8,97,,SSE,33,1016.8
,2020-10-27,6.6,13.4,4.2,,,SSE,43,07:04,8.8,100,,S,26,1019.6,11.5,94,,SSE,17,1017.7
,2020-10-28,7.6,16.5,0.4,,,S,35,17:32,10.3,100,,SSE,6,1018.6,15.7,73,,NNE,15,1014.9
,2020-10-29,9.0,17.0,4.4,,,SW,52,19:00,12.0,100,,SSE,6,1012.6,15.9,79,,SE,7,1009.3
,2020-10-30,7.3,18.7,10.6,,,NE,35,18:50,10.3,100,,SSW,4,1010.1,15.3,76,,NNE,19,1008.8
,2020-10-31,10.2,16.2,18.2,,,SW,48,11:51,13.2,100,,ENE,13,1006.8,12.0,100,,SSW,30,1007.9
